id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
112,1,ALBA,ORAŞ ABRUD,242,11,89,19,3,24,10,24,246,9,83,23,2,22,16,28,Școala Gimnazială „Avram Iancu” Abrud,Str. Cloșca nr. 3-5,Abrud,46.2741,23.0622
113,1,ALBA,ORAŞ ABRUD,237,15,92,17,12,27,13,22,247,7,87,12,13,29,16,27,Școala Gimnazială „Avram Iancu” Gradinița cu Program Normal nr. 1 Abrud,Str. Detunata (Str. Detunată) nr. 2,Abrud,46.2727,23.065
114,1,ALBA,ORAŞ ABRUD,275,21,68,19,3,47,24,41,267,18,75,17,3,50,30,47,Școala Gimnazială „Avram Iancu” Grădinița cu Program Prelungit nr. 1 Abrud,Str. Republicii nr. 12,Abrud,46.2669,23.0773
115,1,ALBA,ORAŞ ABRUD,254,19,75,16,1,43,14,27,257,23,79,17,2,42,14,21,"Liceul „Horea, Cloșca și Crișan” Abrud",Str. Republicii nr. 16,Abrud,46.2652,23.0825
209,1,ALBA,BLANDIANA,38,2,106,7,1,3,1,4,39,2,105,7,2,3,3,5,Școala Primară Acmariu,Nr. 173,Acmariu,45.9591,23.3599
51,1,ALBA,MUNICIPIUL AIUD,236,48,121,12,98,57,19,33,251,44,129,9,99,40,19,31,Centrul Cultural „Liviu Rebreanu” Aiud,Str. Transilvaniei (Str. 23 August) nr. 35,Aiud,46.3118,23.7211
52,1,ALBA,MUNICIPIUL AIUD,114,35,64,14,81,28,7,27,118,41,66,13,87,15,7,22,Grădinița cu Program Prelungit „Primii Pași” Aiud,Str. Tribun Tudoran nr. 5,Aiud,46.3165,23.7261
53,1,ALBA,MUNICIPIUL AIUD,235,13,105,15,51,38,18,37,232,17,111,17,57,31,19,28,Grădinița cu Program Prelungit „Primii Pași” Aiud,Str. Tribun Tudoran nr. 5,Aiud,46.3165,23.7261
54,1,ALBA,MUNICIPIUL AIUD,229,25,84,12,35,20,12,21,226,27,84,13,38,14,17,23,Creșa Aiud,Str. Unirii nr. 10A,Aiud,46.3091,23.7309
55,1,ALBA,MUNICIPIUL AIUD,324,42,132,20,39,29,15,28,327,42,131,19,44,22,16,30,Grădinița cu Program Prelungit nr. 2 Aiud,Str. Unirii nr. 10,Aiud,46.309,23.7304
56,1,ALBA,MUNICIPIUL AIUD,177,23,95,15,70,39,6,21,180,24,101,13,71,33,7,18,Școala Gimnazială „Axente Sever” Aiud,Str. Unirii nr. 9,Aiud,46.3087,23.7295
57,1,ALBA,MUNICIPIUL AIUD,211,11,98,18,58,15,12,29,214,14,99,13,59,15,10,24,Școala Gimnazială „Axente Sever” Aiud,Str. Unirii nr. 9,Aiud,46.3087,23.7295
58,1,ALBA,MUNICIPIUL AIUD,199,12,85,19,45,34,10,23,203,13,89,18,43,29,11,21,Școala Gimnazială „Axente Sever” Aiud,Str. Unirii nr. 9,Aiud,46.3087,23.7295
59,1,ALBA,MUNICIPIUL AIUD,232,33,161,15,75,39,11,22,233,31,165,11,85,33,10,21,Colegiul Național „Titu Maiorescu” Aiud,Str. Ecaterina Varga nr. 10,Aiud,46.3065,23.7225
60,1,ALBA,MUNICIPIUL AIUD,136,21,62,9,39,30,5,17,139,26,65,7,40,16,5,19,Colegiul Tehnic Aiud,Str. Ion Creangă nr. 14,Aiud,46.3075,23.7194
61,1,ALBA,MUNICIPIUL AIUD,112,30,71,9,36,16,4,9,122,25,81,8,36,8,4,6,Colegiul Tehnic Aiud,Str. Ion Creangă nr. 14,Aiud,46.3075,23.7194
62,1,ALBA,MUNICIPIUL AIUD,180,42,148,17,68,38,5,25,189,43,161,17,71,21,8,22,Fosta Grădiniță nr. 1 Aiud,Str. Simion Bărnuțiu nr. 24,Aiud,46.3089,23.7134
63,1,ALBA,MUNICIPIUL AIUD,130,29,82,14,55,23,1,12,131,30,80,16,58,19,2,8,Școala Gimnazială „Ovidiu Hulea” Aiud,Str. Cuza Vodă nr. 35,Aiud,46.3098,23.7163
64,1,ALBA,MUNICIPIUL AIUD,162,44,118,11,63,30,6,25,162,42,124,13,67,16,11,28,Școala Gimnazială „Ovidiu Hulea” Aiud,Str. Cuza Vodă nr. 35,Aiud,46.3098,23.7163
65,1,ALBA,MUNICIPIUL AIUD,135,8,59,6,31,11,0,10,139,9,62,6,31,8,0,6,Școala Gimnazială „Liviu Rebreanu” Aiudul de Sus,Str. Gheorghe Lazăr nr. 17,Aiudul de Sus,46.3155,23.6889
66,1,ALBA,MUNICIPIUL AIUD,102,2,72,8,46,26,6,21,112,5,80,6,43,21,5,13,Școala Gimnazială „Liviu Rebreanu” Aiudul de Sus,Str. Gheorghe Lazăr nr. 17,Aiudul de Sus,46.3155,23.6889
