id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
336,2,ARAD,PLEŞCUŢA,38,2,26,5,0,10,1,5,40,1,22,4,0,10,2,7,Căminul Cultural Aciuța,Nr. 127,Aciuța,46.2885,22.4503
357,2,ARAD,SINTEA MARE,34,3,11,1,193,3,8,22,38,3,10,2,195,3,6,14,Școala Gimnazială „Olosz Lajos” Adea,Nr. 87,Adea,46.5551,21.5834
393,2,ARAD,TÎRNOVA,73,2,270,31,3,3,2,26,73,4,271,30,3,6,3,18,Căminul Cultural Agrișu Mare,Nr. 11,Agrișu Mare,46.2721,21.7543
295,2,ARAD,HĂŞMAŞ,27,5,42,8,1,1,2,9,27,3,26,26,1,1,5,11,Căminul Cultural Agrișu Mic,Nr. 109A,Agrișu Mic,46.5254,22.0515
202,2,ARAD,BÎRSA,80,4,64,4,1,13,5,16,80,6,59,7,1,13,4,14,Cămin Cultural Aldești,Nr. 197,Aldești,46.3944,22.0405
176,2,ARAD,ALMAŞ,198,9,60,25,1,57,11,35,193,8,63,32,0,61,16,31,Căminul Cultural Almaș,Nr. 613,Almaș,46.2847,22.237
268,2,ARAD,FRUMUŞENI,70,11,208,17,3,4,2,19,68,15,209,26,4,5,2,11,Căminul Cultural Aluniș,Nr. 298,Aluniș,46.0931,21.4906
435,2,ARAD,ZIMANDU NOU,111,32,262,7,38,11,6,28,103,39,258,9,38,13,14,30,Căminul Cultural Andrei Șaguna,Nr. 165,Andrei Șaguna,46.2909,21.3907
180,2,ARAD,APATEU,113,8,70,14,0,13,12,21,120,8,69,21,0,14,8,12,Școala Gimnazială „Gheorghe Popovici” Apateu,Nr. 329,Apateu,46.6224,21.7763
181,2,ARAD,APATEU,102,5,68,11,0,13,10,18,104,4,69,15,1,10,9,15,Școala Gimnazială „Gheorghe Popovici” Apateu,Nr. 425,Apateu,46.6207,21.7761
1,2,ARAD,MUNICIPIUL ARAD,106,62,65,16,38,22,10,33,124,61,59,15,39,21,11,23,Colegiul Economic,Piața George Enescu nr. 2,Arad,46.1745,21.3194
2,2,ARAD,MUNICIPIUL ARAD,161,106,97,31,32,30,28,61,172,106,96,30,37,34,22,41,Policlinica Municipală,Bulevardul Revoluției (Bulevardul Republicii) nr. 45,Arad,46.1794,21.3214
3,2,ARAD,MUNICIPIUL ARAD,182,76,106,26,59,30,16,65,180,88,97,25,58,45,29,53,Spitalul Clinic Municipal - Secția Orl,Str. Tudor Vladimirescu nr. 1,Arad,46.1798,21.3177
4,2,ARAD,MUNICIPIUL ARAD,185,99,139,23,45,42,19,64,197,107,131,24,42,47,19,45,Colegiul Național „Vasile Goldiș” (fosta Școală Generală nr. 4),Bulevardul Ștefan Augustin Doinaș (Bulevardul Mareșal Ion Antonescu) nr. 33-37,Arad,46.183,21.3181
5,2,ARAD,MUNICIPIUL ARAD,187,88,117,23,67,33,17,64,191,99,116,25,68,35,13,36,Colegiul Național „Vasile Goldiș” (fosta Școală Generală nr. 4),Bulevardul Ștefan Augustin Doinaș (Bulevardul Mareșal Ion Antonescu) nr. 33-37,Arad,46.183,21.3181
6,2,ARAD,MUNICIPIUL ARAD,157,39,88,12,46,29,17,54,160,42,90,13,49,30,15,38,Colegiul Național „Vasile Goldiș” (fosta Școală Generală nr. 4),Bulevardul Ștefan Augustin Doinaș (Bulevardul Mareșal Ion Antonescu) nr. 33-37,Arad,46.183,21.3181
7,2,ARAD,MUNICIPIUL ARAD,195,64,134,25,40,36,16,64,211,71,140,20,41,35,10,40,Colegiul Național „Vasile Goldiș” (fosta Școală Generală nr. 4),Bulevardul Ștefan Augustin Doinaș (Bulevardul Mareșal Ion Antonescu) nr. 33-37,Arad,46.183,21.3181
8,2,ARAD,MUNICIPIUL ARAD,251,142,189,38,79,57,35,95,260,151,173,39,75,67,37,73,Colegiul Național „Vasile Goldiș”,Calea Victoriei nr. 3-5,Arad,46.1847,21.3091
9,2,ARAD,MUNICIPIUL ARAD,148,79,135,16,26,25,23,40,151,78,127,22,27,26,23,37,Liceul de Arte „Sabin Drăgoi”,Nr. 20-22,Arad,46.1845,21.3243
10,2,ARAD,MUNICIPIUL ARAD,193,71,132,19,51,38,27,69,202,80,116,21,52,38,34,63,Liceul de Arte „Sabin Drăgoi”,Bulevardul Revoluției (Bulevardul Republicii) nr. 20-22,Arad,46.1845,21.3243
11,2,ARAD,MUNICIPIUL ARAD,185,86,144,36,47,38,22,54,186,90,143,35,48,43,26,47,Liceul Tehnologic de Electronică și Automatizări „Caius Iacob”,Piața Academician Caius Iacob (Piața Acad. Caius Iacob) nr. 1,Arad,46.184,21.325
