id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
194,3,ARGEȘ,ALBEŞTII DE MUSCEL,155,11,52,62,0,36,8,18,161,14,51,65,0,29,10,20,"Școala Gimnazială nr. 1 Albeștii de Muscel, Strada Magistrat Sorin Moisescu nr. 360",,Albești,45.3113,25.0023
189,3,ARGEȘ,ALBEŞTII DE ARGEŞ,304,24,173,25,0,41,22,51,301,27,175,30,0,52,22,43,Casa de Cultură Albeștii de Argeș,,Albeștii Pamânteni,45.2116,24.6641
190,3,ARGEȘ,ALBEŞTII DE ARGEŞ,200,20,140,25,0,29,9,26,201,20,131,33,0,24,8,25,Școala Primară Albeștii -Ungureni,,Albeștii Ungureni,45.2284,24.6622
191,3,ARGEȘ,ALBEŞTII DE ARGEŞ,128,11,137,5,0,12,11,17,126,15,131,7,0,12,10,16,Școala Primară Albeștii-Ungureni,,Albeștii Ungureni,45.2284,24.6622
196,3,ARGEȘ,ALBOTA,420,43,77,51,0,29,20,67,425,48,80,49,0,27,18,60,Școala Gimnazială „Sanda Movilă” Albota,,Albota,44.7825,24.8499
199,3,ARGEȘ,ANINOASA,312,12,31,46,0,26,26,84,366,11,36,49,0,27,28,48,"Școala Gimnazială Broșteni - Aninoasa, Corp B",,Aninoasa,45.1907,24.9249
202,3,ARGEȘ,AREFU,257,15,40,14,0,12,5,23,251,17,43,16,0,10,6,21,Căminul Cultural Arefu,,Arefu,45.3287,24.6061
373,3,ARGEȘ,MĂRĂCINENI,441,48,53,23,0,26,12,48,446,46,49,32,0,19,10,39,Școala Generală Argeșelu,,Argeșelu,44.9159,24.8676
204,3,ARGEȘ,BASCOV,293,68,80,36,0,38,16,43,289,61,84,47,0,37,19,37,Grădinița nr. 1 Bascov,,Bascov,44.8927,24.8224
205,3,ARGEȘ,BASCOV,430,78,97,36,5,59,18,62,431,70,93,58,5,59,17,49,"Școala Generală Bascov, Clădirea Veche",,Bascov,44.8924,24.8205
