id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
232,4,BACĂU,AGĂŞ,164,8,35,9,2,41,3,23,173,6,38,9,2,42,2,18,Consiliul Local Agăș,,Agăș,46.4812,26.2277
272,4,BACĂU,BÎRSĂNEŞTI,130,3,36,11,1,2,2,9,128,3,39,8,0,2,3,9,Școala Gimnazială Albele,,Albele,46.3639,26.6781
403,4,BACĂU,IZVORU BERHECIULUI,50,1,35,4,0,14,0,13,51,3,36,4,0,13,0,4,Școala Generală Antohești,,Antohești,46.5499,27.2438
245,4,BACĂU,ASĂU,105,7,38,25,1,10,2,10,108,9,31,24,1,16,4,10,Școala Generală cu Clasele I-VIII Apa-Asău,,Apa Asău,46.4869,26.3778
246,4,BACĂU,ASĂU,117,4,42,7,1,10,4,14,123,3,38,9,1,10,5,10,Școala Generală cu Clasele I-VIII Apa-Asău,,Apa Asău,46.4869,26.3778
238,4,BACĂU,ARDEOANI,195,6,221,19,1,35,3,30,193,9,206,17,2,44,1,16,Școala nr. 1 Ardeoani,,Ardeoani,46.5326,26.6067
352,4,BACĂU,GĂICEANA,281,2,32,4,39,10,0,8,292,6,32,4,33,14,0,7,Școala Arini,,Arini,46.3456,27.1959
240,4,BACĂU,ASĂU,191,7,52,17,1,15,6,21,180,6,53,24,1,20,9,17,Școala Generală cu Clasele I-VIII Asau,,Asău,46.4396,26.3957
241,4,BACĂU,ASĂU,210,12,55,8,1,22,6,17,211,10,55,10,2,18,5,13,Școala Generală cu Clasele I-VIII Asau,,Asău,46.4396,26.3957
1,4,BACĂU,MUNICIPIUL BACĂU,140,55,73,39,1,23,10,45,135,57,74,32,3,30,16,45,Școala Gimnazială nr. 9,Calea Moldovei nr. 136,Bacău,46.5967,26.9081
2,4,BACĂU,MUNICIPIUL BACĂU,128,72,65,56,2,36,11,46,133,70,76,52,1,38,10,36,Școala Gimnazială nr. 9,Calea Moldovei nr. 136,Bacău,46.5967,26.9081
3,4,BACĂU,MUNICIPIUL BACĂU,160,68,93,42,2,29,7,52,161,71,104,41,3,26,13,43,Școala Gimnazială „Georgeta Mircea Cancicov”,Str. Prieteniei nr. 73,Bacău,46.5797,26.9089
4,4,BACĂU,MUNICIPIUL BACĂU,152,89,113,45,2,41,15,59,149,88,111,51,3,51,18,49,Școala Gimnazială „Georgeta Mircea Cancicov”,Str. Prieteniei nr. 73,Bacău,46.5797,26.9089
5,4,BACĂU,MUNICIPIUL BACĂU,192,72,91,54,2,39,17,66,190,68,95,57,2,44,9,45,S.C. E-On Energie S.A Bacău,Str. Ștefan cel Mare nr. 22,Bacău,46.5781,26.9152
6,4,BACĂU,MUNICIPIUL BACĂU,115,37,51,21,1,23,8,31,110,38,53,24,2,28,9,25,Grădinița cu Program Prelungit „Crai Nou”,"Str. Aprodu Purice nr. 11, A",Bacău,46.5818,26.9091
7,4,BACĂU,MUNICIPIUL BACĂU,136,39,67,33,1,23,9,31,138,40,63,30,2,30,11,28,Grădinița cu Program Prelungit „Crai Nou”,Str. Aprodu Purice nr. 11A,Bacău,46.5818,26.9091
8,4,BACĂU,MUNICIPIUL BACĂU,168,47,79,39,1,30,19,61,168,54,78,40,1,36,23,50,Școala Gimnazială „Mihail Sadoveanu”,Str. Venus nr. 16,Bacău,46.5816,26.9058
9,4,BACĂU,MUNICIPIUL BACĂU,145,52,82,32,1,24,12,45,148,58,86,33,1,23,9,34,Școala Gimnazială „Mihail Sadoveanu”,Str. Venus nr. 16,Bacău,46.5816,26.9058
10,4,BACĂU,MUNICIPIUL BACĂU,162,66,93,36,1,28,11,63,159,63,98,37,1,31,13,56,Școala Gimnazială „Mihail Sadoveanu”,Str. Venus nr. 16,Bacău,46.5816,26.9058
11,4,BACĂU,MUNICIPIUL BACĂU,123,51,92,15,2,28,8,58,127,59,94,20,3,25,8,41,Școala Gimnazială „Mihail Sadoveanu”,Str. Venus nr. 16,Bacău,46.5816,26.9058
12,4,BACĂU,MUNICIPIUL BACĂU,230,58,80,34,2,28,14,68,224,56,87,34,2,36,15,56,Școala Gimnazială „Georgeta Mircea Cancicov”,Str. Prieteniei nr. 73,Bacău,46.5797,26.9089
13,4,BACĂU,MUNICIPIUL BACĂU,213,84,94,37,2,43,12,67,214,87,98,39,1,46,18,55,Școala Gimnazială „Georgeta Mircea Cancicov”,Str. Prieteniei nr. 73,Bacău,46.5797,26.9089
14,4,BACĂU,MUNICIPIUL BACĂU,157,41,82,35,1,19,7,44,157,40,85,32,1,22,9,44,Grădinița cu Program Normal nr. 4,Str. Prieteniei nr. 73,Bacău,46.5797,26.9089
