id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
217,5,BIHOR,ABRAM,80,7,103,16,47,13,5,7,81,7,101,16,45,12,9,11,Primăria Abram,Nr. 35,Abram,47.3223,22.3787
224,5,BIHOR,ABRĂMUŢ,37,2,22,2,50,2,3,6,36,2,20,2,52,0,6,8,Școala Generală Abrămuț,Nr. 141,Abrămuț,47.3239,22.2546
600,5,BIHOR,TARCEA,12,1,10,0,257,3,0,0,12,1,9,1,255,2,0,0,Căminul Cultural,Nr. 325,Adoni,47.4306,22.1776
506,5,BIHOR,RĂBĂGANI,64,1,39,0,1,6,2,6,66,1,39,1,1,5,4,6,Fosta Școală cu Clasele I-IV Albești,Nr. 160,Albești,46.771,22.2495
283,5,BIHOR,BUDUSLĂU,4,1,3,1,336,1,1,5,7,2,2,1,329,1,1,1,Școala Generală Albiș,Nr. 57,Albiș,47.3929,22.2502
179,5,BIHOR,ORAŞ ALEŞD,167,26,206,16,161,19,17,47,164,26,232,15,160,20,18,25,Primăria Aleșd- Sala Mare,Str. Bobâlna (Str. Bobîlna) nr. 3,Aleșd,47.0589,22.3982
180,5,BIHOR,ORAŞ ALEŞD,153,37,204,18,58,17,16,43,150,29,226,18,61,19,16,25,Liceul Teoretic Constantin Șerban,Str. Bobâlna (Str. Bobîlna) nr. 1 BIS,Aleșd,47.0578,22.3975
181,5,BIHOR,ORAŞ ALEŞD,151,23,197,11,75,14,8,55,149,21,233,13,73,20,11,24,Colegiul Tehnic Alexandru Roman,Str. Ciocârliei (Str. Ciocîrliei) nr. 4,Aleșd,47.0557,22.3953
182,5,BIHOR,ORAŞ ALEŞD,122,18,218,15,147,10,23,48,120,14,240,14,152,10,25,31,Grădinița cu Program Normal nr. 1,Str. Teiului nr. 11,Aleșd,47.0609,22.3989
183,5,BIHOR,ORAŞ ALEŞD,156,2,175,13,8,6,1,21,163,1,186,14,8,5,3,14,Centrul Multifuncțional,Str. Oborului,Aleșd,47.0522,22.4016
240,5,BIHOR,BALC,148,0,64,6,3,6,3,9,147,0,64,5,2,7,4,9,Căminul Cultural Almașu Mare,Nr. 95,Almașu Mare,47.3288,22.5326
241,5,BIHOR,BALC,43,3,61,1,1,1,5,10,41,3,63,4,3,0,5,8,Căminul Cultural Almașu Mic,Nr. 136,Almașu Mic,47.3166,22.5089
563,5,BIHOR,SÎRBI,47,0,10,0,1,1,2,3,45,1,11,0,1,2,2,2,Școala Generală,Nr. 56,Almașu Mic,47.1705,22.1326
470,5,BIHOR,OŞORHEI,159,14,169,7,3,18,3,6,155,17,167,4,3,20,5,8,Școala Primară nr. 1 Alparea,Nr. 23,Alparea,47.0298,22.0472
237,5,BIHOR,AVRAM IANCU,30,4,11,2,18,3,1,3,33,4,11,2,16,3,1,3,Căminul Cultural,Nr. 184,Ant,46.6662,21.4637
458,5,BIHOR,NOJORID,37,3,46,1,2,3,3,15,34,3,49,1,3,5,3,13,"Școala cu Clasele I-IV Apateu, Loc. Apateu nr. 41",,Apateu,46.9685,21.9257
245,5,BIHOR,BATĂR,23,4,7,4,191,3,2,7,22,5,6,5,191,4,3,7,Școala Gimnazială nr. 4 Arpășel,Nr. 451,Arpășel,46.7397,21.7208
310,5,BIHOR,CEFA,14,0,86,2,2,0,3,5,13,0,90,0,2,1,3,5,Grădinița,Nr. 1,Ateaș,46.9139,21.6149
233,5,BIHOR,AUŞEU,108,11,198,4,1,14,4,13,86,9,220,4,2,14,5,13,Primăria Comunei Aușeu,Nr. 32,Aușeu,47.0341,22.4956
236,5,BIHOR,AVRAM IANCU,404,20,152,12,5,43,18,32,408,28,147,13,6,40,17,22,Sala Sport Școala,Nr. 166,Avram Iancu,46.6676,21.5236
229,5,BIHOR,AŞTILEU,138,21,224,12,5,15,5,42,133,19,250,14,5,17,6,17,Școala Gimnazială nr. 1 Aștileu,Nr. 45,Aștileu,47.0296,22.3875
239,5,BIHOR,BALC,100,9,41,4,260,4,3,14,95,11,37,4,269,5,3,10,Căminul Cultural Balc,Str. Petőfi Sándor nr. 16,Balc,47.2992,22.5336
244,5,BIHOR,BATĂR,223,3,60,9,2,28,7,15,216,2,57,13,3,30,7,16,Școala Gimnazială nr. 1 Batăr,Nr. 18,Batăr,46.7099,21.8039
