id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
299,6,BISTRIȚA-NĂSĂUD,TÎRLIŞUA,272,11,58,7,2,10,20,30,283,8,53,7,1,9,20,29,Școala Generală Agrieș,Nr. 40,Agrieș,47.3998,24.1355
262,6,BISTRIȚA-NĂSĂUD,ŞIEU-ODORHEI,70,4,16,3,1,5,2,4,72,4,19,3,1,2,1,3,Școala Generală Agrișu de Jos,Nr. 86,Agrișu de Jos,47.1548,24.2408
263,6,BISTRIȚA-NĂSĂUD,ŞIEU-ODORHEI,35,2,11,0,2,12,3,7,32,2,12,0,2,12,3,7,Căminul Cultural Agrișu de Sus,Nr. 39,Agrișu de Sus,47.1507,24.2286
141,6,BISTRIȚA-NĂSĂUD,GALAŢII BISTRIŢEI,60,3,10,2,1,4,2,3,57,1,12,3,1,4,3,4,Școala Generală Albeștii Bistriței,Nr. 76,Albeștii Bistriței,46.9933,24.4503
313,6,BISTRIȚA-NĂSĂUD,ZAGRA,52,2,12,5,1,2,1,1,53,1,13,4,1,1,1,2,Școala Generală Alunișul,Nr. 26,Alunișul,47.3915,24.2779
173,6,BISTRIȚA-NĂSĂUD,MAIERU,259,6,92,10,1,45,26,45,254,7,93,12,1,47,25,45,Școala Gimnazială Anieș,Nr. 60,Anieș,47.4157,24.7718
108,6,BISTRIȚA-NĂSĂUD,CHIOCHIŞ,39,2,39,1,3,4,1,7,40,2,41,2,3,7,2,5,Școala Primară Apatiu,Nr. 50,Apatiu,46.9996,24.1774
260,6,BISTRIȚA-NĂSĂUD,ŞIEU-MĂGHERUŞ,38,2,100,2,3,17,3,11,42,6,100,4,2,14,3,10,"Școala Generală Arcalia, Clasele V-VIII",Nr. 72,Arcalia,47.0827,24.3614
278,6,BISTRIȚA-NĂSĂUD,TEACA,135,7,27,8,6,11,5,11,143,6,24,7,6,11,5,9,Căminul Cultural Archiud,Nr. 32,Archiud,46.8907,24.4378
253,6,BISTRIȚA-NĂSĂUD,ŞIEU,40,6,31,12,1,78,7,10,42,5,25,12,1,82,8,14,Școala Generală Ardan,Nr. 212,Ardan,47.0295,24.6697
