id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
143,7,BOTOȘANI,ADĂŞENI,234,4,20,21,0,5,10,20,231,5,22,23,1,8,10,17,Școala Gimnazială nr. 1 Adaseni,,Adășeni,48.0736,26.9343
216,7,BOTOȘANI,CURTEŞTI,100,1,9,2,1,1,0,5,100,1,10,3,1,1,2,6,Spatiu Școala Agafton,,Agafton,47.7083,26.5986
274,7,BOTOȘANI,HUDEŞTI,352,2,80,14,0,6,59,79,352,5,80,12,0,4,62,82,Grădinița,,Alba,48.1588,26.4778
145,7,BOTOȘANI,ALBEŞTI,191,9,129,6,1,20,8,17,188,8,129,7,3,29,7,11,Camin Cultural Albesti,,Albești,47.6922,27.0736
146,7,BOTOȘANI,ALBEŞTI,108,1,58,6,0,6,2,9,115,1,62,4,0,5,0,3,Școala Primară nr. 1 Albesti,Nr. 2,Albești,47.7012,27.0726
249,7,BOTOȘANI,GEORGE ENESCU,47,0,72,3,0,10,1,13,48,2,70,6,0,9,2,10,Școala Generală Arborea,,Arborea,48.0582,26.518
156,7,BOTOȘANI,AVRĂMENI,119,1,22,5,0,4,8,17,125,3,21,6,1,2,7,14,Școala cu Clasele 1-8 Aurel Vlaicu,,Aurel Vlaicu,48.0002,26.9098
153,7,BOTOȘANI,AVRĂMENI,324,6,22,12,1,4,11,22,328,7,23,12,3,6,8,14,Școala cu Clasele 1 -8 Avrameni,,Avrămeni,48.015,26.9452
117,7,BOTOȘANI,ORAŞ DARABANI,268,8,125,8,2,11,14,27,265,10,118,7,0,9,14,28,Școala Bajura,,Bajura,48.2011,26.5371
261,7,BOTOȘANI,HAVÎRNA,79,1,22,5,0,2,5,11,74,1,22,3,0,5,5,10,Școala Primară „Dumitru Pompas” Balinti,,Balinți,48.0489,26.692
196,7,BOTOȘANI,CORNI,88,0,7,1,0,5,1,5,92,0,8,1,0,4,1,4,Școala cu Cl I-IV Balta Arsa,,Balta Arsă,47.6783,26.6177
214,7,BOTOȘANI,CRISTINEŞTI,136,0,23,4,0,9,8,15,135,0,24,4,1,12,4,6,Școala Baranca,,Baranca,48.1192,26.3396
277,7,BOTOȘANI,HUDEŞTI,277,2,153,4,1,3,29,37,276,3,157,5,2,3,28,32,Școala Baranca,,Baranca,48.1974,26.4705
276,7,BOTOȘANI,HUDEŞTI,101,2,24,1,0,11,17,22,103,1,25,2,0,11,16,22,Școală Bașeu,,Bașeu,48.1408,26.4928
