id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
185,9,BRĂILA,FRECĂŢEI,104,0,68,2,0,2,4,4,104,0,66,3,0,2,0,3,Școala cu Clasele I-IV Agaua,,Agaua,44.8339,28.0748
249,9,BRĂILA,TICHILEŞTI,43,2,67,4,1,4,4,8,43,3,65,5,1,5,3,6,Școala Primară Albina,,Albina,45.1685,27.8687
229,9,BRĂILA,SALCIA TUDOR,16,0,24,5,0,5,1,9,18,1,30,1,0,6,1,6,Căminul Cultural Ariciu,Str. Fermei nr. 38,Ariciu,45.3688,27.5186
268,9,BRĂILA,VĂDENI,196,7,33,24,0,7,9,17,193,8,31,26,1,8,9,21,Școala Gimnazială cu Clasele I-VIII Baldovinesti,Str. Școlii nr. 124,Baldovinești,45.3217,27.9082
179,9,BRĂILA,CIREŞU,84,0,116,11,0,1,2,9,87,0,117,11,0,1,2,8,Școala cu Clasele I-VIII Batogu,,Batogu,44.9982,27.4492
154,9,BRĂILA,ORAŞ IANCA,95,9,6,3,0,6,1,5,91,12,5,2,0,6,1,4,Școala Primară Berlești,Nr. 164,Berlești,45.0784,27.4469
163,9,BRĂILA,BERTEŞTII DE JOS,122,1,94,4,1,8,6,15,120,2,92,6,1,9,4,12,Căminul Cultural Berteștii de Jos,,Berteștii de Jos,44.8375,27.7573
165,9,BRĂILA,BERTEŞTII DE JOS,50,2,34,2,1,5,4,10,51,1,33,2,0,6,4,8,Căminul Cultural Berteștii de Sus,,Berteștii de Sus,44.8136,27.7638
167,9,BRĂILA,BORDEI VERDE,501,9,39,19,0,14,3,15,517,10,33,20,0,11,3,10,Școala cu Clasele I-VIII Bordei Verde,Str. Principală nr. 35,Bordei Verde,45.0668,27.5673
1,9,BRĂILA,MUNICIPIUL BRĂILA,275,11,65,31,0,16,9,39,278,9,66,30,0,17,8,36,Școala Gimnazială nr. 31 „Mihai Viteazul”,,Brăila,45.2429,27.9437
2,9,BRĂILA,MUNICIPIUL BRĂILA,293,20,59,23,0,25,21,43,297,22,62,20,0,24,18,39,Școala Gimnazială nr. 31 „Mihai Viteazul”,,Brăila,45.2429,27.9437
3,9,BRĂILA,MUNICIPIUL BRĂILA,288,28,46,17,1,14,6,37,285,25,48,20,2,18,11,34,Școala Gimnazială nr. 31 „Mihai Viteazul”,,Brăila,45.2429,27.9437
4,9,BRĂILA,MUNICIPIUL BRĂILA,310,17,53,30,1,34,11,39,310,19,55,31,1,33,15,37,Școala Gimnazială nr. 31 „Mihai Viteazul”,,Brăila,45.2429,27.9437
5,9,BRĂILA,MUNICIPIUL BRĂILA,305,25,55,14,1,25,16,52,307,23,57,18,1,22,15,44,Grădinița nr. 61 „Bobocel”,,Brăila,45.2433,27.9434
6,9,BRĂILA,MUNICIPIUL BRĂILA,322,32,55,31,2,24,30,56,327,29,55,29,2,24,24,56,Grădinița nr. 61 „Bobocel”,,Brăila,45.2433,27.9434
7,9,BRĂILA,MUNICIPIUL BRĂILA,381,32,65,42,0,38,29,68,387,36,64,44,0,37,25,56,Școala Gimnazială nr. 1 „Vlaicu Vodă”,,Brăila,45.2428,27.94
8,9,BRĂILA,MUNICIPIUL BRĂILA,395,33,91,36,0,31,22,57,398,34,96,37,0,27,22,51,Școala Gimnazială nr. 1 „Vlaicu Vodă”,,Brăila,45.2428,27.94
9,9,BRĂILA,MUNICIPIUL BRĂILA,431,35,83,35,0,25,18,56,434,30,77,41,2,24,15,52,Grădinița nr. 12 „Sfântul Nicolae”,,Brăila,45.2432,27.9391
10,9,BRĂILA,MUNICIPIUL BRĂILA,370,52,90,27,2,25,14,55,369,58,93,29,0,24,15,47,Grădinița nr. 12 „Sfântul Nicolae”,,Brăila,45.2432,27.9391
11,9,BRĂILA,MUNICIPIUL BRĂILA,274,56,83,32,2,38,14,48,280,58,87,30,3,36,9,42,Școala Gimnazială nr. 27 „Aurel Vlaicu”,,Brăila,45.2449,27.9347
12,9,BRĂILA,MUNICIPIUL BRĂILA,371,32,81,26,1,22,15,41,370,31,85,27,1,23,14,37,Școala Gimnazială nr. 27 „Aurel Vlaicu”,,Brăila,45.2449,27.9347
13,9,BRĂILA,MUNICIPIUL BRĂILA,311,52,82,39,0,37,13,49,316,45,82,38,1,37,11,44,Școala Gimnazială nr. 27 „Aurel Vlaicu”,,Brăila,45.2449,27.9347
14,9,BRĂILA,MUNICIPIUL BRĂILA,275,39,76,34,2,45,14,52,288,38,81,33,3,29,18,49,Școala Gimnazială nr. 27 „Aurel Vlaicu”,,Brăila,45.2449,27.9347
15,9,BRĂILA,MUNICIPIUL BRĂILA,195,19,33,28,2,22,12,35,195,25,37,25,2,27,13,24,Școala Gimnazială nr. 2 „Fănuș Neagu”,,Brăila,45.2503,27.9394
16,9,BRĂILA,MUNICIPIUL BRĂILA,290,24,70,22,1,25,11,41,291,28,66,25,1,21,14,34,Școala Gimnazială nr. 2 „Fănuș Neagu”,,Brăila,45.2503,27.9394
17,9,BRĂILA,MUNICIPIUL BRĂILA,276,44,67,27,4,26,17,49,276,44,73,22,2,31,20,48,Școala Gimnazială nr. 2 „Fănuș Neagu”,,Brăila,45.2503,27.9394
18,9,BRĂILA,MUNICIPIUL BRĂILA,304,59,82,49,0,31,16,64,290,60,89,50,0,38,14,55,Școala Gimnazială nr. 2 „Fănuș Neagu”,,Brăila,45.2503,27.9394
19,9,BRĂILA,MUNICIPIUL BRĂILA,267,26,87,31,0,21,10,39,266,25,86,37,0,26,11,35,Școala Gimnazială nr. 2 „Fănuș Neagu”,,Brăila,45.2503,27.9394
20,9,BRĂILA,MUNICIPIUL BRĂILA,318,31,57,29,0,34,12,49,322,27,60,29,0,36,13,49,Grădinița nr. 39 „Căsuța Fermecată”,,Brăila,45.2456,27.9448
21,9,BRĂILA,MUNICIPIUL BRĂILA,265,24,50,22,0,35,4,31,267,24,50,21,0,38,4,27,Grădinița nr. 39 „Căsuța Fermecată”,,Brăila,45.2456,27.9448
22,9,BRĂILA,MUNICIPIUL BRĂILA,236,16,57,45,1,21,15,35,242,15,51,45,1,21,16,35,Grădinița nr. 39 „Căsuța Fermecată”,,Brăila,45.2456,27.9448
23,9,BRĂILA,MUNICIPIUL BRĂILA,290,19,60,18,0,20,9,34,286,18,60,22,1,20,12,35,Grădinița nr. 39 „Căsuța Fermecată”,,Brăila,45.2456,27.9448
24,9,BRĂILA,MUNICIPIUL BRĂILA,272,26,61,33,1,28,9,33,274,28,63,32,0,27,7,30,Școala Gimnazială nr. 28 „Vasile Alecsandri”,,Brăila,45.2464,27.9481
25,9,BRĂILA,MUNICIPIUL BRĂILA,214,15,40,12,1,8,8,31,215,18,43,13,0,8,6,25,Școala Gimnazială nr. 28 „Vasile Alecsandri”,,Brăila,45.2464,27.9481
26,9,BRĂILA,MUNICIPIUL BRĂILA,223,12,38,12,2,28,6,28,225,11,40,16,1,28,5,25,Școala Gimnazială nr. 28 „Vasile Alecsandri”,,Brăila,45.2464,27.9481
27,9,BRĂILA,MUNICIPIUL BRĂILA,320,47,97,40,2,27,11,47,316,45,96,43,0,42,11,41,Școala Gimnazială nr. 28 „Vasile Alecsandri”,,Brăila,45.2464,27.9481
28,9,BRĂILA,MUNICIPIUL BRĂILA,228,8,31,27,2,16,8,24,221,9,35,29,2,18,7,22,Școala Gimnazială nr. 28 „Vasile Alecsandri”,,Brăila,45.2464,27.9481
29,9,BRĂILA,MUNICIPIUL BRĂILA,337,19,71,25,0,23,14,54,332,17,81,24,0,27,16,47,Grădinița nr. 38 „Izvorașul”,,Brăila,45.2429,27.9489
30,9,BRĂILA,MUNICIPIUL BRĂILA,164,16,41,18,1,14,8,27,167,16,36,17,1,14,8,30,Școala Gimnazială nr. 29 „Mihail Sadoveanu”,,Brăila,45.2496,27.9513
31,9,BRĂILA,MUNICIPIUL BRĂILA,247,25,89,21,0,37,15,39,250,25,94,20,0,34,14,36,Școala Gimnazială nr. 29 „Mihail Sadoveanu”,,Brăila,45.2496,27.9513
32,9,BRĂILA,MUNICIPIUL BRĂILA,329,29,71,29,0,35,19,53,320,28,74,30,1,42,19,48,Școala Gimnazială nr. 29 „Mihail Sadoveanu”,,Brăila,45.2496,27.9513
