id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
368,10,BUZĂU,SMEENI,247,6,13,18,1,4,3,23,249,4,15,18,1,8,4,15,Școala Gimnazială Albești,,Albești,44.9912,26.9242
197,10,BUZĂU,CERNĂTEŞTI,233,4,38,9,1,5,4,11,233,6,35,10,1,6,5,11,Căminul Cultural din Satul Aldeni,,Aldeni,45.3079,26.7515
220,10,BUZĂU,COLŢI,50,0,14,3,0,3,3,4,49,1,14,4,0,2,3,5,Școala Gimnazială Aluniș,,Aluniș,45.4089,26.4141
139,10,BUZĂU,BALTA ALBĂ,403,2,126,34,0,11,5,15,404,3,125,38,0,12,6,21,Școala Gimnazială Sat Amara,,Amara,45.2457,27.2911
133,10,BUZĂU,AMARU,228,5,34,6,0,12,12,28,238,6,33,7,0,11,13,23,Școala Generală Amaru,,Amaru,44.9276,26.5889
361,10,BUZĂU,SCUTELNICI,156,2,8,4,2,3,0,5,162,1,10,6,2,3,0,2,Școala Primară Sat Arcanu,,Arcanu,44.8378,26.9864
310,10,BUZĂU,PÎRSCOV,104,6,13,2,0,2,1,5,107,6,14,1,0,2,2,5,Școala Generală Bădila,,Badila,45.2567,26.5073
137,10,BUZĂU,BALTA ALBĂ,185,6,33,11,0,5,1,5,190,3,30,12,1,4,1,5,Grădinița cu Program Normal Sat Balta Albă,,Balta Albă,45.3033,27.2849
357,10,BUZĂU,SCORŢOASA,60,1,9,14,1,8,0,4,61,1,5,16,1,7,0,5,Școala Gimnazială Sat Balta Tocila,,Balta Tocila,45.4045,26.6957
344,10,BUZĂU,SĂGEATA,70,2,19,16,0,3,0,9,67,1,20,17,0,4,3,9,Școala Banița,,Banița,45.1012,27.1021
141,10,BUZĂU,BECENI,237,6,35,15,0,17,7,20,230,7,35,17,0,17,9,25,Școala Primară Beceni,,Beceni,45.3832,26.7672
358,10,BUZĂU,SCORŢOASA,58,0,3,2,0,1,0,4,59,0,3,3,0,1,0,1,Școala Primară Sat Beciu,,Beciu,45.3762,26.7113
305,10,BUZĂU,PĂNĂTĂU,98,4,3,2,0,1,0,6,96,4,5,1,0,3,0,9,Camin Cultural Begu,,Begu,45.3357,26.3966
342,10,BUZĂU,SĂGEATA,135,4,9,5,0,6,0,6,132,3,8,5,1,6,0,5,Școala Beilic,,Beilic,45.085,27.0132
234,10,BUZĂU,GĂLBINAŞI,192,12,50,18,1,4,7,25,189,13,45,22,2,6,6,21,Căminul Cultural Bentu,,Bentu,45.0678,26.9708
146,10,BUZĂU,BERCA,334,18,85,25,0,10,11,43,325,23,90,28,0,13,11,36,Casa de Cultură Berca-Parter,Str. 1 Decembrie nr. 71,Berca,45.2845,26.6867
147,10,BUZĂU,BERCA,245,31,70,31,0,11,6,24,245,28,71,34,0,12,9,25,Casa de Cultură Berca-Etaj 1,Str. 1 Decembrie nr. 71,Berca,45.2845,26.6867
148,10,BUZĂU,BERCA,183,25,59,22,3,8,4,12,191,23,51,25,4,9,5,10,"Liceul Tehnologic Sf.Mucenic Sava, Berca",Str. Șoimului nr. 412,Berca,45.2876,26.6731
286,10,BUZĂU,MÎNZĂLEŞTI,146,5,28,3,1,3,4,18,147,4,32,5,2,4,6,12,Școala Gimnazială „Dumitru N. Cristea” Beșlii,,Beșlii,45.4843,26.6723
156,10,BUZĂU,BISOCA,123,2,10,3,0,8,2,9,127,2,10,2,0,7,3,6,Sala de Festivitati a Primariei Bisoca,,Bisoca,45.5407,26.7068
160,10,BUZĂU,BLĂJANI,429,8,15,16,1,10,5,9,431,7,13,14,1,11,5,9,Căminul Cultural Blăjani,,Blăjani,45.314,26.8117
215,10,BUZĂU,COCHIRLEANCA,227,4,115,15,0,9,3,20,220,6,120,19,0,10,5,18,Școala Gimnazială Boboc,,Boboc,45.1944,26.9872
