id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
140,11,CARAȘ-SEVERIN,ORAŞ ORAVIŢA,36,1,8,2,1,2,1,6,31,2,9,3,1,3,2,5,Școala Primară Agadici,Nr. 73,Agadici,45.1084,21.6943
92,11,CARAȘ-SEVERIN,ORAŞ ANINA,152,5,120,12,3,4,11,24,168,5,121,11,4,6,7,10,Casa de Cultură Anina,Str. Sfînta Varvara (Str. 1 Mai) nr. 5,Anina,45.0956,21.8555
93,11,CARAȘ-SEVERIN,ORAŞ ANINA,143,6,105,11,6,14,4,14,147,7,110,10,6,11,7,10,Centrul de Afaceri Anina,Str. Sfînta Varvara (Str. 1 Mai) nr. 51,Anina,45.0916,21.8511
94,11,CARAȘ-SEVERIN,ORAŞ ANINA,126,2,65,2,0,2,4,8,126,2,65,3,1,3,4,6,Școala Gimnazială nr. 1 Celnic Grădinița cu Program Normal nr. 1 Celnic,Str. Cheile Gîrliștei (Str. Scînteii) nr. 2,Anina,45.1055,21.8613
95,11,CARAȘ-SEVERIN,ORAŞ ANINA,90,2,53,6,0,8,2,7,89,1,55,6,0,7,5,9,Sediul S.C. Gostrans S.A.,Str. Uzinei nr. 12,Anina,45.1003,21.8577
96,11,CARAȘ-SEVERIN,ORAŞ ANINA,84,0,54,2,2,3,5,7,85,0,55,3,2,3,6,9,Școala Gimnazială nr. 1 Celnic Grădinița cu Program Normal nr. 2 Orașul Nou,Str. Oraș Nou,Anina,45.1046,21.8682
97,11,CARAȘ-SEVERIN,ORAŞ ANINA,132,6,75,8,0,7,5,10,129,6,79,8,0,8,5,9,Centrul de Zi Anina,Str. Libertății (Str. 23 August) nr. 28,Anina,45.0861,21.8515
98,11,CARAȘ-SEVERIN,ORAŞ ANINA,109,3,84,7,0,4,1,8,107,3,92,6,0,3,2,7,Sediul Depozitul Final Cântar,Str. Cloșca,Anina,45.0861,21.8535
99,11,CARAȘ-SEVERIN,ORAŞ ANINA,58,4,43,8,1,2,2,11,52,2,50,7,0,3,3,9,Școala Gimnazială nr. 1 Celnic Grădinița cu Program Normal nr. 4 Sigismund,Str. Republicii,Anina,45.075,21.852
100,11,CARAȘ-SEVERIN,ORAŞ ANINA,120,3,163,13,2,7,1,23,127,2,171,10,2,7,3,14,Liceul „Mathias Hammer” Anina Școala Gimnazială nr. 2 Steierdorf,Str. Victoriei,Anina,45.0632,21.8397
