id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
288,13,CLUJ,AGHIREŞU,81,16,94,10,23,14,6,12,85,14,101,10,23,11,4,7,Școala Generală Aghiresu,,Aghireșu,46.8699,23.2396
289,13,CLUJ,AGHIREŞU,117,10,121,4,60,14,5,12,114,14,119,4,57,18,8,15,Sediu Consiliu Local,,Aghireșu-Fabrici,46.8654,23.2717
290,13,CLUJ,AGHIREŞU,67,20,98,9,31,20,3,19,65,20,105,10,32,21,3,12,Școala Generală Aghiresu-Fabrici,,Aghireșu-Fabrici,46.8657,23.2733
477,13,CLUJ,IARA,14,2,51,1,1,9,1,10,16,2,52,2,1,9,1,9,Școala,,Agriș,46.5941,23.5209
375,13,CLUJ,CĂPUŞU MARE,49,2,159,25,3,2,6,15,45,4,160,23,3,1,6,15,Căminul Cultural,Nr. 201 A,Agârbiciu,46.7704,23.2766
300,13,CLUJ,AITON,122,17,29,7,29,2,4,17,130,14,29,8,32,2,5,14,Camin Cultural Aiton,,Aiton,46.682,23.736
302,13,CLUJ,ALUNIŞ,36,3,64,1,1,14,2,17,35,2,64,1,1,16,2,16,Camin Cultural Alunis,,Aluniș,47.0398,23.7466
601,13,CLUJ,SÂNCRAIU,10,0,1,0,49,2,3,6,9,0,1,1,50,2,2,5,Alunisu nr. 74 Caminul Cultural,Nr. 74,Alunișu,46.8291,22.9415
306,13,CLUJ,APAHIDA,180,52,182,26,6,13,15,34,174,54,181,26,4,17,18,36,Sala Sport Liceu Tehnologic „Ștefan Pascu”,Str. Libertății nr. 114,Apahida,46.8043,23.754
307,13,CLUJ,APAHIDA,149,55,147,12,12,13,7,30,145,59,146,13,12,12,10,32,Sala Sport Liceu Tehnologic „Ștefan Pascu”,Str. Libertății nr. 114,Apahida,46.8043,23.754
308,13,CLUJ,APAHIDA,171,72,222,18,4,13,16,46,167,73,226,17,7,12,15,42,Sala Sport Liceu Tehnologic „Ștefan Pascu”,Str. Libertății nr. 114,Apahida,46.8043,23.754
309,13,CLUJ,APAHIDA,141,59,117,13,14,14,16,31,138,57,119,15,14,11,21,35,Sala Sport Liceu Tehnologic „Ștefan Pascu”,Str. Libertății nr. 114,Apahida,46.8043,23.754
291,13,CLUJ,AGHIREŞU,9,1,29,1,1,2,4,9,10,1,32,1,1,1,3,6,Camin Cultural Arghisu,,Arghișu,46.9376,23.2406
619,13,CLUJ,SUATU,34,3,16,0,1,5,5,10,31,4,17,0,1,5,6,13,Sediul Administrativ din Aruncuta,Nr. 201A,Aruncuta,46.7322,23.9659
315,13,CLUJ,AŞCHILEU,99,7,36,5,1,5,4,12,97,8,37,3,1,6,4,9,Grădinița Așchileu Mare,Nr. 180,Așchileu Mare,46.9818,23.4888
316,13,CLUJ,AŞCHILEU,81,0,16,4,2,12,2,4,81,0,17,4,2,13,3,7,Grădinița Așchileu Mic,Nr. 158,Așchileu Mic,46.985,23.4371
319,13,CLUJ,BACIU,73,180,174,8,69,27,7,32,74,186,172,7,66,26,8,32,Spațiu Comercial,"Str. Jupiter nr. 3, Bloc G",Baciu,46.7846,23.5422
320,13,CLUJ,BACIU,138,97,165,7,225,18,12,27,138,96,160,10,219,22,12,28,Casa de Cultură Baciu,Str. Transilvaniei nr. 269,Baciu,46.7956,23.5194
321,13,CLUJ,BACIU,165,94,180,15,169,14,9,41,160,95,181,16,170,15,13,42,Casa de Cultură Baciu,Str. Transilvaniei nr. 269,Baciu,46.7956,23.5194
322,13,CLUJ,BACIU,66,13,69,3,155,14,2,11,66,15,71,3,155,9,5,11,Casa de Cultură Baciu,Str. Transilvaniei nr. 269,Baciu,46.7956,23.5194
637,13,CLUJ,UNGURAŞ,77,5,60,3,10,6,3,13,84,6,62,2,10,6,4,7,Școala Gimnazială Batin,Nr. 53,Batin,47.0712,24.0578
515,13,CLUJ,MĂNĂSTIRENI,110,7,51,2,2,29,5,19,110,8,55,2,2,25,5,19,Școala Generală,,Bedeciu,46.7946,23.1319
334,13,CLUJ,BELIŞ,97,23,74,6,3,12,23,31,98,23,68,6,3,11,29,37,Primăria Beliș,Nr. 105 A,Beliș,46.6815,23.0299
458,13,CLUJ,FRATA,48,4,50,2,3,1,7,13,48,5,51,3,4,1,7,13,Caminul Cultural Berchiesu,,Berchieșu,46.728,24.0391
615,13,CLUJ,SÎNPAUL,46,2,80,1,0,2,4,8,49,4,80,1,0,3,4,6,Sediul Școlii Gen Berindu,Nr. 56,Berindu,46.932,23.4383
287,13,CLUJ,ORAŞ HUEDIN,5,0,14,1,100,2,1,3,3,1,19,0,96,2,1,2,Camin Cultural,Nr. FN,Bicălatu,46.8809,23.0509
341,13,CLUJ,BOBÎLNA,118,2,19,4,1,2,6,11,118,2,19,6,0,2,7,11,Școala Generală Bobîlna,Nr. 36,Bobâlna,47.1437,23.643
362,13,CLUJ,CĂLĂRAŞI,119,9,61,18,24,4,0,13,115,12,61,15,24,8,1,8,Căminul Cultural Bogata,Nr. 79/A,Bogata,46.5137,23.8151
641,13,CLUJ,VAD,34,0,76,1,0,5,5,19,42,0,78,2,2,4,5,6,Centru de Zi Pentru Copii,Nr. 21,Bogata de Jos,47.2037,23.704
