id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
90,15,COVASNA,AITA MARE,6,1,6,3,221,1,1,3,9,2,3,4,223,3,0,0,Sediul Primăriei Comunei Aita Mare,Nr. 206,Aita Mare,45.9652,25.5593
91,15,COVASNA,AITA MARE,3,4,5,4,159,13,4,7,5,3,4,3,149,16,5,8,Căminul Cultural Aita Medie,Nr. 326,Aita Medie,45.9769,25.6095
100,15,COVASNA,BĂŢANI,5,0,1,3,204,4,2,6,5,0,2,2,203,4,1,8,Sediul de Deplasare al Primariei În Aita Seacă,Nr. 440,Aita Seacă,46.0383,25.6899
131,15,COVASNA,CERNAT,2,0,4,2,113,1,0,5,2,1,4,1,118,1,0,4,"Clădirea Consiliului Local Cernat, Albiș",Nr. 43,Albiș,45.9367,26.0054
196,15,COVASNA,TURIA,2,1,1,1,158,1,2,5,3,0,1,1,158,1,3,6,Școala Primară „Reményik Sándor” Alungeni,Nr. 85,Alungeni,46.0169,26.0257
148,15,COVASNA,GHIDFALĂU,2,4,3,1,183,5,0,5,3,3,3,1,186,4,1,4,"Clădire Aflată În Domeniul Public al Comunei Ghidfalău, Sat Angheluș",Nr. 142A,Angheluș,45.8779,25.8863
180,15,COVASNA,RECI,18,0,1,2,111,10,2,10,14,1,1,3,117,10,2,5,Școala Primară-Aninoasa,Nr. 26,Aninoasa,45.8173,25.9639
200,15,COVASNA,VÎLCELE,28,4,14,28,58,1,2,18,37,4,16,27,60,2,2,12,Sediul Primăriei În Satul Araci-Corpul A,Nr. 463,Araci,45.8058,25.6543
201,15,COVASNA,VÎLCELE,35,0,15,27,33,2,6,19,37,2,12,27,32,2,5,18,Sediul Primăriei În Satul Araci-Corpul B,Nr. 463,Araci,45.8058,25.6543
92,15,COVASNA,ARCUŞ,12,13,10,0,626,1,1,7,10,10,9,1,628,2,3,9,Sediul Consiliului Local Arcuș,Nr. 1,Arcuș,45.9,25.7777
202,15,COVASNA,VÎLCELE,29,1,11,22,29,2,6,14,36,4,12,18,31,2,5,10,Școala Primară Ariușd,Nr. 150,Ariușd,45.7768,25.6763
70,15,COVASNA,ORAŞ BARAOLT,11,9,7,3,315,19,2,6,9,8,8,3,315,18,3,4,Primăria Orașului Baraolt,Piața Libertății (Piața Baraoltului) nr. 2,Baraolt,46.0766,25.598
71,15,COVASNA,ORAŞ BARAOLT,10,7,3,4,367,5,0,10,7,7,2,2,372,9,2,7,Casa de Cultură Baraolt,Str. Kossuth Lajos nr. 129,Baraolt,46.0751,25.6003
72,15,COVASNA,ORAŞ BARAOLT,15,3,2,4,307,3,0,4,14,3,3,4,307,3,1,2,Școala Gimnazială Gaál Mózes Baraolt,Calea Trandafirilor nr. 3,Baraolt,45.8682,25.7891
73,15,COVASNA,ORAŞ BARAOLT,9,7,5,3,353,6,1,4,9,4,5,2,360,5,1,5,Grădinița cu Program Prelungit „Cimbora”,Calea Trandafirilor nr. BL 3A,Baraolt,46.0783,25.6007
93,15,COVASNA,BARCANI,152,1,53,25,4,17,5,18,157,2,57,22,3,10,3,20,Căminul Cultural Barcani,Nr. 270,Barcani,45.6907,26.081
