id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
82,12,CĂLĂRAȘI,ALEXANDRU ODOBESCU,149,3,278,26,1,7,5,23,146,5,276,23,1,5,6,25,Școala Gimnazială nr. 2 Alexandru Odobescu,Str. Berzei nr. 64,Alexandru Odobescu,44.268,27.09
68,12,CĂLĂRAȘI,ORAŞ BUDEŞTI,134,4,59,0,0,9,2,9,126,3,63,3,0,10,5,14,Școala Gimnazială nr. 1aprozi,Str. Mihail Sadoveanu nr. 21,Aprozi,44.2642,26.4979
155,12,CĂLĂRAȘI,ILEANA,125,3,8,5,0,0,2,9,125,3,11,7,0,0,1,4,Școala Artari,Nr. 1,Arțari,44.5674,26.6687
84,12,CĂLĂRAȘI,BELCIUGATELE,176,0,350,6,1,19,0,27,177,7,350,10,1,18,2,18,Școala Gimnazială nr. 1 Belciugatele,,Belciugatele,44.486,26.4304
148,12,CĂLĂRAȘI,GRĂDIŞTEA,69,2,125,11,0,3,2,10,70,1,126,11,1,2,3,12,Școala Bogata,Calea Călărași nr. 74,Bogata,44.2072,27.1134
86,12,CĂLĂRAȘI,BORCEA,153,3,98,6,0,11,3,18,155,3,98,9,0,12,4,13,Școala Gimnazială nr. 3 Borcea,Nr. 158,Borcea,44.3222,27.7147
87,12,CĂLĂRAȘI,BORCEA,156,10,98,9,0,18,0,11,159,11,94,10,0,16,1,12,Grădinița cu Program Normal nr. 3 Borcea,Nr. 161,Borcea,44.3225,27.7146
88,12,CĂLĂRAȘI,BORCEA,204,12,161,6,1,7,5,25,196,13,169,6,1,6,7,22,Liceul Tehnologic nr. 1 Borcea Clasele I-IV Sala A,Nr. 278,Borcea,44.3308,27.7476
89,12,CĂLĂRAȘI,BORCEA,262,20,169,11,0,7,2,20,251,16,165,17,0,11,2,23,Liceul Tehnologic nr. 1 Borcea Clasele I-IV Sala B,Nr. 278,Borcea,44.3308,27.7476
90,12,CĂLĂRAȘI,BORCEA,218,7,135,20,2,12,6,25,225,9,133,22,1,13,6,18,Școala Gimnazială nr. 2 Borcea,Nr. 570,Borcea,44.3373,27.7629
123,12,CĂLĂRAȘI,DOROBANŢU,79,0,110,0,0,1,0,3,76,0,107,0,0,1,1,6,Școala cu Clasele I-IV Boșneagu,Nr. 64,Boșneagu,44.2378,26.9326
69,12,CĂLĂRAȘI,ORAŞ BUDEŞTI,87,0,56,1,1,26,3,6,86,0,54,1,0,25,3,9,Școala Primară nr. 2 Buciumeni,Str. Carol I nr. 21,Buciumeni,44.2544,26.4135
66,12,CĂLĂRAȘI,ORAŞ BUDEŞTI,203,7,82,8,0,50,12,19,203,4,80,10,0,49,12,20,Școala Gimnazială Gheorghe Manu,Calea București nr. 77,Budești,44.2346,26.4621
67,12,CĂLĂRAȘI,ORAŞ BUDEŞTI,217,0,65,11,0,55,10,19,219,1,62,12,0,59,9,18,Școala Gimnazială Gheorghe Manu,,Budești,44.2346,26.4621
80,12,CĂLĂRAȘI,ORAŞ LEHLIU GARĂ,163,7,18,1,0,6,6,23,155,8,20,1,0,5,8,21,Școala cu Clasele I-IV,Str. Primăverii nr. 56,Buzoeni,44.4144,26.8107
109,12,CĂLĂRAȘI,CUZA VODA,208,16,216,11,0,10,8,25,205,18,212,11,0,13,5,23,Școala Ceacu,Str. 7 nr. 35,Ceacu,44.2641,27.2525
207,12,CĂLĂRAȘI,SPANŢOV,119,4,188,1,1,4,9,17,115,4,183,1,2,6,6,18,Școala Cetatea Veche,Nr. 141,Cetatea Veche,44.1255,26.7698
92,12,CĂLĂRAȘI,CHIRNOGI,195,9,96,7,0,23,5,53,206,9,124,10,0,28,8,20,Școala cu Clasele I-VIII nr. 1,Nr. 12,Chirnogi,44.1077,26.5686
93,12,CĂLĂRAȘI,CHIRNOGI,327,22,127,12,2,42,9,26,324,23,119,16,2,43,9,25,Școala cu Clasele I-VIII nr. 2,Nr. 73,Chirnogi,44.1063,26.5762
94,12,CĂLĂRAȘI,CHIRNOGI,250,18,121,14,0,21,8,34,249,18,138,18,0,19,12,19,Școala cu Clasele I-VIII nr. 2,Nr. 73,Chirnogi,44.1063,26.5762
95,12,CĂLĂRAȘI,CHIRNOGI,214,11,71,10,0,14,10,33,222,12,71,13,0,14,11,27,Școala cu Clasele I-VIII nr. 3,Nr. 35,Chirnogi,44.1145,26.5755
96,12,CĂLĂRAȘI,CHISELET,92,3,128,2,0,15,7,12,94,3,126,3,0,15,8,11,Școala Generală nr. 1,Nr. 228,Chiselet,44.1679,26.8555
97,12,CĂLĂRAȘI,CHISELET,149,4,339,3,0,17,4,27,151,4,343,5,1,16,7,19,Școala Generală nr. 1,Nr. 228,Chiselet,44.1679,26.8555
98,12,CĂLĂRAȘI,CHISELET,116,6,145,3,0,26,2,12,123,6,144,3,1,24,5,15,Școala Generală nr. 2,Nr. 98,Chiselet,44.1581,26.8434
99,12,CĂLĂRAȘI,CIOCĂNEŞTI,108,8,139,4,2,14,5,25,104,7,132,3,4,13,4,41,Școala Smardan,Str. Lalelelor nr. 20,Ciocănești,44.2055,27.1017
100,12,CĂLĂRAȘI,CIOCĂNEŞTI,99,0,99,3,0,4,1,21,97,5,98,6,1,3,2,14,Școala Margineni,Str. Margaretelor nr. 4,Ciocănești,44.1982,27.0745
101,12,CĂLĂRAȘI,CIOCĂNEŞTI,168,15,185,7,1,12,9,25,170,13,189,12,1,11,10,21,Grădinița nr. 1 Sarbi,Str. Principală nr. 289,Ciocănești,44.1965,27.0631
102,12,CĂLĂRAȘI,CIOCĂNEŞTI,117,8,200,11,1,2,2,8,122,9,194,11,2,4,2,9,Școala Andolina,Str. Principală nr. 413 BIS,Ciocănești,44.1993,27.0477
176,12,CĂLĂRAȘI,MITRENI,80,3,66,0,0,7,9,21,80,3,65,3,0,8,8,14,Grădinița cu Program Normal nr. 3 Clatesti,Nr. 227,Clătești,44.1427,26.5982
172,12,CĂLĂRAȘI,MÂNĂSTIREA,92,0,107,15,1,5,2,10,102,0,102,6,1,5,4,7,Școala Generală Coconi,Str. Macului nr. 155,Coconi,44.244,26.8791
129,12,CĂLĂRAȘI,DRAGALINA,176,0,65,1,1,3,2,10,182,0,61,1,0,2,2,12,Școala Gimnazială nr. 2 Constantin Brancoveanu,Nr. 9,Constantin Brâncoveanu,44.4766,27.412
113,12,CĂLĂRAȘI,DICHISENI,147,7,165,14,0,10,2,10,147,7,161,15,0,13,2,11,Școala Primară nr. 1,Str. Ștefan Bănică nr. 14,Coslogeni,44.2258,27.492
150,12,CĂLĂRAȘI,GURBĂNEŞTI,70,2,78,2,0,2,2,6,68,1,80,2,0,1,3,10,Grădinița cu Program Normal Cotofanca,Str. Haiducilor nr. 19,Coțofanca,44.3809,26.6998
103,12,CĂLĂRAȘI,CRIVĂŢ,102,0,151,3,0,66,2,16,97,2,151,5,0,65,4,17,Școala Gimnazială „Nicolae Petrescu”,Nr. 62,Crivăț,44.1929,26.441
104,12,CĂLĂRAȘI,CRIVĂŢ,102,9,124,4,0,48,2,11,110,9,120,7,1,41,3,12,Școala Gimnazială „Nicolae Petrescu”,Nr. 62,Crivăț,44.1929,26.441
191,12,CĂLĂRAȘI,PLĂTĂREŞTI,89,5,79,5,0,2,5,8,87,5,76,3,0,2,6,13,Școala Generală Cucuieti,Nr. 33,Cucuieți,44.3309,26.3966
147,12,CĂLĂRAȘI,GRĂDIŞTEA,142,7,156,4,0,5,3,12,145,9,154,3,0,7,3,10,Școala Cunești,Calea Călărași nr. 54,Cunești,44.2229,27.1767
