id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
225,17,DOLJ,AFUMAŢI,184,6,202,37,3,22,7,11,165,8,216,36,3,22,7,13,Consiliul Local Afumati,,Afumați,44.0063,23.4637
492,17,DOLJ,ŞIMNICU DE SUS,179,10,32,67,0,20,10,25,174,10,33,69,1,21,10,23,Grădinița Albesti,Nr. 94,Albești,44.3747,23.7634
228,17,DOLJ,ALMĂJ,359,7,183,13,1,19,1,35,375,8,183,11,2,26,0,12,Școala Gimnazială „Ion Ghe. Pleșa”,,Almăj,44.4469,23.7047
230,17,DOLJ,AMĂRĂŞTII DE JOS,354,8,249,31,0,13,15,22,357,9,257,23,0,9,13,23,Caminul Cultural Amarastii de Jos,,Amărăștii de Jos,43.9547,24.1649
231,17,DOLJ,AMĂRĂŞTII DE JOS,288,2,166,13,1,10,3,14,280,1,175,12,2,10,4,13,Grădinița Tosca,,Amărăștii de Jos,43.9508,24.1586
234,17,DOLJ,AMĂRĂŞTII DE SUS,726,8,100,19,2,25,3,22,718,6,102,20,4,36,4,16,Căminul Cultural,,Amărăștii de Sus,43.9815,24.1563
235,17,DOLJ,APELE VII,453,6,515,42,3,19,8,25,437,7,528,40,2,36,9,29,Căminul Cultural,,Apele Vii,44.0664,24.0629
236,17,DOLJ,ARGETOAIA,291,0,109,22,0,12,4,14,278,7,114,24,0,14,8,13,Școala Profesională C-Tin Argetoaianu,,Argetoaia,44.5151,23.3759
237,17,DOLJ,ARGETOAIA,202,0,48,14,0,9,5,13,206,0,47,16,0,7,7,11,Școala Profesională C-Tin Argetoaianu,,Argetoaia,44.5151,23.3759
189,17,DOLJ,MUNICIPIUL BĂILEŞTI,66,1,6,2,0,12,23,26,66,1,6,2,0,14,24,26,Școala Gimnazială Balasan,,Balasan,44.0248,23.2621
419,17,DOLJ,MURGAŞI,388,2,31,3,0,5,5,11,376,1,31,7,0,10,4,8,Grădinița Balota de Jos,Str. Florea Marinescu nr. 47,Balota de Jos,44.5461,23.8123
445,17,DOLJ,PODARI,152,5,23,9,0,13,2,6,152,7,21,6,0,14,4,8,Școala Generală Balta Verde,Str. Școlii nr. 2A,Balta Verde,44.2623,23.7999
191,17,DOLJ,MUNICIPIUL CALAFAT,336,10,31,29,0,11,3,9,326,9,41,9,0,28,4,10,Caminul Cultural Basarabi (Din Cadrul Casei de Cultura Calafat),Nr. 114,Basarabi,44.0066,23.0085
490,17,DOLJ,SOPOT,136,0,24,4,0,10,1,4,131,0,24,1,0,12,2,4,Școala cu Clasele I-IV Bașcov,,Bașcov,44.3886,23.5212
200,17,DOLJ,ORAŞ BECHET,412,10,38,27,1,30,7,16,415,8,34,28,2,33,7,16,Liceul Teoretic Bechet,,Bechet,43.7869,23.9505
201,17,DOLJ,ORAŞ BECHET,273,4,25,15,0,14,9,14,272,6,18,16,1,16,8,14,Școala Primară Bechet Vale,,Bechet,43.7731,23.9481
202,17,DOLJ,ORAŞ BECHET,359,5,32,28,0,14,4,15,370,7,32,25,1,13,4,10,Biblioteca Oraseneasca Bechet,,Bechet,43.7858,23.9568
321,17,DOLJ,COŢOFENII DIN FAŢĂ,152,2,43,7,1,5,1,5,148,5,45,6,1,6,1,3,Școala cu Clasele I-IV,,Beharca,44.4459,23.6826
279,17,DOLJ,CALOPĂR,129,1,19,6,0,33,8,25,126,0,16,2,0,35,10,28,Școala cu Clasele I-VIII Belcinu,,Belcinu,44.1283,23.7924
488,17,DOLJ,SOPOT,133,2,9,8,0,7,0,4,132,2,9,6,0,10,0,4,Școala cu Clasele I-VIII Beloț,,Beloț,44.3864,23.5457
340,17,DOLJ,DRĂGOTEŞTI,130,1,29,49,0,11,1,7,135,1,28,50,0,10,1,5,Școala cu Clasele I-IV Benești,Str. Iancu Jianu nr. 140,Benești,44.259,24.0934
242,17,DOLJ,BISTREŢ,501,2,32,56,0,15,2,14,494,1,32,54,1,30,2,12,Școala Gimnazială Bistreț,,Bistreț,43.89,23.5025
243,17,DOLJ,BISTREŢ,380,2,58,12,2,6,8,12,375,2,63,10,0,9,6,10,Școala Gimnazială Bistreț,,Bistreț,43.892,23.4885
244,17,DOLJ,BISTREŢ,284,7,22,1,0,3,3,11,282,6,26,2,0,3,2,11,Școala Primară Bistretu Nou,,Bistrețu Nou,43.9003,23.47
403,17,DOLJ,MELINEŞTI,163,2,16,7,2,23,64,76,172,0,21,5,2,24,48,62,Sediul Fostei Școli Generale Bodaiesti,,Bodăiești,44.5882,23.6857
404,17,DOLJ,MELINEŞTI,76,5,11,8,0,7,19,24,88,3,11,8,1,9,10,14,Școala Generală Bodăieștii de Sus,,Bodăieștii de Sus,44.5687,23.6493
345,17,DOLJ,DRĂNIC,56,0,133,1,1,4,3,6,55,0,132,2,1,2,4,5,Școala cu Clasele I-IV Booveni,,Booveni,44.0811,23.833
248,17,DOLJ,BOTOŞEŞTI-PAIA,447,7,18,44,0,44,2,4,423,5,18,59,1,47,3,4,Căminul Cultural,,Botoșești-Paia,44.4031,23.2682
226,17,DOLJ,AFUMAŢI,229,8,73,20,7,44,13,20,225,7,74,19,8,47,16,25,Caminul Cultural Boureni,,Boureni,44.0174,23.4303
326,17,DOLJ,DANEŢI,210,3,209,46,2,5,0,13,213,4,211,45,2,5,1,13,Școala Generală cu Clasele I-VIII Brabeți,Str. Nicolae Titulescu nr. 104,Brabeți,43.9624,24.0126
249,17,DOLJ,BRABOVA,339,4,26,7,1,38,5,10,337,4,27,7,4,35,5,7,Căminul Cultural Brabova,Str. Centrală nr. 128,Brabova,44.3697,23.4202
253,17,DOLJ,BRALOŞTIŢA,158,1,69,32,1,37,12,16,153,2,75,32,0,40,9,19,Sala de Sedințe a Consiliului Local Braloștița,Str. Stadionului (Str. Stadion) nr. 1,Braloștița,44.4988,23.5268
