id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
257,16,DÂMBOVIȚA,GURA OCNIŢEI,387,20,75,90,1,32,35,55,374,21,77,97,1,25,31,56,Școala cu Clasele. I-VIII Adânca,Str. Principală nr. 301,Adânca,44.9209,25.614
204,16,DÂMBOVIȚA,CORNĂŢELU,121,1,11,2,0,2,1,2,123,1,10,2,1,3,1,2,Școala cu Clasele I-IV Alunișu,Str. Dimitrie Rallet nr. 21,Alunișu,44.7219,25.7247
130,16,DÂMBOVIȚA,ANINOASA,453,28,77,25,0,27,10,35,450,31,89,27,0,18,17,31,Școala Gimnazială Aninoasa,Str. Constantin Manolescu nr. 79,Aninoasa,44.9764,25.4355
131,16,DÂMBOVIȚA,ANINOASA,256,24,33,11,3,19,9,22,249,21,35,15,2,18,13,26,Școala Gimnazială Aninoasa,Str. Constantin Manolescu nr. 79,Aninoasa,44.9764,25.4355
246,16,DÂMBOVIȚA,FINTA,107,7,88,5,0,7,3,12,100,6,87,7,0,5,3,19,Școala Bechinești,Str. Matei Basarab nr. 69 BIS,Bechinești,44.7894,25.8224
87,16,DÂMBOVIȚA,ORAŞ FIENI,151,5,45,5,0,8,2,19,148,4,47,7,0,8,4,21,Grădinița „Piticii” Berevoiești,Nr. 96,Berevoești,45.1193,25.4235
142,16,DÂMBOVIȚA,BEZDEAD,200,8,380,19,0,22,9,25,208,10,371,18,0,18,10,30,Școala Gimnazială „Grigore Rădulescu” Bezdead,Nr. 247,Bezdead,45.1409,25.498
143,16,DÂMBOVIȚA,BEZDEAD,220,3,230,7,2,11,1,15,209,6,238,7,0,9,4,26,Școala Gimnazială „Vasile Voiculescu” Bezdead,Nr. 1058,Bezdead,45.1578,25.5288
145,16,DÂMBOVIȚA,BILCIUREŞTI,444,13,105,23,0,23,5,29,436,15,104,20,0,19,3,29,Căminul Cultural,,Bilciurești,44.7507,25.7993
203,16,DÂMBOVIȚA,CORNĂŢELU,306,8,36,13,0,1,3,13,299,11,42,10,0,1,5,11,Școala cu Clasele I-IV Bolovani,Str. Ion Bolovăneanu nr. 525,Bolovani,44.7281,25.6317
191,16,DÂMBOVIȚA,CONŢEŞTI,245,6,15,8,0,1,3,10,242,7,13,7,0,2,5,14,"Școala cu Clasele I-IV Boteni, Localitatea Boteni, Strada Aeroportului nr. 308g",Nr. 170,Boteni,44.6636,25.6268
146,16,DÂMBOVIȚA,BRANIŞTEA,422,16,72,12,2,12,5,13,419,15,78,12,0,11,7,19,"Școala „Spiru Haret” Braniștea, Clasele I-IV, Sala de Clasa nr. 1",,Braniștea,44.6788,25.577
147,16,DÂMBOVIȚA,BRANIŞTEA,453,11,84,9,2,6,5,12,445,11,88,9,3,7,5,15,"Școala „Spiru Haret” Braniștea, Clasele I-IV, Sala de Clasa nr. 2",,Braniștea,44.6788,25.577
367,16,DÂMBOVIȚA,RUNCU,220,5,29,8,0,7,6,11,209,5,27,6,0,6,6,19,Grădinița cu Program Normal Brebu,Nr. 83,Brebu,45.1893,25.341
153,16,DÂMBOVIȚA,BREZOAELE,482,19,49,5,0,14,5,17,482,19,51,5,1,10,4,18,Școala Gimnazială Brezoaele,Nr. 218,Brezoaele,44.5771,25.7451
154,16,DÂMBOVIȚA,BREZOAELE,255,8,53,24,0,5,2,8,255,9,49,25,0,5,3,9,Școala Gimnazială Brezoaia,Nr. 756,Brezoaia,44.5649,25.766
155,16,DÂMBOVIȚA,BREZOAELE,364,6,49,5,0,12,0,6,362,7,48,6,0,12,2,8,Școala Gimnazială Brezoaia,Nr. 756,Brezoaia,44.5649,25.766
348,16,DÂMBOVIȚA,PRODULEŞTI,140,0,37,6,0,4,13,24,141,0,35,6,0,3,14,26,Școala Primară Broșteni,Str. Târgoviștei nr. 229,Broșteni,44.7206,25.5037
415,16,DÂMBOVIȚA,VIŞINA,335,4,61,8,1,5,4,16,339,3,60,9,0,5,6,20,Grădinița Broșteni,Str. Schitului,Broșteni,44.6033,25.352
322,16,DÂMBOVIȚA,ODOBEŞTI,291,3,20,4,1,3,1,8,281,3,23,5,1,3,1,9,Grădinița Brâncoveanu,Nr. 228,Brâncoveanu,44.6045,25.5349
150,16,DÂMBOVIȚA,BRĂNEŞTI,279,25,152,28,1,32,11,42,281,19,172,22,0,29,9,42,Centrul de Cultură și Tradiție Populară Brănești,Str. Principală (D) nr. 259,Brănești,45.0438,25.4221
151,16,DÂMBOVIȚA,BRĂNEŞTI,310,34,111,26,0,22,3,21,310,34,117,20,0,23,5,26,Școala Gimnazială Brănești,Str. Principală (D) nr. 187,Brănești,45.0377,25.4168
152,16,DÂMBOVIȚA,BRĂNEŞTI,181,8,88,10,0,13,4,20,179,10,92,13,0,9,2,20,Grădinița cu Program Normal Priboiu,Nr. 105,Brănești,45.0271,25.4222
409,16,DÂMBOVIȚA,VĂCĂREŞTI,151,4,21,18,0,4,14,19,147,4,25,15,0,3,14,21,Grădinița cu Program Normal Brăteștii de Jos,Str. Principală,Brăteștii de Jos,44.8203,25.5339
156,16,DÂMBOVIȚA,BUCIUMENI,316,33,109,63,0,20,5,27,307,34,114,65,0,17,7,24,Grădinița cu Program Normal,Nr. 293,Buciumeni,45.1563,25.4576
159,16,DÂMBOVIȚA,BUCŞANI,380,12,112,17,0,16,10,27,371,15,109,19,0,16,10,32,Școala Gimnazială „Dora Dalles” Bucșani,Str. Principală nr. 933,Bucșani,44.866,25.6454
160,16,DÂMBOVIȚA,BUCŞANI,389,9,100,18,0,23,11,36,393,11,91,17,1,25,9,29,Școala Gimnazială „Dora Dalles” Bucșani,Str. Principală nr. 933,Bucșani,44.866,25.6454
205,16,DÂMBOVIȚA,CORNEŞTI,82,2,30,5,0,0,6,8,83,2,28,6,0,1,5,6,Școala Primară Bujoreanca,Nr. 231,Bujoreanca,44.7333,25.8974
408,16,DÂMBOVIȚA,VĂCĂREŞTI,319,11,68,18,0,8,7,24,314,10,69,19,0,10,7,27,Școala Gimnazială Bungetu,Str. Lacurilor,Bungetu,44.8459,25.5332
233,16,DÂMBOVIȚA,DRAGODANA,324,7,126,5,0,8,7,14,325,6,117,6,0,9,8,18,Școala Burduca,Nr. 1,Burduca,44.7302,25.4037
164,16,DÂMBOVIȚA,BUTIMANU,159,3,353,12,0,15,6,14,159,3,341,10,0,13,7,25,Școala Gimnazială Butimanu,Nr. 31,Butimanu,44.692,25.8957
265,16,DÂMBOVIȚA,HULUBEŞTI,252,3,14,0,1,6,3,11,245,3,16,0,1,6,3,14,Școala Gimnazială Butoiu de Jos,,Butoiu de Jos,44.8375,25.2664
266,16,DÂMBOVIȚA,HULUBEŞTI,253,1,33,4,0,9,7,19,248,1,32,6,0,10,8,19,Grădinița cu Program Normal Butoiu de Sus,,Butoiu de Sus,44.8608,25.2864
384,16,DÂMBOVIȚA,TĂRTĂŞEŞTI,392,19,93,16,0,9,10,23,386,23,84,18,0,11,10,24,Școala Gimnazială Bâldana - Tărtășești,Str. Nordului nr. 301,Bâldana,44.6032,25.7765
366,16,DÂMBOVIȚA,RUNCU,179,6,29,8,2,38,3,17,177,6,27,8,1,36,4,19,Grădinița cu Program Normal Bădeni,Nr. 46,Bădeni,45.1513,25.4022
221,16,DÂMBOVIȚA,CRÎNGURILE,279,11,252,9,0,7,3,11,281,13,254,6,0,6,4,11,Școala Generală Bădulești,,Bădulești,44.7608,25.2664
135,16,DÂMBOVIȚA,BĂLENI,336,17,158,17,1,27,12,27,327,19,165,16,0,36,11,25,Școala Profesională Băleni,Șoseaua București-Târgoviște nr. 38,Băleni-Români,44.8175,25.6655
136,16,DÂMBOVIȚA,BĂLENI,246,9,154,14,1,27,6,20,246,12,150,14,2,26,7,20,Liceul Tehnologic Udrea Băleanu,Șoseaua București-Târgoviște nr. 231,Băleni-Români,44.8191,25.6514
137,16,DÂMBOVIȚA,BĂLENI,166,7,51,3,0,21,8,15,161,8,48,4,0,22,10,14,Liceul Tehnologic Udrea Băleanu,Șoseaua București-Târgoviște nr. 231,Băleni-Sârbi,44.8191,25.6514
138,16,DÂMBOVIȚA,BĂLENI,216,15,87,8,0,33,8,18,209,16,92,7,0,29,12,24,Căminul Cultural Băleni Sârbi,Nr. 189,Băleni-Sârbi,44.8184,25.6489
139,16,DÂMBOVIȚA,BĂLENI,243,12,186,4,1,18,2,21,240,14,191,3,0,16,7,24,Fosta Primărie Băleni Sârbi,Șoseaua Nucetului nr. 6,Băleni-Sârbi,44.8215,25.6467
192,16,DÂMBOVIȚA,CONŢEŞTI,338,0,10,7,0,3,0,9,334,1,10,6,0,5,1,7,"Cămin Cultural Bălteni, Localitatea Bălteni, Strada Eroilor nr. 66",Nr. 66,Bălteni,44.6656,25.6949
193,16,DÂMBOVIȚA,CONŢEŞTI,271,5,34,6,0,1,3,6,269,4,32,8,0,2,3,11,"Grădinița Bălteni, Localitatea Bălteni, Strada Eroilor nr. 235",Nr. 235,Bălteni,44.6637,25.6916
368,16,DÂMBOVIȚA,SĂLCIOARA,89,1,12,6,0,2,5,11,87,3,13,6,0,3,4,9,Școala Generală Bănești,Nr. 47,Bănești,44.7368,25.5707
