id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
293,18,GALAȚI,DRĂGUŞENI,146,2,38,5,1,5,2,19,152,3,45,6,0,5,2,9,Școala Adam,,Adam,46.0257,27.736
237,18,GALAȚI,BEREŞTI-MERIA,102,0,25,1,0,5,9,18,100,2,26,1,0,9,8,15,Școala Primară Andronachi Goga nr. 1 Sat Aldești,Nr.       79A,Aldești,46.1318,27.9119
239,18,GALAȚI,BEREŞTI-MERIA,220,2,37,4,0,5,14,25,220,2,43,4,0,5,13,24,Școala Gimnazială nr. 1 Sat Balintești,Nr. 251,Balintești,46.0181,27.9224
218,18,GALAȚI,BARCEA,87,9,137,11,0,6,4,17,88,7,143,10,0,6,5,15,Școala nr. 2 Barcea,Str. Mihai Eminescu nr. 247,Barcea,45.7455,27.4772
219,18,GALAȚI,BARCEA,99,5,141,5,1,8,2,20,107,9,134,6,2,8,3,15,Școala nr. 2 Barcea,Str. Mihai Eminescu nr. 247,Barcea,45.7455,27.4772
220,18,GALAȚI,BARCEA,114,8,134,2,0,20,6,16,128,10,124,3,0,21,5,10,Școala nr. 3 Barcea,Str. Mihai Eminescu nr. 856,Barcea,45.7643,27.4705
221,18,GALAȚI,BARCEA,131,16,141,10,2,8,3,27,138,17,148,10,2,12,3,14,Școala nr. 1 Barcea,Str. Căminului nr. 1145,Barcea,45.7533,27.4591
210,18,GALAȚI,ORAŞ BEREŞTI,406,13,59,15,1,39,10,33,409,13,61,15,0,41,13,28,Casa de Cultură „Ion Creangă” Berești,Str. Trandafirilor nr. 26,Berești,46.0866,27.8892
211,18,GALAȚI,ORAŞ BEREŞTI,471,4,38,10,0,28,11,42,470,3,45,12,0,25,12,39,Liceul Teoretic „Paul Bujor” Beresti,Str. Trandafirilor nr. 210,Berești,46.0959,27.8851
234,18,GALAȚI,BEREŞTI-MERIA,101,5,35,2,0,11,16,30,104,7,35,2,0,14,15,24,Școala Gimnazială nr. 1 Sat Berești - Meria,Nr. 191,Berești-Meria,46.0862,27.9034
267,18,GALAȚI,COROD,173,3,49,1,1,7,5,31,170,4,51,5,2,12,7,17,Școala Blînzi,Str. Vasile Alecsandri nr. 122,Blânzi,45.9378,27.6505
240,18,GALAȚI,BRANIŞTEA,139,19,141,15,0,25,19,55,145,20,145,13,0,25,19,47,Grădinița de Copii,,Braniștea,45.4402,27.8339
241,18,GALAȚI,BRANIŞTEA,138,10,98,8,0,20,6,44,137,14,102,7,1,23,5,33,Grădinița de Copii,,Braniștea,45.4402,27.8339
244,18,GALAȚI,BRĂHĂŞEŞTI,267,3,40,3,1,14,9,34,271,4,45,4,1,19,7,16,Școala Gimnazială nr. 1 Brăhășești,,Brăhășești,46.0439,27.3707
245,18,GALAȚI,BRĂHĂŞEŞTI,233,4,49,4,0,14,3,27,244,5,51,3,0,10,2,17,Școala Gimnazială nr. 1 Brăhășești,,Brăhășești,46.0439,27.3707
436,18,GALAȚI,VLĂDEŞTI,116,3,122,5,0,16,6,29,129,3,127,4,0,16,6,20,Școala Gimnazială Brănești,,Brănești,45.8025,28.084
268,18,GALAȚI,COROD,71,2,37,4,2,3,5,20,80,3,41,3,2,3,6,12,Școala Brătulești,Str. Școlii nr. 10,Brătulești,45.947,27.6681
328,18,GALAȚI,IVEŞTI,349,12,99,17,1,30,10,52,353,15,105,22,1,28,13,41,Școala Gimnazială „Negoiță Dănăilă”,,Bucești,45.6618,27.5245
