id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
64,19,GIURGIU,ADUNAŢII-COPĂCENI,378,33,59,14,0,60,7,18,375,37,64,13,3,60,6,16,Școala Gimnazială nr. 1 Adunații Copăceni,Str. Școlii nr. 14,Adunații-Copăceni,44.2539,26.05
65,19,GIURGIU,ADUNAŢII-COPĂCENI,352,21,46,8,0,11,4,14,356,22,47,10,0,10,4,15,Școala Gimnazială nr. 1 Adunații Copăceni,Șoseaua Victoriei nr. 67,Adunații-Copăceni,44.2605,26.0619
206,19,GIURGIU,SCHITU,117,4,6,1,1,29,0,10,125,3,8,3,0,27,0,6,Școala Primară Florin Niculescu Bila,Nr. 42,Bila,44.162,25.8512
75,19,GIURGIU,BOLINTIN-DEAL,138,11,194,9,0,25,8,33,134,12,190,8,0,26,10,35,Căminul Cultural Bolintin - Deal,Bulevardul Republicii nr. 26,Bolintin-Deal,44.4521,25.8251
76,19,GIURGIU,BOLINTIN-DEAL,99,17,123,17,0,12,4,17,97,14,128,15,0,8,4,19,Școala Gimnazială Banu Baleanu,Bulevardul Muncii nr. 9,Bolintin-Deal,44.4558,25.8199
77,19,GIURGIU,BOLINTIN-DEAL,77,4,93,8,1,9,1,13,81,4,89,8,1,9,2,13,Grădinița de Copii Bolintin - Deal,Bulevardul Muncii nr. 9,Bolintin-Deal,44.4558,25.8199
49,19,GIURGIU,ORAŞ BOLINTIN-VALE,250,38,71,26,2,20,8,68,238,37,73,29,2,29,9,68,Școala Gimnazială nr. 1 Bolintin-Vale,Nr. 5,Bolintin-Vale,44.4468,25.7576
50,19,GIURGIU,ORAŞ BOLINTIN-VALE,216,15,31,2,0,8,0,15,212,15,33,3,0,8,0,13,Școala Gimnazială nr. 1 Bolintin-Vale,Nr. 5,Bolintin-Vale,44.4468,25.7576
51,19,GIURGIU,ORAŞ BOLINTIN-VALE,160,1,16,3,1,5,1,17,166,3,15,5,0,8,1,13,Școala Gimnazială nr. 1 Bolintin-Vale,Nr. 5,Bolintin-Vale,44.4468,25.7576
52,19,GIURGIU,ORAŞ BOLINTIN-VALE,199,32,39,15,1,17,5,25,194,34,42,16,1,22,7,23,Liceulu Tehnologic „Dimitrie Bolintineanu”,Nr. 2L,Bolintin-Vale,44.4461,25.7567
53,19,GIURGIU,ORAŞ BOLINTIN-VALE,275,30,72,26,0,14,5,44,276,25,79,24,0,17,7,46,Primărie,Str. Libertății nr. 1,Bolintin-Vale,44.445,25.7572
185,19,GIURGIU,OINACU,261,16,49,6,1,31,1,8,258,21,49,9,0,32,2,11,Grădinița nr. 2 Branistea,Str. Școlii nr. 2,Braniștea,43.9633,26.0365
91,19,GIURGIU,CĂLUGĂRENI,170,5,26,5,1,7,3,15,167,5,28,5,1,7,2,12,Grădinița Brăniștari,Șoseaua Călugăreni-Comana nr. 243,Brăniștari,44.1823,26.0409
79,19,GIURGIU,BUCŞANI,142,10,38,12,0,20,4,17,149,13,35,13,0,16,3,13,Școala Gimnazială nr. 1,Str. Principală nr. 222,Bucșani,44.3696,25.6589
101,19,GIURGIU,COMANA,328,8,26,12,3,5,2,13,329,8,30,9,3,5,3,11,Grădinița cu Program Normal nr. 1 Budeni,Str. Neajlovului nr. 122,Budeni,44.1918,26.1136
85,19,GIURGIU,BULBUCATA,492,8,103,15,1,24,2,7,484,8,103,15,1,24,2,10,Căminul Cultural Bulbucata,,Bulbucata,44.2846,25.8067
86,19,GIURGIU,BUTURUGENI,315,7,99,9,0,11,8,25,313,11,96,11,0,14,8,20,Școala Gimnazială nr. 1 Buturugeni,,Buturugeni,44.3676,25.8338
87,19,GIURGIU,BUTURUGENI,204,6,41,8,0,7,6,17,202,5,49,7,0,9,6,13,Școala Primară nr. 3 Prisiceni,,Buturugeni,44.3599,25.8492
