id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
120,20,GORJ,ALBENI,264,11,50,29,1,12,22,49,232,10,40,24,1,12,20,93,Școala Gimnazială Albeni,,Albeni,45.0239,23.6002
121,20,GORJ,ALBENI,121,0,14,16,0,17,2,19,110,0,14,14,0,22,7,31,Școala Primarâ Albeni,,Albeni,45.0211,23.5745
124,20,GORJ,ALIMPEŞTI,191,5,88,46,3,11,6,48,172,4,78,43,0,13,4,82,"Școala Generală „Ion Lotreanu” Alimpești, Sat. Alimpești",Nr. 89,Alimpești,45.0891,23.8022
125,20,GORJ,ALIMPEŞTI,127,7,88,35,1,7,6,19,125,5,86,31,0,10,8,32,"Școala Generală Sîrbești, Sat.Sîrbești",Nr. 53,Alimpești,45.1234,23.7962
330,20,GORJ,VLADIMIR,159,9,120,15,0,15,15,40,155,9,111,26,2,15,13,41,Căminul Cultural,Nr. 100,Andreești,44.778,23.5267
194,20,GORJ,CRASNA,166,7,132,12,0,19,8,18,150,6,136,11,0,24,9,28,Căminul Cultural Aniniș,,Aninișu din Vale,45.1725,23.608
126,20,GORJ,ANINOASA,225,7,47,42,1,17,6,20,221,7,46,42,2,8,8,32,Școala Gimnazială Aninoasa,Nr. 324,Aninoasa,44.7504,23.4808
130,20,GORJ,ARCANI,212,15,215,26,2,6,30,71,211,13,217,28,4,15,28,71,Școala Gimnazială Arcani,Nr. 114,Arcani,45.0713,23.1318
254,20,GORJ,NEGOMIR,337,13,62,41,0,23,8,36,374,15,55,27,1,17,9,29,Școala Primară Artanu,,Artanu,44.7877,23.2264
131,20,GORJ,BAIA DE FIER,332,8,48,84,1,10,10,25,325,11,50,39,0,11,10,73,Școala Generală Baia de Fier,Nr. 476,Baia de Fier,45.1718,23.7611
132,20,GORJ,BAIA DE FIER,399,11,57,68,0,20,10,32,370,8,68,28,2,21,18,87,Școala Generală Baia de Fier,Nr. 476,Baia de Fier,45.1718,23.7611
307,20,GORJ,STEJARI,92,6,7,33,1,7,4,18,85,7,4,32,1,5,5,32,Școala Primară Baloșani,Nr. 44,Baloșani,44.7317,23.66
146,20,GORJ,BENGEŞTI-CIOCADIA,165,1,33,31,0,12,9,38,165,0,35,28,2,16,10,35,Cămin Cultural Bengești,,Bengești,45.0718,23.5892
147,20,GORJ,BENGEŞTI-CIOCADIA,101,3,6,4,1,1,6,16,95,4,3,4,1,1,3,22,Cămin Cultural Bengești,,Bengești,45.0718,23.5892
