id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
181,21,HARGHITA,MĂRTINIŞ,7,0,1,2,130,1,0,2,8,NaN,0,1,124,1,0,5,Școala Primară Aldea,Nr. 145,Aldea,46.2526,25.4308
198,21,HARGHITA,MUGENI,3,2,1,0,80,1,2,4,3,NaN,1,0,83,2,1,2,Căminul Cultural Aluniș,Nr. 78,Aluniș,46.2632,25.1844
109,21,HARGHITA,CIUCSÎNGEORGIU,3,0,1,0,397,2,0,3,1,NaN,1,0,394,2,1,4,Căminul Cultural Armășeni,,Armășeni,46.3537,25.9629
108,21,HARGHITA,CIUCSÎNGEORGIU,3,1,2,0,157,1,2,5,3,NaN,1,0,154,1,3,6,Căminul Cultural Armășeni-Noi,Nr. 603,Armășenii Noi,46.3376,25.9714
121,21,HARGHITA,CORUND,2,0,2,1,85,1,0,3,2,NaN,2,0,78,1,2,3,Căminul Cultural Atia,Nr. 117,Atia,46.487,25.1297
87,21,HARGHITA,ATID,15,0,12,3,298,0,2,24,19,NaN,12,5,301,1,1,11,Căminul Cultural Atid,Nr. 469,Atid,46.4501,25.0461
92,21,HARGHITA,AVRĂMEŞTI,12,1,2,2,259,1,1,13,12,NaN,2,2,261,1,1,6,Sediul Primăriei Avrămești,Nr. 126,Avrămești,46.336,25.008
110,21,HARGHITA,CIUCSÎNGEORGIU,3,2,0,0,455,8,1,11,3,NaN,3,1,459,7,2,9,Școala Gimnazială „Marton Ferenc” Bancu,Nr. 154,Bancu,46.3041,25.9478
217,21,HARGHITA,PRAID,8,1,1,0,50,3,1,2,10,NaN,1,1,49,1,0,2,Școala Gimnazială Becaș,Nr. 14,Becaș,46.5159,25.1975
199,21,HARGHITA,MUGENI,1,0,3,0,150,1,0,2,1,NaN,2,1,146,1,0,4,Căminul Cultural Beta,Nr. 68/A,Beta,46.2784,25.2222
75,21,HARGHITA,ORAŞ CRISTURU SECUIESC,1,3,4,1,133,3,1,4,2,NaN,4,3,135,1,0,2,Căminul Cultural Betești,Nr. 116,Betești,46.2909,25.0803
96,21,HARGHITA,BILBOR,182,9,68,7,2,2,7,17,173,NaN,74,10,2,4,13,23,Căminul Cultural,Nr. 120/B,Bilbor,47.0645,25.4907
97,21,HARGHITA,BILBOR,267,6,114,15,1,11,11,16,236,NaN,114,22,0,17,23,37,Căminul Cultural,Nr. 120/B,Bilbor,47.0645,25.4907
174,21,HARGHITA,LUPENI,2,3,1,3,318,0,2,7,4,NaN,3,3,308,1,4,12,Școala Gimnazială „Benedek Fidel” Bisericani,Nr. 166,Bisericani,46.3603,25.2384
242,21,HARGHITA,SECUIENI,3,2,6,0,176,1,2,7,4,NaN,6,0,175,1,3,6,Birou Administrativ,Nr. 172,Bodogaia,46.2743,24.9957
73,21,HARGHITA,ORAŞ BORSEC,34,1,22,13,261,0,5,11,39,NaN,19,15,254,1,5,10,Liceul Tehnologic „Zimmethausen”,Str. Mihail Eminescu nr. 1,Borsec,46.9706,25.5561
74,21,HARGHITA,ORAŞ BORSEC,78,9,33,9,381,4,5,18,77,NaN,32,11,380,8,11,20,Sediul Consiliului Local,Str. Carpați nr. 6/A,Borsec,46.9653,25.5608
153,21,HARGHITA,JOSENI,4,2,0,0,358,1,2,7,2,NaN,0,0,364,1,2,5,"Școala Primară Gaál Tamás, Borzont",Nr. 77,Borzont,46.6942,25.4459
98,21,HARGHITA,BRĂDEŞTI,7,9,1,2,544,1,0,5,8,NaN,4,2,536,1,2,5,Școala Gimnazială Marton Aron Brădești,Nr. 264,Brădești,46.34,25.3397
175,21,HARGHITA,LUPENI,2,1,0,2,137,2,1,1,3,NaN,0,4,132,1,0,3,Școala Primară Bulgăreni,Nr. 25,Bulgăreni,46.3672,25.2543
144,21,HARGHITA,FRUMOASA,4,1,1,0,288,1,1,6,3,NaN,1,1,292,1,1,3,Căminul Cultural,Nr. 111,Bârzava,46.4316,25.8186
182,21,HARGHITA,MĂRTINIŞ,1,2,1,1,104,1,0,4,2,NaN,1,2,103,1,1,5,Școala Primară Bădeni,Nr. 18,Bădeni,46.2185,25.3469
67,21,HARGHITA,ORAŞ BĂILE TUŞNAD,31,17,15,3,517,3,1,7,30,NaN,21,5,514,6,4,9,Sediu Primarie,Str. Oltului nr. 63,Băile Tușnad,46.1492,25.8598
68,21,HARGHITA,ORAŞ BĂLAN,102,5,9,16,223,12,7,14,105,NaN,8,14,220,12,11,20,Casa de Cultură Bălan,Str. 1 Decembrie (Str. Republicii) nr. 21/A,Bălan,46.6555,25.8075
69,21,HARGHITA,ORAŞ BĂLAN,92,12,21,13,156,12,4,19,93,NaN,24,7,153,19,4,28,Școala Gimnazială „Geo Bogza” Bălan - Clădire Școala nr. 1,Str. 1 Decembrie (Str. Republicii) nr. 30,Bălan,46.6555,25.8064
70,21,HARGHITA,ORAŞ BĂLAN,123,3,18,15,104,7,6,15,112,NaN,16,12,108,9,11,27,"Școala Gimnazială „Geo Bogza” Bălan - Corp A, B",Str. Florilor (Str. Hășmașului) nr. 82,Bălan,46.6511,25.8129
71,21,HARGHITA,ORAŞ BĂLAN,131,2,14,6,56,7,3,19,130,NaN,9,8,55,10,6,24,Liceul Tehnologic „Liviu Rebreanu” Bălan - Clădire Grădinița nr. 2,Str. Florilor (Str. Hășmașului) nr. 10,Bălan,46.6501,25.8105
72,21,HARGHITA,ORAŞ BĂLAN,181,4,21,13,65,5,12,35,181,NaN,19,13,70,6,16,34,Clubul Elevilor Bălan,Str. Florilor (Str. Hășmașului) nr. 7,Bălan,46.6508,25.8129
117,21,HARGHITA,CORBU,78,0,28,5,0,6,2,3,93,NaN,14,4,1,5,4,4,Liceul Tehnologic Corp D,Nr. 167,Capu Corbului,46.9999,25.6272
210,21,HARGHITA,PLĂIEŞII DE JOS,4,0,1,1,263,2,1,9,5,NaN,1,3,264,1,2,6,Școala Gimnazială Tuzson János nr. 2 Casinu Nou,Nr. 333,Casinu Nou,46.1986,26.0506
93,21,HARGHITA,AVRĂMEŞTI,14,0,3,1,161,2,3,8,13,NaN,1,1,161,1,2,5,Școala Primară Cechești,Nr. 31,Cechești,46.3149,25.0207
261,21,HARGHITA,ŞIMONEŞTI,3,0,1,0,42,1,1,2,3,NaN,1,0,45,1,1,1,Căminul Cultural Cehețel,Nr. 88,Cehețel,46.4001,25.1425
251,21,HARGHITA,SÎNSIMION,6,3,2,0,432,3,1,11,4,NaN,6,0,440,5,0,4,Cămin Cultural,Nr. 65,Cetățuia,46.2419,25.8966
256,21,HARGHITA,SUSENI,5,1,2,0,296,1,2,7,6,NaN,1,1,294,1,1,3,Școala Primară Chileni,Nr. 207,Chileni,46.6821,25.5742
180,21,HARGHITA,MĂRTINIŞ,2,1,1,0,67,1,1,2,2,NaN,1,0,67,1,1,3,Căminul Cultural Chinușu,Nr. 70,Chinușu,46.2575,25.3616
