id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
522,22,HUNEDOARA,ZAM,14,4,29,1,1,12,0,5,14,4,32,0,1,10,0,5,Căminul Cultural Almaș Săliște,Nr. 29,Almaș-Săliște,46.0595,22.52
410,22,HUNEDOARA,PESTIŞU MIC,10,1,30,5,2,1,2,7,9,1,33,4,3,1,2,5,Căminul Cultural Almașu Mic,Nr. 45,Almașu Mic,45.8173,22.8934
264,22,HUNEDOARA,BALŞA,22,0,14,3,0,1,0,3,18,1,16,3,0,5,0,1,"Almașu Mic de Munte, Școala Generală",,Almașu Mic de Munte,46.0555,23.0801
338,22,HUNEDOARA,CÂRJIŢI,41,8,47,1,2,2,1,7,40,7,48,2,2,2,2,8,Căminul Cultural Almașu Sec,Nr. 101,Almașu Sec,45.8485,22.8607
295,22,HUNEDOARA,BOŞOROD,14,1,22,2,1,1,0,5,15,1,22,2,1,2,0,3,Căminul Cultural Alun,Nr. 6,Alun,45.6077,23.1601
185,22,HUNEDOARA,ORAŞ ANINOASA,417,11,43,29,4,8,10,43,405,12,57,26,4,15,9,33,Școala Gimnazială „Sf. Varvara” Aninoasa,Str. Școlii nr. 1,Aninoasa,45.4104,23.3134
186,22,HUNEDOARA,ORAŞ ANINOASA,227,4,56,24,9,20,2,11,222,3,69,23,7,23,2,9,Stadionul „Minerul Aninoasa”,"Str. Libertății (Str. 7 Noiembrie, Str. Avram Iancu) nr. 10",Aninoasa,45.3926,23.318
260,22,HUNEDOARA,BALŞA,11,0,37,0,0,2,1,4,12,0,35,0,0,1,1,6,"Ardeu, Căminul Cultural",,Ardeu,46.0224,23.1427
206,22,HUNEDOARA,ORAŞ GEOAGIU,131,20,94,11,1,97,4,15,128,18,92,11,1,102,5,13,Căminul Cultural Aurel Vlaicu,Nr. 70,Aurel Vlaicu,45.9124,23.2776
384,22,HUNEDOARA,ILIA,51,3,69,5,0,7,6,14,51,3,75,4,0,6,3,11,Căminul Cultural din Bacea,,Bacea,45.9606,22.6679
253,22,HUNEDOARA,BAIA DE CRIŞ,136,7,85,11,2,21,4,20,147,11,69,10,2,23,5,19,Școala Gimnazială „Avram Iancu” Baia de Criș,Str. Tribunului nr. 18,Baia de Criș,46.1761,22.7124
469,22,HUNEDOARA,SÂNTĂMĂRIA-ORLEA,132,6,16,2,1,3,8,17,131,3,17,5,2,3,9,16,Căminul Cultural Balomir,Nr. 6,Balomir,45.5863,22.9969
