id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
89,23,IALOMIȚA,ADÂNCATA,312,11,153,23,0,24,12,17,313,9,151,23,0,29,15,21,Sala de Sport de Lângă Primăria Comunei Adâncata,Str. Primăriei,Adâncata,44.7678,26.4366
91,23,IALOMIȚA,ALBEŞTI,219,5,23,17,0,10,4,12,207,6,27,20,0,22,4,10,Școala Gimnazială „Constantin Stefan”,Str. Școlii nr. 1,Albești,44.5407,27.1327
93,23,IALOMIȚA,ALEXENI,158,7,51,10,0,2,2,5,152,7,58,7,0,4,3,5,Școala Veche,Str. Primăriei nr. 6,Alexeni,44.6774,26.7111
94,23,IALOMIȚA,ALEXENI,225,4,35,12,1,8,6,12,231,3,36,13,1,8,7,7,Școala Veche,Str. Primăriei nr. 6,Alexeni,44.6774,26.7111
70,23,IALOMIȚA,ORAŞ AMARA,202,18,67,36,0,45,13,35,195,17,70,36,0,43,26,39,Grădinița cu Program Normal Amara,Str. Viilor (D),Amara,44.6206,27.3126
71,23,IALOMIȚA,ORAŞ AMARA,177,22,60,22,0,30,15,28,175,25,57,23,0,34,12,23,Grădinița cu Program Normal Amara,Str. Viilor,Amara,44.6206,27.3126
72,23,IALOMIȚA,ORAŞ AMARA,247,20,64,32,1,40,14,29,244,23,63,39,0,35,13,21,Școala Gimnazială George Valsan,Str. Tudor Vladimirescu (D) nr. 110,Amara,44.6221,27.3142
73,23,IALOMIȚA,ORAŞ AMARA,279,16,70,31,1,20,8,18,275,19,68,29,3,24,9,18,Școala Gimnazială George Valsan,Str. Tudor Vladimirescu (D) nr. 110,Amara,44.6221,27.3142
74,23,IALOMIȚA,ORAŞ AMARA,276,16,66,28,0,42,8,18,269,12,65,29,1,50,9,20,Casa de Cultura Jan Caciula,Str. Alexandru Ioan Cuza (D),Amara,44.621,27.3154
95,23,IALOMIȚA,ANDRĂŞEŞTI,270,13,198,17,1,13,8,41,263,14,201,17,3,23,9,23,Școala Generală Andrășești,Str. Gheorghe Gr. Cantacuzino nr. 28,Andrășești,44.5752,27.1422
97,23,IALOMIȚA,ARMĂŞEŞTI,143,0,19,6,1,8,8,16,141,0,19,6,0,9,10,16,Școala Generală Armășești,Str. Principală nr. 22,Armășești,44.7501,26.5827
99,23,IALOMIȚA,AXINTELE,175,6,12,7,0,4,3,6,180,4,13,8,0,2,3,7,Primarie,Str. Principală nr. 22,Axintele,44.6096,26.7805
100,23,IALOMIȚA,AXINTELE,130,0,46,6,1,7,3,14,131,4,42,6,1,12,4,10,Școala Frumușica,Str. Principală nr. 208,Axintele,44.6153,26.7394
102,23,IALOMIȚA,BALACIU,120,7,18,0,0,9,4,13,124,8,18,1,0,9,2,10,Camin Cultural,Str. Calea București nr. 3,Balaciu,44.6346,26.8911
103,23,IALOMIȚA,BALACIU,64,4,57,3,0,6,4,11,70,3,55,3,0,5,3,10,Școala Gimnazială „Arhimandrit Teofil” Balaciu,Str. Piteșteanu nr. 7,Balaciu,44.6349,26.9013
30,23,IALOMIȚA,MUNICIPIUL SLOBOZIA,118,11,25,10,1,13,7,19,119,9,25,11,1,14,10,15,Școala Generală Bora,,Bora,44.5578,27.395
31,23,IALOMIȚA,MUNICIPIUL SLOBOZIA,232,7,37,6,3,14,4,18,222,11,38,12,2,11,8,26,Școala Generală Bora,,Bora,44.5578,27.395
115,23,IALOMIȚA,BORDUŞANI,155,0,110,13,0,56,12,27,149,6,112,13,0,60,9,17,Localul Școlii Vechi din Centrul Satului,Nr. 68,Bordușani,44.482,27.9123
116,23,IALOMIȚA,BORDUŞANI,131,4,133,11,1,59,12,25,127,4,133,3,2,70,16,22,Localul Grupului Școlar Bordușani (Zona „Moară”),Nr. 47,Bordușani,44.4768,27.9066
123,23,IALOMIȚA,CIOCHINA,65,0,207,16,0,4,3,7,64,2,204,16,0,4,2,7,Căminul Cultural din Satul Bordușelu,Str. Principală nr. 20,Bordușelu,44.5563,27.0401
112,23,IALOMIȚA,BORĂNEŞTI,216,1,61,2,0,31,5,24,218,1,64,2,1,34,7,18,Școala Gimnazială,Str. 1 Decembrie 1918 nr. 135,Borănești,44.6616,26.6054
113,23,IALOMIȚA,BORĂNEŞTI,148,2,41,6,0,6,2,8,149,4,39,6,0,8,2,2,Școala Gimnazială,Str. 1 Decembrie 1918 nr. 135,Borănești,44.6616,26.6054
191,23,IALOMIȚA,RADULEŞTI,295,1,31,6,1,1,3,11,300,2,33,6,0,1,5,10,Școala Gimnazială Radulesti,Str. Primăriei nr. 14,Brazii,44.7658,26.3654
163,23,IALOMIȚA,ION ROATĂ,184,5,72,15,0,8,7,10,184,4,67,16,0,8,6,12,Școala Gimnazială Ion Roata (Structura Brosteni),Str. Evanghelie Zappa nr. 8,Broșteni,44.6697,26.7463
118,23,IALOMIȚA,BUCU,151,26,44,41,0,20,9,20,149,26,47,37,0,31,9,13,Căminul Cultural,Nr. 86,Bucu,44.6043,27.4925
119,23,IALOMIȚA,BUCU,174,14,48,29,0,17,11,22,175,11,53,22,0,20,11,20,Căminul Cultural,Nr. 86,Bucu,44.6043,27.4925
120,23,IALOMIȚA,BUEŞTI,468,6,27,4,0,3,3,6,472,6,24,4,0,5,2,4,Școala cu Clasele I-IV Buești,Str. Tineretului nr. 4,Buești,44.5423,27.1817
106,23,IALOMIȚA,BĂRBULEŞTI,45,4,51,9,0,3,2,8,49,5,52,8,1,3,3,4,Școala Gimnazială Bărbulești,,Bărbulești,44.7257,26.5965
107,23,IALOMIȚA,BĂRBULEŞTI,40,0,50,3,1,4,0,3,43,0,49,4,2,5,2,4,Școala Gimnazială Bărbulești,,Bărbulești,44.7257,26.5965
108,23,IALOMIȚA,BĂRBULEŞTI,46,0,55,13,0,4,1,4,47,0,54,18,0,3,1,4,Școala Gimnazială Bărbulești,,Bărbulești,44.7257,26.5965
109,23,IALOMIȚA,BĂRBULEŞTI,48,2,78,9,0,6,0,3,48,2,77,10,3,7,0,1,Școala Gimnazială Bărbulești,,Bărbulești,44.7257,26.5965
110,23,IALOMIȚA,BĂRCĂNEŞTI,279,11,45,16,1,14,7,30,283,10,45,16,2,13,6,27,Școala Gimnazială Bărcănești,Șoseaua Mihai Viteazul nr. 166,Bărcănești,44.6368,26.6497
117,23,IALOMIȚA,BORDUŞANI,102,5,128,7,0,27,3,12,108,4,132,4,0,28,1,6,Localul Școlii cu Clasele I- VIII Cegani,Nr. 82,Cegani,44.4617,27.9034
122,23,IALOMIȚA,CIOCHINA,224,3,202,16,0,18,6,12,219,4,199,15,0,22,8,13,Căminul Cultural din Satul Ciochina,Str. Bisericii nr. 2,Ciochina,44.5934,27.058
121,23,IALOMIȚA,CIOCÂRLIA,148,5,29,24,0,8,3,6,164,7,28,10,0,7,2,3,Școala Generală Ciocârlia,Str. Principală nr. 52,Ciocârlia,44.7986,26.6779
125,23,IALOMIȚA,CIULNIŢA,135,15,18,10,1,83,4,16,148,17,17,8,1,79,5,13,Cămin Cultural Ciulnița,Str. Matei Basarab nr. 70,Ciulnița,44.5357,27.3449
