id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
335,24,IAȘI,BRĂEŞTI,73,0,79,5,1,35,2,10,77,3,81,4,1,32,2,10,Școala cu Cl. I-IV Albești,,Albești,47.185,27.1007
295,24,IAȘI,ALEXANDRU I. CUZA,246,3,27,15,0,14,7,15,244,4,26,14,0,13,8,18,Școala Primară Al.I.Cuza,,Alexandru I. Cuza,47.1293,26.855
720,24,IAȘI,VLĂDENI,89,5,13,6,1,2,4,12,93,6,12,4,0,4,4,12,Școala cu Clasele I-IV Alexandru Cel Bun,,Alexandru cel Bun,47.4587,27.2945
673,24,IAȘI,ŢIBANA,114,2,9,10,0,2,19,28,113,2,8,8,0,2,19,28,Școala Gimnazială Alexeni,,Alexeni,46.9683,27.3688
298,24,IAȘI,ANDRIEŞENI,177,4,190,14,2,12,7,42,175,6,195,15,0,8,12,40,Școala Gimnazială Gh. Ciobanu Andrieseni,,Andrieșeni,47.5273,27.2865
363,24,IAȘI,COARNELE CAPREI,111,1,13,2,1,1,2,7,111,1,13,3,0,2,1,6,Școala Generală Sat. Arama,,Arama,47.3972,27.1105
302,24,IAȘI,ARONEANU,212,57,250,30,0,31,14,50,212,57,248,30,0,36,17,43,Școala Gimnazială Aron-Voda din Sat Aroneanu,Nr. 26,Aroneanu,47.2041,27.6024
587,24,IAȘI,ROMÂNEŞTI,98,7,43,6,0,4,9,23,98,9,44,6,1,7,6,18,Școala Primară Avintu,,Avântu,47.2592,27.3674
378,24,IAȘI,COTNARI,37,3,9,6,0,2,4,5,34,3,9,6,0,1,3,5,Casa de Praznuire Bahlui,,Bahluiu,47.3578,26.986
516,24,IAȘI,MIROSLAVA,96,32,104,32,1,14,13,34,98,35,109,23,1,18,9,27,Sala de Sport -Miroslava,,Balciu,47.1454,27.5277
306,24,IAȘI,BALŞ,175,3,64,10,1,6,12,31,172,6,64,10,2,8,14,36,Școala Gimnazială Clasele I-VIII Bals,,Balș,47.2971,26.9754
419,24,IAȘI,DUMEŞTI,74,3,22,9,0,6,3,14,73,6,22,10,0,7,3,11,Cladirea Fostei Scoli Primare Banu,,Banu,47.1906,27.3693
314,24,IAȘI,BELCEŞTI,191,14,64,9,2,21,14,33,196,12,57,8,1,22,14,34,Școala Belcești,,Belcești,47.3062,27.0854
315,24,IAȘI,BELCEŞTI,184,11,32,12,0,10,9,28,189,12,34,10,0,12,10,27,Școala Belcești,,Belcești,47.3062,27.0854
316,24,IAȘI,BELCEŞTI,159,1,103,7,0,8,7,24,163,1,106,5,0,10,11,20,Școala Rusi,,Belcești,47.3107,27.0962
322,24,IAȘI,BIVOLARI,126,4,42,25,0,18,4,14,126,5,37,26,0,23,3,10,Școala Gimnazială cu Clasele I-VIII Bivolari,Nr. 0,Bivolari,47.519,27.4451
323,24,IAȘI,BIVOLARI,127,8,27,18,1,13,4,22,131,11,33,18,0,10,2,18,Școala Gimnazială cu Clasele I-VIII Bivolari,Nr. 0,Bivolari,47.519,27.4451
262,24,IAȘI,MUNICIPIUL PAŞCANI,214,10,82,26,0,12,17,40,219,8,91,22,1,9,19,36,Școala Blagesti,Nr. 36,Blăgești,47.2484,26.7672
397,24,IAȘI,DAGÎŢA,42,0,44,8,0,1,1,8,44,1,43,8,0,2,1,5,Școala Primară Boatca,,Boatca,46.949,27.2192
621,24,IAȘI,SINEŞTI,29,1,58,1,0,1,9,14,28,2,59,1,0,1,9,15,Școala Primară Bocnița,,Bocnița,47.1605,27.1887
599,24,IAȘI,SCÂNTEIA,86,0,11,13,1,1,2,17,88,0,12,13,1,1,1,12,Școala Gimnazială Bodești,Nr. 98,Bodești,46.9147,27.5977
480,24,IAȘI,HORLEŞTI,106,5,28,7,0,6,4,20,110,6,25,7,0,6,6,21,Camin Cultural Satul Bogdănești,,Bogdănești,47.1151,27.4358
499,24,IAȘI,LEŢCANI,99,11,134,5,0,7,3,18,99,12,133,6,1,6,2,12,Școala Primară Bogonos,,Bogonos,47.2068,27.4323
579,24,IAȘI,RĂDUCĂNENI,193,7,26,32,1,11,16,40,194,8,29,26,1,16,11,33,Școala Generală Bohotin,,Bohotin,46.9378,27.9765
