id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
99,25,ILFOV,1 DECEMBRIE,345,113,105,27,0,28,11,47,370,112,104,33,0,28,14,23,"Școala Gimnazială nr. 1, Corp A",1 DECEMBRIE Str. Giurgiului nr. 220,1 Decembrie,44.2882,26.0597
100,25,ILFOV,1 DECEMBRIE,244,43,59,16,0,14,15,29,242,44,59,17,0,14,18,24,"Școala Gimnazială nr. 1, Corp A",1 DECEMBRIE Str. Giurgiului nr. 220,1 Decembrie,44.2882,26.0597
101,25,ILFOV,1 DECEMBRIE,344,43,63,31,0,19,35,52,344,37,75,34,1,15,37,48,"Școala Gimnazială nr. 1, Corp B",1 DECEMBRIE Str. 8 Martie nr. 12,1 Decembrie,44.2864,26.0509
102,25,ILFOV,1 DECEMBRIE,311,41,42,29,0,12,20,37,315,42,44,28,0,11,20,30,"Școala Gimnazială nr. 1, Corp B",1 DECEMBRIE Str. 8 Martie nr. 12,Afumați,44.2864,26.0509
103,25,ILFOV,AFUMAŢI,119,20,180,7,0,12,5,20,116,18,192,7,0,14,4,15,Școala Generală nr. 1,Șoseaua București-Urziceni nr. 130,Afumați,44.5234,26.2494
104,25,ILFOV,AFUMAŢI,157,51,220,22,0,19,7,20,160,52,221,23,1,19,11,16,Școala Generală nr. 1 cu Clasele V-VIII,Șoseaua Petrachioaia nr. 10,Afumați,44.5271,26.2535
105,25,ILFOV,AFUMAŢI,210,20,420,19,0,17,9,24,206,18,425,19,0,22,12,20,Școala Generală nr. 3 cu Clasele I-IV,Șoseaua București-Urziceni nr. 228,Afumați,44.5229,26.2612
106,25,ILFOV,AFUMAŢI,201,30,348,26,1,22,11,24,205,34,351,31,2,16,13,19,Școala Generală nr. 2 cu Clasele I-IV,Str. Școlii nr. 35,Afumați,44.5319,26.2429
107,25,ILFOV,AFUMAŢI,140,43,256,22,2,34,12,37,146,47,256,26,1,28,12,28,Școala cu Clasele I-IV,Nr. 130,Afumați,44.5233,26.249
36,25,ILFOV,ORAŞ MĂGURELE,147,33,161,52,0,12,12,24,148,35,159,50,0,9,13,22,Clădire Parc Aluniș,Str. Aluniș nr. 99,Alunișu,44.3409,26.05
108,25,ILFOV,BALOTEŞTI,256,109,88,36,0,29,12,25,255,110,84,40,1,31,13,19,Căminul Cultural,Nr. 10,Balotești,44.6263,26.1106
109,25,ILFOV,BALOTEŞTI,223,49,86,27,3,19,14,28,230,56,82,32,2,20,9,13,Școala nr. 1 Balotești,Șoseaua Unirii nr. 6,Balotești,44.6106,26.0742
110,25,ILFOV,BALOTEŞTI,212,49,56,35,0,12,11,21,212,51,58,35,0,11,12,19,Școala nr. 1 Balotești,Șoseaua Unirii nr. 6,Balotești,44.6106,26.0742
111,25,ILFOV,BALOTEŞTI,416,146,155,62,1,34,17,48,420,155,144,64,2,42,19,29,Școala nr. 3 Balotești,Șoseaua Unirii nr. 224,Balotești,44.6235,26.111
113,25,ILFOV,BERCENI,332,126,147,32,0,27,12,40,335,128,162,30,1,29,8,23,Grădinița cu Program Prelungit nr. 2,Bulevardul 1 Mai nr. 161,Berceni,44.3157,26.1854
114,25,ILFOV,BERCENI,442,41,140,24,1,15,6,20,430,44,160,24,1,11,8,17,Grădinița cu Program Prelungit nr. 2,Bulevardul 1 Mai nr. 161,Berceni,44.3157,26.1854
115,25,ILFOV,BERCENI,397,123,189,30,0,40,25,55,397,113,218,33,0,35,22,41,Școala Gimnazială nr. 1,Bulevardul 1 Mai nr. 264,Berceni,44.3087,26.1887
1,25,ILFOV,ORAŞ BRAGADIRU,300,70,266,31,1,19,20,41,293,66,270,32,1,22,25,39,Școala Gimnazială nr. 1 Bragadiru,Șoseaua Alexandriei nr. 243A,Bragadiru,44.3704,25.9763
2,25,ILFOV,ORAŞ BRAGADIRU,352,64,300,28,2,35,22,46,348,69,298,28,0,38,24,40,Școala Gimnazială nr. 1 Bragadiru,Șoseaua Alexandriei nr. 243 A,Bragadiru,44.3704,25.9763
3,25,ILFOV,ORAŞ BRAGADIRU,216,72,265,35,2,28,10,33,221,71,270,36,1,27,13,25,Școala Gimnazială nr. 1 Bragadiru,Șoseaua Alexandriei nr. 243 A,Bragadiru,44.3704,25.9763
4,25,ILFOV,ORAŞ BRAGADIRU,168,46,240,15,1,16,19,34,165,47,239,23,0,17,22,28,Școala Gimnazială nr. 1 Bragadiru,Șoseaua Alexandriei nr. 243 A,Bragadiru,44.3704,25.9763
5,25,ILFOV,ORAŞ BRAGADIRU,216,79,249,45,2,23,17,39,225,79,243,53,1,21,19,31,Școala Gimnazială nr. 1 Bragadiru,Șoseaua Alexandriei nr. 243 A,Bragadiru,44.3704,25.9763
6,25,ILFOV,ORAŞ BRAGADIRU,216,290,141,43,2,41,20,48,218,302,144,42,2,42,19,30,Școala GAD Special Construct S.R.L.,"Str. Verii (D) nr. 40, Bloc F4",Bragadiru,44.406,25.9897
7,25,ILFOV,ORAŞ BRAGADIRU,200,277,162,53,1,48,16,48,198,286,159,57,1,47,20,41,Școala GAD Special Construct S.R.L.,"Str. Verii nr. 40, Bloc F 4",Bragadiru,44.3798,25.9864
8,25,ILFOV,ORAŞ BRAGADIRU,206,123,148,29,0,36,16,38,211,119,152,34,1,37,16,25,S.C. Bandkopp Fasteners Import Export S.R.L.,Șoseaua Alexandriei nr. 116-118,Bragadiru,44.3858,26.0137
