id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
223,26,MARAMUREȘ,ARDUSAT,249,16,45,21,0,11,8,18,256,17,39,22,0,11,12,18,Școala cu Clasele I-VIII,Nr. 335,Ardusat,47.6483,23.3675
205,26,MARAMUREȘ,ORAŞ ULMENI,9,1,7,28,340,5,2,7,6,0,7,58,318,5,3,6,Școala Gimnazială „Kos Karoly”,Nr. 143,Arduzel,47.4476,23.2651
224,26,MARAMUREȘ,ARDUSAT,30,3,18,8,1,2,7,12,27,4,17,9,1,2,9,14,Școala cu Clasele I-IV,Nr. 78,Arieșu de Câmp,47.6397,23.3973
387,26,MARAMUREȘ,SATULUNG,126,3,9,5,1,4,9,12,131,3,8,4,1,4,8,8,Căminul Cultural,Nr. 52,Arieșu de Pădure,47.5829,23.4714
226,26,MARAMUREȘ,ARINIŞ,229,6,40,40,38,12,7,25,228,5,26,50,37,13,16,32,Căminul Cultural,Nr. 234,Ariniș,47.4996,23.2296
431,26,MARAMUREȘ,VIMA MICĂ,12,0,3,4,0,1,0,1,15,0,1,4,0,1,0,1,Școala Primară,Nr. 25,Aspra,47.4486,23.6375
229,26,MARAMUREȘ,ASUAJU DE SUS,81,1,35,11,1,3,3,7,82,0,37,12,1,2,4,7,Căminul Cultural,Nr. 160,Asuaju de Jos,47.5405,23.2219
228,26,MARAMUREȘ,ASUAJU DE SUS,246,9,60,25,1,10,8,13,254,12,41,26,3,13,10,14,Primăria,Nr. 283,Asuaju de Sus,47.5666,23.1796
293,26,MARAMUREȘ,COROIENI,37,7,116,4,2,7,0,4,35,6,114,3,2,7,2,8,Școala cu Clasele I-IV,Nr. 117,Baba,47.3404,23.7439
1,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,164,97,127,43,20,26,24,74,199,98,99,42,23,26,37,63,Școala Gimnazială nr. 7,Str. Valea Borcutului nr. 117,Baia Mare,47.6802,23.5108
2,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,187,173,178,45,50,35,36,83,227,169,144,44,49,35,53,80,Școala Gimnazială „Dr. Victor Babeș”,Str. Victoriei nr. 132 A,Baia Mare,47.6586,23.5478
3,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,183,114,99,33,55,43,26,71,208,105,80,36,60,43,42,65,Școala Gimnazială „Dr. Victor Babeș”,Str. Victoriei nr. 132 A,Baia Mare,47.6586,23.5478
4,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,104,50,89,19,38,32,15,34,122,54,69,22,37,20,25,38,Colegiul Tehnic „Aurel Vlaicu”,Str. Victor Babeș (D) nr. 64,Baia Mare,47.6586,23.5451
5,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,159,71,114,18,58,15,22,56,172,85,86,21,55,17,37,53,Colegiul Tehnic „Aurel Vlaicu”,Str. Victor Babeș (D) nr. 64,Baia Mare,47.6586,23.5451
6,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,124,59,92,18,47,26,18,40,143,63,58,25,48,20,30,49,Centrul Universitar Nord - „Facultatea Tehnică”,Str. Victor Babeș (D) nr. 62/A,Baia Mare,47.6605,23.5446
7,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,168,125,152,33,71,27,38,77,190,133,119,33,69,32,46,70,Școala Gimnazială „Nichita Stănescu”,Str. Iza nr. 2,Baia Mare,47.6592,23.5554
8,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,175,86,115,31,60,24,36,81,195,91,76,36,64,33,46,80,Școala Gimnazială „Nichita Stănescu”,Str. Iza nr. 2,Baia Mare,47.6592,23.5554
9,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,100,83,46,15,34,16,16,40,112,83,25,21,36,17,28,41,Școala Gimnazială „Avram Iancu”,Str. Victoriei nr. 84,Baia Mare,47.6598,23.5617
10,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,118,83,71,31,46,17,20,59,143,86,48,28,51,18,33,50,Școala Gimnazială „Avram Iancu”,Str. Victoriei nr. 84,Baia Mare,47.6598,23.5617
11,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,100,58,80,20,57,18,24,46,123,56,57,19,60,19,37,49,Școala Gimnazială „Avram Iancu”,Str. Victoriei nr. 84,Baia Mare,47.6598,23.5617
12,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,145,100,91,26,60,36,20,62,176,103,57,32,64,38,31,50,Școala Gimnazială „Avram Iancu”,Str. Victoriei nr. 84,Baia Mare,47.6598,23.5617
13,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,165,148,93,25,82,31,28,73,171,147,68,31,90,41,45,66,Centrul Universitar Nord - „Facultatea de Litere”,Str. Victoriei nr. 76,Baia Mare,47.6599,23.5653
14,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,82,115,66,17,63,29,23,61,99,124,45,20,62,37,30,43,Centrul Universitar Nord - „Facultatea de Litere”,Str. Victoriei nr. 76,Baia Mare,47.6599,23.5653
15,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,112,48,88,19,85,15,26,49,126,58,64,12,91,21,28,45,Școala Gimnazială „George Coșbuc”,Str. Dr. Gheorghe Bilascu (Str. Marx Karl) (D) nr. 19A,Baia Mare,47.6561,23.5651
16,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,123,65,55,15,79,24,21,58,136,70,35,19,84,25,30,49,Școala Gimnazială „George Coșbuc”,Str. Dr. Gheorghe Bilascu (Str. Marx Karl) (D) nr. 19A,Baia Mare,47.6561,23.5651
17,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,104,79,55,13,55,26,14,45,118,82,36,17,58,23,23,40,Școala Gimnazială „Nicolae Iorga”,Str. Dr. Gheorghe Bilascu (Str. Marx Karl) (D) nr. 1,Baia Mare,47.6562,23.56
18,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,118,81,99,23,70,20,14,45,134,91,77,18,69,17,28,46,Școala Gimnazială „Nicolae Iorga”,Str. Gheorghe Bilașcu nr. 1,Baia Mare,47.6562,23.56
19,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,182,121,101,38,38,34,38,95,229,122,73,35,36,30,57,83,Grădinița cu Program Normal nr. 20,Bulevardul București nr. 20,Baia Mare,47.6534,23.5596
20,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,184,83,96,36,98,37,37,68,209,90,67,39,92,41,41,63,Liceul Teoretic „Emil Racoviță”,Bulevardul Republicii nr. 8,Baia Mare,47.653,23.5566
21,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,182,86,154,25,41,24,25,49,208,82,121,26,45,24,36,51,Liceul Teoretic „Emil Racoviță”,Bulevardul Republicii nr. 8,Baia Mare,47.653,23.5566
22,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,197,89,136,27,46,24,30,63,216,88,103,23,51,25,59,75,Școala Gimnazială „Alexandru Ioan Cuza”,Str. Cuza Vodă nr. 7,Baia Mare,47.6537,23.5526
23,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,210,63,106,47,41,29,31,75,229,68,76,46,46,24,62,79,Școala Gimnazială „Alexandru Ioan Cuza”,Str. Cuza Vodă nr. 7,Baia Mare,47.6537,23.5526
24,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,162,56,112,30,46,14,24,47,197,58,76,28,46,15,37,50,Grădinița cu Program Prelungit „Micul Prinț”,Str. Cuza Vodă nr. 8B,Baia Mare,47.653,23.5527
25,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,139,70,136,35,58,33,43,76,174,74,98,48,58,25,44,67,Școala Gimnazială nr. 18,Aleea Filaturii nr. 2,Baia Mare,47.6523,23.5478
26,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,123,37,101,21,30,21,33,56,156,33,70,17,35,24,43,55,Școala Gimnazială nr. 18,Aleea Filaturii nr. 2,Baia Mare,47.6523,23.5478
27,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,107,21,78,15,10,15,14,29,118,20,57,16,10,19,20,31,"Registru Auto Român, Reprezentanța Maramureș",Str. Mărgeanului nr. 3A,Baia Mare,47.6455,23.5463
28,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,138,70,128,26,26,32,24,56,166,66,106,30,28,31,31,52,Grădinița cu Program Prelungit nr. 28,Aleea Filaturii nr. 4,Baia Mare,47.6526,23.5461
29,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,106,26,90,34,34,7,15,37,125,36,62,40,29,13,25,31,Grădinița cu Program Prelungit nr. 25,Str. Jupiter (D) nr. 4,Baia Mare,47.6492,23.553
30,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,135,47,79,28,30,17,29,57,151,49,55,30,32,19,44,59,Grădinița cu Program Prelungit nr. 25,Str. Jupiter (D) nr. 4,Baia Mare,47.6492,23.553
31,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,86,29,68,19,25,3,10,20,98,35,39,18,19,6,29,34,Școala Gimnazială „Ion Luca Caragiale”,Bulevardul Traian nr. 26A,Baia Mare,47.6495,23.5551
32,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,124,3,94,25,51,24,43,131,148,68,66,27,52,27,53,69,Școala Gimnazială „Ion Luca Caragiale”,Bulevardul Traian nr. 26A,Baia Mare,47.6495,23.5551
33,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,111,14,78,4,16,9,20,51,137,16,57,8,17,12,23,37,Școala Gimnazială „Ion Luca Caragiale”,Bulevardul Traian nr. 26A,Baia Mare,47.6495,23.5551
34,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,166,66,124,30,32,23,27,59,188,68,79,34,34,26,52,67,Grădinița cu Program Prelungit nr. 34,Aleea Amurgului nr. 2,Baia Mare,47.6469,23.5568
35,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,146,60,108,37,34,19,31,52,169,63,84,38,37,18,35,46,Grădinița cu Program Prelungit „Floare de Colț”,Str. Bucovinei nr. 7,Baia Mare,47.6466,23.5593
36,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,135,49,105,26,6,12,22,45,141,54,76,30,6,15,40,58,Școala Gimnazială „Alexandru Ivasiuc”,Str. Bucovinei nr. 9,Baia Mare,47.6468,23.5599
37,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,169,78,119,24,16,20,25,52,193,70,99,29,19,21,35,47,Școala Gimnazială „Alexandru Ivasiuc”,Str. Bucovinei nr. 9,Baia Mare,47.6468,23.5599
38,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,175,73,112,31,17,24,21,60,192,72,83,39,17,20,42,67,Școala Gimnazială „Dimitrie Cantemir”,Str. Bogdan Vodă nr. 4,Baia Mare,47.6482,23.5595
39,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,144,48,119,29,20,17,36,60,159,52,88,29,19,17,54,68,Școala Gimnazială „Dimitrie Cantemir”,Str. Bogdan Vodă nr. 4,Baia Mare,47.6482,23.5595
40,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,159,71,106,13,26,16,25,48,173,63,82,20,26,26,42,52,Școala Gimnazială „Dimitrie Cantemir”,Str. Bogdan Vodă nr. 4,Baia Mare,47.6482,23.5595
41,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,161,133,103,22,59,30,26,68,186,132,85,29,59,33,34,50,Ansamblul Folcloric Național „Transilvania”,Bulevardul Traian (D) nr. 8,Baia Mare,47.6504,23.5669
42,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,156,133,112,29,36,37,31,62,183,130,82,34,37,34,49,65,Liceul cu Program Sportiv,Bulevardul Republicii nr. 33,Baia Mare,47.6465,23.5654
43,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,118,41,95,24,38,30,16,44,136,46,72,23,39,31,26,46,Liceul cu Program Sportiv,Bulevardul Republicii nr. 33,Baia Mare,47.6465,23.5654
44,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,69,56,73,16,17,12,16,36,83,51,60,17,19,10,29,38,Liceul cu Program Sportiv,Bulevardul Republicii nr. 33,Baia Mare,47.6465,23.5654
45,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,179,85,122,34,20,25,24,56,194,91,81,34,23,29,44,63,Centrul Social „Assoc”,Bulevardul Unirii nr. 28,Baia Mare,47.6465,23.5696
46,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,156,105,124,38,38,43,26,72,190,110,88,36,40,29,55,82,Administrația Bazelor Sportive,Bulevardul Unirii nr. 14A,Baia Mare,47.6492,23.5701
47,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,126,97,103,38,47,17,27,67,150,108,77,39,50,15,38,54,Sala Sporturilor „Lascăr Pană”,Bulevardul Unirii nr. 14A,Baia Mare,47.6492,23.5701
48,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,166,111,108,37,50,28,24,69,197,116,72,35,56,30,39,66,Sala Sporturilor „Lascăr Pană”,Bulevardul Unirii nr. 14A,Baia Mare,47.6492,23.5701
49,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,135,133,83,46,106,26,20,54,164,133,54,45,117,26,24,41,Biblioteca Județeană „Petre Dulfu”,Bulevardul Independenței nr. 4B,Baia Mare,47.6591,23.569
50,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,92,107,99,28,65,27,16,71,110,120,65,30,69,21,30,57,Liceul de Arte,Str. Petőfi Sándor nr. 2-4,Baia Mare,47.6645,23.5756
51,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,85,104,92,14,68,20,18,53,98,103,79,16,66,24,27,48,Liceul de Arte,Str. Petőfi Sándor nr. 2-4,Baia Mare,47.6645,23.5756
52,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,101,92,84,24,100,28,19,65,118,99,60,24,102,24,31,69,Liceul Teoretic Sanitar,Str. Minerilor nr. 3,Baia Mare,47.6623,23.58
53,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,107,110,114,33,83,24,22,50,130,108,79,37,89,22,41,53,Grădinița cu Program Normal nr. 12,Str. Industriei nr. 1,Baia Mare,47.6632,23.5884
54,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,121,29,100,21,46,8,17,37,132,32,76,27,47,12,23,35,Școala Gimnazială „Nicolae Bălcescu”,Str. Arenei nr. 1,Baia Mare,47.6772,23.6231
55,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,147,26,98,17,29,7,12,35,156,30,78,19,29,9,23,31,Școala Gimnazială „Nicolae Bălcescu”,Str. Arenei nr. 1,Baia Mare,47.6772,23.6231
56,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,92,18,77,12,5,9,20,34,105,24,56,10,4,14,29,34,Școala Gimnazială „Mihail Sadoveanu”,Str. Lunci (Str. Luncii) nr. 22,Baia Mare,47.7043,23.6277
57,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,109,13,102,20,6,11,15,27,129,15,74,21,4,15,25,30,Școala Gimnazială „Mihail Sadoveanu”,Str. Lunci (Str. Luncii) nr. 22,Baia Mare,47.7043,23.6277
58,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,142,17,158,16,2,17,11,34,200,14,104,14,3,13,30,34,Școala Gimnazială nr. 13,Str. Firiza nr. 72,Baia Mare,47.7517,23.6048
59,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,99,63,116,12,112,15,8,30,120,67,88,14,122,15,16,21,Școala Gimnazială „Octavian Goga”,Str. Vasile Lucaciu (Str. Baia Sprie) nr. 56,Baia Mare,47.6611,23.5886
60,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,71,71,86,25,153,18,27,48,94,76,59,26,154,14,36,48,Școala Gimnazială „Octavian Goga”,Str. Vasile Lucaciu (Str. Baia Sprie) nr. 56,Baia Mare,47.6611,23.5886
61,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,161,122,126,39,119,40,28,90,206,137,84,36,122,40,43,68,Colegiul Național „Gheorghe Șincai”,Str. Gheorghe Șincai (Str. 17 Octombrie) nr. 25,Baia Mare,47.658,23.5778
62,26,MARAMUREȘ,MUNICIPIUL BAIA MARE,141,95,84,34,95,24,21,58,151,96,64,36,95,30,36,58,Colegiul Național „Vasile Lucaciu”,Str. Culturii (Str. Depozitelor) nr. 2,Baia Mare,47.6579,23.5703
