id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
215,27,MEHEDINȚI,MALOVĂŢ,263,2,66,13,1,34,3,10,265,5,76,11,1,32,3,8,Școala Generală I-IV 23 August,23 AUGUST,23 August,44.716,22.7621
165,27,MEHEDINȚI,DUMBRAVA,83,1,69,12,1,106,0,4,82,2,73,9,1,105,0,7,Școala Generală Albulești,,Albulești,44.5153,23.2029
279,27,MEHEDINȚI,VLĂDAIA,127,1,26,7,0,146,3,13,124,2,25,6,1,156,2,11,Școala Generală I-IV Almăjel,,Almăjel,44.3828,23.0292
134,27,MEHEDINȚI,BUTOIEŞTI,47,1,58,3,3,122,4,7,41,1,64,3,2,124,5,8,Școala Generală I-IV Arginești,,Arginești,44.5735,23.4137
153,27,MEHEDINȚI,CUJMIR,144,2,51,26,1,15,1,7,144,3,49,25,2,14,2,7,Școala Generală Aurora,,Aurora,44.1926,22.9375
199,27,MEHEDINȚI,ILOVIŢA,96,1,17,12,0,6,3,15,97,0,22,14,0,6,7,13,Căminul Cultural Bahna,,Bahna,44.7751,22.498
163,27,MEHEDINȚI,DUBOVA,26,0,46,1,0,3,0,12,28,0,53,2,0,4,0,1,Fosta Școală Baia Nouă,,Baia Nouă,44.5567,22.1222
75,27,MEHEDINȚI,ORAŞ BAIA DE ARAMĂ,317,14,60,17,2,38,14,35,313,13,63,19,1,37,16,31,Școala Generală Baia de Aramă,,Baia de Aramă,44.9992,22.805
76,27,MEHEDINȚI,ORAŞ BAIA DE ARAMĂ,355,13,36,12,2,32,8,19,357,18,35,13,2,26,9,23,Grupul Școlar Constantin Brâncoveanu,,Baia de Aramă,44.9979,22.8149
100,27,MEHEDINȚI,BALA,184,6,43,2,3,22,9,20,166,5,46,3,3,46,4,14,Căminul Cultural Bala,,Bala,44.8825,22.8359
102,27,MEHEDINȚI,BALA,130,3,38,0,1,44,16,26,115,3,33,7,1,69,11,17,Școala Generală I-IV Bala de Sus,,Bala de Sus,44.8971,22.8108
204,27,MEHEDINȚI,IZVORU BÎRZII,110,0,74,7,0,7,4,15,115,2,73,9,0,9,4,7,Școala Generală I-IV Balotești,,Balotești,44.7338,22.6391
106,27,MEHEDINȚI,BALTA,119,0,40,37,1,4,3,8,113,0,41,40,1,2,6,10,Căminul Cultural Balta,,Balta,44.8859,22.6363
177,27,MEHEDINȚI,GOGOŞU,285,3,30,10,0,8,5,12,291,5,29,10,1,7,5,10,Școala Generală Balta Verde,,Balta Verde,44.3441,22.5943
156,27,MEHEDINȚI,DEVESEL,101,2,142,9,1,9,7,10,99,2,147,6,1,9,7,9,Școala Generală Batoți,,Batoți,44.5144,22.6754
157,27,MEHEDINȚI,DEVESEL,104,4,144,4,2,3,0,7,104,4,144,4,2,6,0,3,Școala Generală Bistrețu,,Bistrețu,44.444,22.6112
192,27,MEHEDINȚI,HINOVA,386,0,36,10,2,35,11,32,388,5,47,10,3,31,12,21,Școala Generală I-VIII Bistrița,,Bistrița,44.5852,22.7909
216,27,MEHEDINȚI,MALOVĂŢ,264,4,32,3,0,15,3,11,267,0,35,3,0,15,1,16,Căminul Cultural Bobaița,,Bobaița,44.7599,22.7203
119,27,MEHEDINȚI,BRANIŞTEA,630,1,27,6,0,27,8,15,632,1,26,5,0,34,7,11,Școala Gimnazială Braniștea,,Braniștea,44.2404,22.9704
101,27,MEHEDINȚI,BALA,17,0,2,3,1,5,7,10,16,1,3,3,1,6,5,9,Școala Generală I-IV Brateșul,,Brateșul,44.9105,22.8261
121,27,MEHEDINȚI,BREZNIŢA-MOTRU,390,5,68,7,1,11,7,13,385,3,77,6,0,10,8,12,Școala Generală I-VIII Breznița Motru,,Breznița-Motru,44.5672,23.2146
123,27,MEHEDINȚI,BREZNIŢA-OCOL,308,13,54,7,1,10,5,15,301,17,56,5,0,10,9,19,Școala Generală I-VIII Breznița Ocol,,Breznița-Ocol,44.6666,22.6182
126,27,MEHEDINȚI,BROŞTENI,376,11,85,10,1,31,8,25,370,12,84,9,1,32,7,35,Cămin Cultural Broșteni,,Broșteni,44.7576,22.9898
92,27,MEHEDINȚI,ORAŞ VÎNJU MARE,111,1,34,3,1,16,3,8,114,2,33,4,1,17,3,6,Gradinița Bucura,,Bucura,44.4004,22.8662
136,27,MEHEDINȚI,BUTOIEŞTI,61,1,30,12,1,38,0,6,63,2,28,14,1,38,0,4,Școala Generală I-IV Buicești,,Buicești,44.5654,23.3683
128,27,MEHEDINȚI,BURILA MARE,186,0,118,8,0,16,1,14,190,0,117,10,0,18,1,13,Școala Generală Burila Mare,,Burila Mare,44.4524,22.5753
178,27,MEHEDINȚI,GOGOŞU,287,0,26,4,0,9,2,7,282,0,27,8,0,9,2,7,Școala Generală Burila Mică,,Burila Mică,44.4207,22.5862
202,27,MEHEDINȚI,ISVERNA,71,1,11,7,1,4,1,3,73,1,13,9,1,4,0,1,Cămin Cultural Busești,,Busești,44.949,22.7116
133,27,MEHEDINȚI,BUTOIEŞTI,124,0,70,5,0,74,6,18,121,6,69,3,0,79,8,14,Primăria Butoiești,,Butoiești,44.5842,23.3635
113,27,MEHEDINȚI,BÎCLEŞ,346,0,17,4,1,35,0,7,331,1,19,5,2,35,3,13,Școala Generală I-VIII Bîcleș,,Bâcleș,44.4777,23.113
182,27,MEHEDINȚI,GRECI,128,1,36,8,0,15,6,11,125,1,42,6,1,15,6,8,Școala Generală Bîltanele,,Bâltanele,44.5781,23.1453
118,27,MEHEDINȚI,BÎLVĂNEŞTI,406,6,22,4,0,18,6,15,399,4,25,3,0,20,9,15,Primăria Bîlvănești,,Bâlvănești,44.7977,22.6782
236,27,MEHEDINȚI,PONOARELE,95,5,20,2,1,1,3,5,93,3,22,1,0,5,4,5,Căminul Cultural Bîrîiacu,,Bârâiacu,45.0069,22.7372
196,27,MEHEDINȚI,HUSNICIOARA,49,0,37,0,0,1,0,4,46,0,38,0,1,2,1,5,Școala Generală Bădițești,,Bădițești,44.6381,22.866
110,27,MEHEDINȚI,BĂLĂCIŢA,258,1,51,16,0,9,1,30,257,4,48,12,0,14,1,28,Școala Gimnazială Bălăcița,,Bălăcița,44.3845,23.1264
249,27,MEHEDINȚI,PUNGHINA,30,2,13,26,3,9,2,10,35,2,10,29,2,10,2,5,Căminul Cultural Cearîng,,Cearângu,44.2831,22.9784
148,27,MEHEDINȚI,CORCOVA,134,6,42,4,0,6,0,10,136,7,43,4,0,7,0,5,Școala Generală Cernaia,,Cernaia,44.6584,23.1315
259,27,MEHEDINȚI,ŞIMIAN,599,7,31,5,0,3,5,20,559,6,47,9,0,5,8,35,Școala Generală I-VIII Cerneți,,Cerneți,44.6437,22.71
260,27,MEHEDINȚI,ŞIMIAN,639,7,23,7,4,7,8,16,595,10,51,12,3,10,9,19,Școala Generală I-VIII Cerneți,,Cerneți,44.6437,22.71
244,27,MEHEDINȚI,PRUNIŞOR,116,2,13,4,0,42,1,9,115,1,17,3,0,42,1,7,Căminul Cultural Cervenița,,Cervenița,44.6378,22.9674
84,27,MEHEDINȚI,ORAŞ STREHAIA,297,3,26,10,4,5,10,16,304,2,29,10,4,6,11,15,Școala Generală Ciochiuța,Nr. Numărul 127,Ciochiuța,44.6023,23.1158
210,27,MEHEDINȚI,JIANA,290,2,21,7,1,14,11,15,300,2,22,5,1,7,10,15,Căminul Cultural Cioroboreni,,Cioroboreni,44.387,22.7561
