id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
390,28,MUREȘ,GHINDARI,4,0,1,1,59,0,0,0,4,0,1,0,57,0,0,0,Școală Primară Abud,Nr. 48,Abud,46.525,24.9141
453,28,MUREȘ,MICA,20,1,9,7,27,3,0,5,20,2,10,6,28,4,1,3,Școala Primară,Nr. 140,Abuș,46.3573,24.3795
210,28,MUREȘ,ACĂŢARI,13,2,4,4,397,3,2,16,15,3,7,5,402,3,2,7,Școala Primară Acățari,Nr. 99,Acățari,46.479,24.6325
408,28,MUREȘ,GURGHIU,17,3,66,1,1,3,1,4,17,2,72,2,1,2,1,2,Căminul Cultural Adrian,Nr. 72,Adrian,46.7818,24.8316
376,28,MUREȘ,GĂLEŞTI,3,1,1,1,47,2,0,0,3,0,1,1,48,2,0,1,Școala Primară Adrianu Mare,Nr. 7,Adrianu Mare,46.4942,24.7996
218,28,MUREȘ,ADĂMUŞ,54,7,13,2,51,2,1,6,53,9,14,4,51,2,2,2,Școala Gimnazială Adămuș,,Adămuș,46.3029,24.2347
219,28,MUREȘ,ADĂMUŞ,106,10,40,10,29,7,23,34,112,0,41,11,31,6,7,37,Căminul Cultural Adămuș,,Adămuș,46.3052,24.2393
268,28,MUREȘ,BĂLĂUŞERI,49,2,11,4,94,1,3,24,53,4,10,5,99,2,5,15,Cămin Cultural Agrișteu,Nr. 80,Agrișteu,46.3924,24.6817
224,28,MUREȘ,ALBEŞTI,184,37,62,22,88,24,23,48,177,39,68,20,89,30,24,40,Școala Gimnazială Albești,Str. Lungă nr. 119,Albești,46.2401,24.8525
225,28,MUREȘ,ALBEŞTI,168,35,69,23,101,23,24,49,167,36,76,26,106,23,25,37,Școala Gimnazială Albești,Str. Lungă nr. 119,Albești,46.2401,24.8525
227,28,MUREȘ,ALUNIŞ,67,0,8,5,198,5,4,10,68,2,8,5,198,4,4,9,Căminul Cultural Aluniș-Sala Mare,Nr. 166,Aluniș,46.8938,24.8197
228,28,MUREȘ,ALUNIŞ,44,0,15,3,293,2,3,16,41,3,20,6,297,4,2,7,Căminul Cultural Aluniș-Sala Mică,Nr. 166,Aluniș,46.8938,24.8197
231,28,MUREȘ,APOLD,49,4,16,21,1,7,0,3,49,4,17,20,1,6,1,4,Grădinița cu Program Normal Apold,Nr. 134,Apold,46.1248,24.816
559,28,MUREȘ,VÎNĂTORI,77,4,21,23,1,2,4,13,77,4,21,23,1,2,4,8,Grădinița cu Program Normal Archita,Nr. 225,Archita,46.1808,25.0936
