id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
442,29,NEAMȚ,TĂMĂŞENI,74,71,196,7,0,9,11,35,78,63,205,13,0,7,14,31,Liceul Tehnologic Adjudeni,,Adjudeni,47.0145,26.9484
444,29,NEAMȚ,TĂMĂŞENI,56,65,119,8,1,4,14,32,54,51,120,9,1,9,18,29,Grădinița,,Adjudeni,47.0133,26.9514
447,29,NEAMȚ,TĂMĂŞENI,51,51,200,8,1,11,9,32,53,50,201,13,0,9,7,30,Centrul Medical Adjudeni,,Adjudeni,47.0109,26.9514
148,29,NEAMȚ,AGAPIA,473,22,45,17,0,15,15,54,456,28,50,20,1,19,21,51,Școala Gimnazială Nicolae Grigorescu Agapia,,Agapia,47.1719,26.2834
292,29,NEAMȚ,GÎRCINA,108,7,30,17,0,9,10,47,105,9,36,18,0,9,10,41,Școala Almaș,Str. Almașului nr. 68/B,Almaș,47.0085,26.3498
322,29,NEAMȚ,ION CREANGĂ,281,6,44,6,1,2,3,17,287,6,43,7,1,2,6,12,Camin Cultural,,Averești,46.8728,27.0382
156,29,NEAMȚ,BAHNA,95,3,59,2,0,4,3,18,103,1,62,2,1,5,4,12,"Căminul Cultural, Localitatea Bahna",,Bahna,46.7753,26.8
211,29,NEAMȚ,BOTEŞTI,334,22,106,14,1,12,6,40,348,26,102,15,0,10,9,30,Școala cu Clasele I-Vii,,Barticești,47.0596,26.7892
419,29,NEAMȚ,SECUIENI,103,2,69,7,0,10,5,12,99,2,74,7,0,10,6,11,Căminul Cultural,,Bașta,46.865,26.9126
388,29,NEAMȚ,REDIU,105,10,25,12,0,3,2,10,107,6,27,12,0,3,3,8,Școala cu Clasele I-IV Betesti,,Bețești,46.7404,26.578
119,29,NEAMȚ,ORAŞ BICAZ,251,28,54,33,0,24,18,77,256,29,57,38,2,26,24,70,Primăria Orasului Bicaz,Str. Piatra Corbului nr. 13,Bicaz,46.9106,26.0872
120,29,NEAMȚ,ORAŞ BICAZ,159,4,36,20,1,9,18,72,172,4,41,20,1,8,21,53,Școala Generală nr. 1 Marceni,Nr. 1,Bicaz,46.9137,26.0893
121,29,NEAMȚ,ORAŞ BICAZ,216,20,46,23,1,18,21,72,222,24,49,27,3,18,26,61,Școala Generală nr. 1 Marceni,Nr. 12,Bicaz,46.9128,26.0917
164,29,NEAMȚ,BICAZ-CHEI,248,6,22,16,0,4,5,36,248,5,24,17,0,5,10,33,Camin Cultural,,Bicaz-Chei,46.8403,25.8911
165,29,NEAMȚ,BICAZ-CHEI,188,5,26,13,0,12,8,23,191,1,28,14,0,11,8,19,Școala Gimnazială nr. 2,,Bicaz-Chei,46.8233,25.873
166,29,NEAMȚ,BICAZ-CHEI,294,5,33,10,0,6,11,23,303,2,34,12,1,3,11,15,Școala Gimnazială nr. 1,,Bicaz-Chei,46.8392,25.8902
168,29,NEAMȚ,BICAZU ARDELEAN,124,9,160,11,1,15,12,55,123,11,171,15,0,19,8,34,Cămin Cultural,Nr. 203,Bicazu Ardelean,46.854,25.9314
172,29,NEAMȚ,BIRA,98,12,58,12,1,8,6,18,104,9,50,16,1,10,8,18,Căminul Cultural Bîra,,Bira,47.0224,27.0429
219,29,NEAMȚ,CEAHLĂU,124,6,78,6,1,13,1,17,130,4,79,4,2,13,3,15,Cămin Cultural,,Bistricioara,47.0537,25.9258
154,29,NEAMȚ,ALEXANDRU CEL BUN,223,46,140,75,0,27,23,163,232,55,148,75,0,35,21,131,Școala Gimnazială Vaduri,Str. Mănăstirii nr. 9,Bistrița,46.9456,26.2924
356,29,NEAMȚ,PIPIRIG,344,10,20,9,0,10,7,23,350,13,21,8,0,8,8,21,Școala Gimnazială nr. 1,Str. Ozanei nr. 176,Boboiești,47.2528,26.0352
184,29,NEAMȚ,BODEŞTI,207,6,41,16,0,8,2,24,211,12,44,12,2,8,7,19,Școala cu Clasele I-IV,,Bodești,47.0295,26.4165
185,29,NEAMȚ,BODEŞTI,182,4,36,17,0,8,6,36,181,6,42,15,2,9,10,32,Școala cu Clasele I-IV,,Bodești,47.0295,26.4165
188,29,NEAMȚ,BODEŞTI,86,4,32,7,0,11,2,19,84,3,35,11,0,12,4,14,Grădiniță - (Cătună),,Bodeștii de Jos,47.0359,26.4267
189,29,NEAMȚ,BODEŞTI,172,3,17,7,0,10,4,38,181,4,20,13,0,7,6,17,Școala cu Clasele I-VIII,,Bodeștii de Jos,47.0276,26.4402
