id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
236,30,OLT,IZVOARELE,487,3,84,5,1,8,4,17,487,3,88,4,2,8,4,20,Școala Generală cu Clasele I-VIII Alimanesti,Str. Biserica Sf. Nicolae nr. 84,Alimănești,44.258,24.5361
307,30,OLT,SPINENI,160,0,7,8,0,4,12,15,156,0,8,8,0,3,12,15,Școala Generală Alunisu,Str. Principală Alunișu nr. 85,Alunișu,44.7419,24.5328
253,30,OLT,MOVILENI,490,4,43,4,0,14,5,10,489,4,46,6,1,15,4,9,Școala Bacea,Str. Principală nr. 58,Bacea,44.3978,24.6404
122,30,OLT,BALDOVINEŞTI,239,4,83,11,1,9,2,7,238,4,81,12,1,10,2,10,Școala Generală cu Clasele I-VIII Baldovinești,Str. Plopului nr. 65,Baldovinești,44.3868,24.0504
66,30,OLT,ORAŞ BALŞ,272,3,50,29,0,7,3,13,265,5,53,26,0,10,3,15,Școala Gimnazială nr. 3 Romana,Str. Crinilor nr. 1,Balș,44.3876,24.1067
67,30,OLT,ORAŞ BALŞ,266,16,86,14,0,16,2,15,265,16,90,14,0,16,4,14,Școala Gimnazială nr. 2 Virtina,Str. Tudor Vladimirescu nr. 140,Balș,44.3671,24.0794
68,30,OLT,ORAŞ BALŞ,263,16,56,35,0,17,10,18,262,17,56,31,0,18,9,18,Școala Gimnazială nr. 1 Bals,Str. Cireșului nr. 26,Balș,44.3535,24.0993
69,30,OLT,ORAŞ BALŞ,379,16,93,48,0,26,9,30,369,20,103,40,1,25,12,32,Școala Gimnazială Specială,Str. Plopului nr. 16,Balș,44.3532,24.0959
70,30,OLT,ORAŞ BALŞ,328,43,90,54,1,32,19,43,342,44,93,44,1,29,20,43,Liceul Teoretic Petre Pandrea,Str. Nicolae Bălcescu nr. 25,Balș,44.3501,24.1055
71,30,OLT,ORAŞ BALŞ,350,25,72,32,0,21,7,21,340,22,88,25,0,21,9,22,Liceul Teoretic Petre Pandrea,Str. Nicolae Bălcescu nr. 25,Balș,44.3501,24.1055
72,30,OLT,ORAŞ BALŞ,313,20,99,40,0,34,6,20,321,18,111,31,0,33,6,19,Școala Gimnazială „Mihail Drumes”,Str. Nicolae Bălcescu nr. 51,Balș,44.3492,24.108
73,30,OLT,ORAŞ BALŞ,297,32,131,36,3,24,8,22,298,34,124,35,2,30,10,21,Școala Gimnazială „Mihail Drumes”,Str. Nicolae Bălcescu nr. 51,Balș,44.3492,24.108
74,30,OLT,ORAŞ BALŞ,194,14,45,10,0,17,1,11,186,14,50,10,0,14,1,14,Grădinița cu Program Normal nr. 1,Str. Nicolae Bălcescu nr. 181,Balș,44.3465,24.1233
75,30,OLT,ORAŞ BALŞ,283,27,95,19,0,23,8,19,268,30,94,20,0,29,10,22,Grădinița cu Program Normal nr. 1,Str. Nicolae Bălcescu nr. 181,Balș,44.3465,24.1233
76,30,OLT,ORAŞ BALŞ,355,13,77,21,0,16,13,26,343,15,84,19,0,20,15,27,Colegiul Tehnic,Str. Nicolae Bălcescu nr. 213,Balș,44.3439,24.1273
77,30,OLT,ORAŞ BALŞ,227,17,84,26,0,21,4,13,228,18,86,25,0,16,6,13,Colegiul Tehnic,Str. Nicolae Bălcescu nr. 213,Balș,44.3439,24.1273
78,30,OLT,ORAŞ BALŞ,188,16,34,14,0,27,6,11,198,15,36,12,0,24,5,10,Școala Gimnazială Teis,Str. Teiș nr. 163,Balș,44.339,24.1367
134,30,OLT,BOBICEŞTI,85,0,7,6,0,94,0,9,83,1,5,7,0,99,1,9,Școala Generală Bechet,Str. Bechet nr. 47,Bechet,44.3949,24.1744
174,30,OLT,DĂNEASA,217,2,33,4,1,2,4,6,217,0,37,4,0,2,4,6,Școala Berindei,Str. Oltului nr. 46,Berindei,44.1088,24.5624
115,30,OLT,ORAŞ SCORNICEŞTI,216,7,333,10,3,311,6,12,227,8,323,10,3,296,9,18,Școala Generla Bircii,Str. Bircii nr. 110,Bircii,44.5173,24.5998
102,30,OLT,ORAŞ PIATRA-OLT,228,1,50,2,1,18,1,5,224,2,49,2,1,18,1,5,Școala Generală cu Clasele I-IV,Str. Pădurea Sarului nr. 15,Bistrița Nouă,44.399,24.2269
133,30,OLT,BOBICEŞTI,232,6,35,18,0,11,2,5,230,5,35,17,0,12,3,6,Caminul Cultural Bobicesti,Str. Bobicești nr. 52,Bobicești,44.3948,24.1402
149,30,OLT,CEZIENI,86,1,29,2,0,3,1,2,87,0,27,2,0,3,1,2,Camin Cultural,Str. Elias nr. 37,Bondrea,44.1928,24.2294
132,30,OLT,BÎRZA,301,2,35,8,0,144,8,17,296,3,34,9,0,147,7,20,Școala Gimnazială Braneț,Str. Canton nr. 5,Braneț,44.3293,24.179
