id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
285,31,PRAHOVA,ADUNAŢI,208,2,35,28,0,7,5,20,207,6,34,27,0,8,7,18,Cămin Cultural,,Adunați,45.1834,25.5981
286,31,PRAHOVA,ADUNAŢI,156,9,37,18,2,14,13,25,155,8,39,15,0,17,15,29,Grădinița „Castelul Piticilor”,,Adunați,45.1833,25.5971
289,31,PRAHOVA,ALBEŞTI-PALEOLOGU,96,7,102,10,1,150,9,20,94,9,97,11,1,154,9,18,Școala Gimnazială cu Clasele I-IV Sat Albesti Muru,,Albești-Muru,44.9449,26.208
287,31,PRAHOVA,ALBEŞTI-PALEOLOGU,172,19,211,15,1,80,11,32,171,21,207,17,1,80,14,35,Școala Gimnazială Clasele I-VIII Albesti Paleologu,,Albești-Paleologu,44.9534,26.2287
291,31,PRAHOVA,ALUNIŞ,490,17,56,19,0,22,23,43,491,23,58,20,0,23,19,32,Școala Gimnazială Gheorghe Costescu Alunis,Nr. 1025,Aluniș,45.1998,25.8923
292,31,PRAHOVA,ALUNIŞ,249,6,27,17,1,8,6,12,251,7,26,17,0,9,8,13,Școala cu Clasele I-IV Alunis Vale,Nr. 632,Aluniș,45.2044,25.8559
294,31,PRAHOVA,APOSTOLACHE,131,8,200,3,0,19,9,16,131,9,203,2,0,13,12,17,Consiliul Local Apostolache,Nr. 6,Apostolache,45.1284,26.2587
295,31,PRAHOVA,APOSTOLACHE,85,1,125,4,0,21,4,12,83,3,131,3,0,20,6,13,Consiliul Local Apostolache,Nr. 6,Apostolache,45.1284,26.2587
296,31,PRAHOVA,ARICEŞTII RAHTIVANI,166,27,105,41,1,27,64,86,166,27,113,37,1,27,54,81,Școala Gimnazială Comuna Ariceștii Rahtivani nr. 96a,,Ariceștii Rahtivani,44.9449,25.8387
297,31,PRAHOVA,ARICEŞTII RAHTIVANI,172,31,78,25,0,23,34,57,175,33,80,26,2,24,30,44,Căminul Cultural Ariceștii Rahtivani nr. 527a,,Ariceștii Rahtivani,44.9528,25.8278
303,31,PRAHOVA,ARICEŞTII ZELETIN,177,5,163,10,0,15,6,12,172,5,158,11,0,17,8,17,Școala Gimnazială Athanasie Jan Stoicescu,Nr. 135,Ariceștii Zeletin,45.222,26.1805
598,31,PRAHOVA,VALEA CĂLUGĂREASCĂ,157,17,28,26,0,72,23,38,167,17,33,24,1,66,23,32,Camin Cultural,Nr. 122,Arva,44.9609,26.1647
181,31,PRAHOVA,ORAŞ AZUGA,256,63,137,33,3,27,25,83,280,60,122,36,3,28,22,75,Liceul Teoretic Azuga,Str. Victoriei nr. 65,Azuga,45.4449,25.5544
182,31,PRAHOVA,ORAŞ AZUGA,155,45,75,11,1,22,11,67,168,43,84,14,1,26,13,44,Liceul Teoretic Azuga,Str. Independenței nr. 53,Azuga,45.445,25.5625
183,31,PRAHOVA,ORAŞ AZUGA,239,40,93,26,2,34,25,67,257,40,85,28,3,34,18,54,Grădinița de Copii,Str. Valea Azugii nr. 3,Azuga,45.4421,25.5742
304,31,PRAHOVA,BABA ANA,174,11,142,16,0,72,41,71,183,14,150,14,0,73,42,57,Școala Gimnazială Baba Ana,Nr. 355,Baba Ana,44.9681,26.462
308,31,PRAHOVA,BALTA DOAMNEI,272,11,58,14,0,28,10,53,272,16,68,16,1,30,14,35,Școala Gimnazială Sfinții Împărați Balta Doamnei,Nr. 236,Balta Doamnei,44.7584,26.1719
397,31,PRAHOVA,DRĂGĂNEŞTI,53,2,71,2,0,5,5,8,55,2,70,4,0,3,7,9,Școala cu Clasele I-IV Belciug,Nr. 70A,Belciug,44.8181,26.2467
325,31,PRAHOVA,BERCENI,151,9,361,10,1,25,12,40,149,9,360,14,1,24,12,35,"Școala Gimnazială Berceni, Sala de Sport Parter",,Berceni,44.9312,26.1224
326,31,PRAHOVA,BERCENI,103,6,144,7,0,14,5,15,92,9,150,7,0,17,6,14,"Grădinița cu Program Normal-Sala Mica Parter, Com.Berceni, Sat Berceni, Str.Gradinitei nr. 358 A",,Berceni,44.9309,26.1236
331,31,PRAHOVA,BERTEA,214,19,163,16,1,27,10,35,207,14,176,16,1,30,10,31,Grădinița de Copii nr. 1,,Bertea,45.229,25.8777
332,31,PRAHOVA,BERTEA,178,10,143,9,0,30,12,28,177,11,150,9,0,32,12,21,Grădinița de Copii nr. 2,,Bertea,45.2333,25.8567
333,31,PRAHOVA,BLEJOI,264,51,101,44,1,35,41,62,256,50,107,45,1,43,36,58,"Școala Gimnazială „Radu Tudoran” Blejoi, Sat Blejoi nr. 510",,Blejoi,44.995,26.0086
334,31,PRAHOVA,BLEJOI,316,70,80,38,2,48,31,60,317,74,78,38,1,44,32,61,"Grădinița cu Program Normal Blejoi, Sat Blejoi nr. 511",,Blejoi,44.9952,26.0088
509,31,PRAHOVA,POIANA CÂMPINA,113,14,209,18,1,18,13,23,114,15,214,17,0,19,13,18,Căminul Cultural Bobolia,Nr. 264,Bobolia,45.0943,25.7438
515,31,PRAHOVA,POSEŞTI,149,8,20,14,0,27,6,20,148,6,22,14,1,29,9,19,Căminul Cultural din Satul Poseștii-Pământeni,Nr. 9,Bodești,45.2733,26.1453
338,31,PRAHOVA,BOLDEŞTI-GRADIŞTEA,97,5,103,5,0,33,5,11,101,3,100,6,0,33,4,8,Cămin Cultural Boldești,Nr. 26,Boldești,44.8666,26.5498
197,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,199,39,64,25,1,39,22,44,207,32,56,29,2,42,22,44,Școala Gimnazială „Mihai Viteazul”,,Boldești-Scăeni,45.029,26.0345
198,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,254,34,78,33,1,42,17,41,258,38,78,33,0,40,17,35,Școala Gimnazială „Mihai Viteazul”,,Boldești-Scăeni,45.029,26.0345
199,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,247,39,78,35,0,31,21,49,245,39,77,36,0,39,27,41,Școala Gimnazială „Mihai Viteazul”,,Boldești-Scăeni,45.029,26.0345
200,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,191,27,66,52,1,18,22,63,206,28,65,60,1,18,20,44,Grădinița cu Program Normal nr. 1,,Boldești-Scăeni,45.0407,26.0351
201,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,173,18,68,28,0,27,11,35,165,17,68,30,0,30,14,37,Școala Gimnazială nr. 2,,Boldești-Scăeni,45.0165,26.038
202,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,184,35,72,27,1,37,25,48,179,32,78,26,0,44,23,45,Școala Gimnazială nr. 2,,Boldești-Scăeni,45.008,26.0267
203,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,166,32,59,27,1,23,17,40,163,33,54,32,0,23,20,42,Casa de Cultură „Mihai Eminescu”,,Boldești-Scăeni,45.0161,26.0258
204,31,PRAHOVA,ORAŞ BOLDEŞTI-SCĂENI,168,32,54,19,1,28,9,37,172,32,52,20,0,33,13,31,Liceul Tehnologic „Teodor Diamant”,,Boldești-Scăeni,45.0115,26.0293
545,31,PRAHOVA,SCORŢENI,152,21,88,17,1,154,8,74,148,23,99,16,0,151,7,72,Grădinița Bordenii Mari,Nr. 64,Bordenii Mari,45.0912,25.8694
341,31,PRAHOVA,BRAZI,63,5,69,56,1,10,7,19,60,7,72,46,0,13,11,20,Sala de Festivități a Primăriei Comunei Brazi,Str. Teilor nr. 45,Brazii de Jos,44.8495,26.0234
342,31,PRAHOVA,BRAZI,140,17,175,51,0,22,7,23,135,17,181,44,0,27,8,20,Școala Gimnazială Brazi,Str. Lalelelor nr. 6,Brazii de Sus,44.8539,26.0196
345,31,PRAHOVA,BRAZI,69,6,23,12,0,26,9,12,69,8,27,8,0,25,9,11,Fostul Sediu al Gradinței de Copii din Colonia Brazi,"Str. Trandafirilor nr. 51, Bloc A3",Brazii de Sus,44.8807,26.0201
207,31,PRAHOVA,ORAŞ BREAZA,174,30,56,25,0,50,25,34,177,29,51,29,0,48,24,33,Școala Gimnazială Breaza de Jos,Str. Libertății (Str. V. I. Lenin) nr. 14,Breaza de Jos,45.1709,25.6744
208,31,PRAHOVA,ORAŞ BREAZA,172,57,55,24,1,45,14,27,166,54,54,26,1,51,14,28,Școala Gimnazială Breaza de Jos,Str. Libertății (Str. V. I. Lenin) nr. 14,Breaza de Jos,45.1709,25.6744
209,31,PRAHOVA,ORAŞ BREAZA,249,50,70,32,1,75,19,34,253,54,66,34,0,74,19,30,Centrul Cultural „Ion Manolescu”,Nr. 82,Breaza de Jos,45.1806,25.6692
210,31,PRAHOVA,ORAŞ BREAZA,211,59,98,48,1,46,16,39,210,60,101,45,1,53,12,33,Centrul Cultural „Ion Manolescu”,Nr. 82,Breaza de Jos,45.1806,25.6692
211,31,PRAHOVA,ORAŞ BREAZA,303,46,100,33,2,45,15,40,313,47,103,27,1,47,9,34,Liceul Teoretic „Aurel Vlaicu” Breaza,Str. Republicii nr. 94A,Breaza de Sus,45.1825,25.6666
212,31,PRAHOVA,ORAŞ BREAZA,193,35,56,33,0,44,12,26,198,37,55,31,0,45,9,24,Liceul Teoretic „Aurel Vlaicu” Breaza,Str. Republicii nr. 94A,Breaza de Sus,45.1825,25.6666
213,31,PRAHOVA,ORAŞ BREAZA,197,25,41,28,0,33,17,34,197,23,45,28,0,35,12,30,Grădinița cu Program Prelungit și Program Normal „Castelul Fermecat”,Fundătura Liliacului nr. 21,Breaza de Sus,45.1811,25.6638
214,31,PRAHOVA,ORAŞ BREAZA,244,79,94,42,0,52,20,46,243,80,93,41,0,50,24,46,Școala Gimnazială „Constantin Brâncoveanu” Breaza,Str. Republicii nr. 214,Breaza de Sus,45.1962,25.6567
349,31,PRAHOVA,BREBU,252,33,199,26,0,18,19,33,249,33,203,29,0,24,17,26,"Școala Gimnazială Matei Basarab, Școală Primară Structură nr. 2, Sat Brebu Megieșesc nr. 53",,Brebu Megieșesc,45.1677,25.7727
350,31,PRAHOVA,BREBU,153,18,186,12,0,21,11,31,154,16,186,13,1,23,8,26,"Școala Gimnazială Matei Basarab, Școală Primară Structură, Sat Brebu Megieșesc nr. 278",,Brebu Megieșesc,45.1886,25.761
347,31,PRAHOVA,BREBU,131,26,155,12,0,22,5,11,129,27,148,14,0,25,10,16,"Școala Gimnazială Matei Basarab Corp B, Sat Brebu Mînăstirei nr. 803",,Brebu Mânăstirei,45.1811,25.767
348,31,PRAHOVA,BREBU,198,26,215,22,0,22,12,39,193,29,214,22,0,26,15,39,"Școala Gimnazială Matei Basarab Corp A, Sat Brebu Mînăstirei nr. 799",,Brebu Mânăstirei,45.1811,25.7696
