id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
264,32,SATU MARE,POMI,41,0,4,2,1,2,1,2,39,1,3,2,1,3,1,3,Camin Cultural,Nr. 50,Aciua,47.6806,23.3646
119,32,SATU MARE,ACÎŞ,82,4,112,3,213,10,3,24,76,4,128,5,216,8,9,12,Primăria Comunei Acâș,,Acâș,47.5389,22.7844
97,32,SATU MARE,ORAŞ LIVADA,14,1,10,1,177,11,0,3,15,0,9,1,182,12,0,3,Școala Primară Adrian,Nr. 99,Adrian,47.9036,23.1251
168,32,SATU MARE,CĂUAŞ,14,0,2,6,12,7,0,2,12,0,3,6,12,8,0,2,Căminul Cultural,Nr. 67,Ady Endre,47.5814,22.6152
122,32,SATU MARE,AGRIŞ,21,0,8,1,349,1,2,5,23,0,8,3,346,1,2,6,Primăria Agris,Nr. 68,Agriș,47.8817,23.0049
123,32,SATU MARE,AGRIŞ,29,0,11,3,7,14,3,5,27,0,11,3,6,14,4,6,Grădinița cu Program Normal Agrișul Nou,Nr. 65,Agriș,47.8921,22.9844
309,32,SATU MARE,TÎRŞOLŢ,10,3,37,3,1,0,10,13,11,2,40,2,1,0,9,12,Școala Gimnazială Aliceni,Nr. 89,Aliceni,47.9637,23.3062
251,32,SATU MARE,PĂULEŞTI,76,9,30,3,63,15,8,14,74,10,33,2,64,10,10,17,Școala Generală Amați,Nr. 265,Amați,47.7434,22.9174
252,32,SATU MARE,PĂULEŞTI,41,6,24,1,224,0,5,8,39,6,27,1,219,0,5,9,Școala Soltesz Janos Ambud,Nr. 131,Ambud,47.7704,22.9408
125,32,SATU MARE,ANDRID,70,0,30,4,233,75,7,15,72,0,31,5,234,78,7,11,Școala Gimnazială Andrid,Nr. 181,Andrid,47.515,22.3425
128,32,SATU MARE,APA,125,6,101,6,84,23,0,4,124,6,95,5,86,26,3,11,Centru Cultural „Emil Matei” Apa,Nr. 444,Apa,47.7625,23.1981
129,32,SATU MARE,APA,146,7,61,4,36,24,6,16,152,8,70,2,35,22,9,17,Școala Gimnazială „Vasile Lucaciu” Apa,Nr. 43,Apa,47.7632,23.1937
187,32,SATU MARE,CULCIU,25,2,9,1,45,2,0,1,24,2,7,1,47,2,2,3,Gradinița Apateu,Nr. 101,Apateu,47.7752,22.9923
89,32,SATU MARE,ORAŞ ARDUD,142,18,158,18,81,16,12,33,140,25,163,18,81,14,14,25,Liceul Tehnologic,Str. Mihai Viteazu nr. 2/a,Ardud,47.6453,22.8916
90,32,SATU MARE,ORAŞ ARDUD,82,2,91,10,256,4,8,28,83,2,103,7,257,4,5,14,Biblioteca Ardud,Str. Ștefan cel Mare nr. 76,Ardud,47.6381,22.8865
198,32,SATU MARE,DOROLŢ,9,0,4,2,146,1,1,4,8,0,3,2,152,1,1,4,Camin Cultural Atea,Nr. FN,Atea,47.8703,22.7903
91,32,SATU MARE,ORAŞ ARDUD,84,4,61,3,5,6,4,12,88,3,57,3,7,4,5,10,Școala Generală Baba Novac,Str. Doamna Stanca nr. 2,Baba Novac,47.6504,22.7921
150,32,SATU MARE,BOGDAND,83,2,64,6,5,8,9,13,87,0,64,8,5,7,6,13,Școala cu Clasele I-VIII,Nr. 346,Babța,47.4582,22.9416
283,32,SATU MARE,SĂUCA,45,0,12,17,84,4,1,5,46,2,11,18,93,3,1,2,Școala cu Clasele I-VIII Becheni,Nr. 102,Becheni,47.452,22.446
134,32,SATU MARE,BELTIUG,71,3,141,5,84,10,11,108,69,5,209,7,102,9,10,19,Școala Gimnazială Beltiug,Nr. 617,Beltiug,47.5471,22.8424
219,32,SATU MARE,LAZURI,6,0,7,3,205,3,1,4,8,0,6,2,204,3,1,1,Școala cu Clasele I-IV Bercu,,Bercu,47.9156,22.885
241,32,SATU MARE,ODOREU,20,1,3,2,22,1,2,3,20,1,3,1,23,1,2,3,Casa de Tip Familial „Iris”,Nr. 109,Berindan,47.7849,23.0106
140,32,SATU MARE,BERVENI,20,3,7,1,590,12,2,4,17,3,8,1,595,14,2,4,Școala Generală Berveni,Nr. 117,Berveni,47.755,22.4717
