id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
207,34,SIBIU,ORAŞ SĂLIŞTE,29,5,36,6,0,4,7,13,31,3,36,4,0,3,8,16,Cămin Cultural Aciliu,Nr. 274,Aciliu,45.8291,23.8748
148,34,SIBIU,ORAŞ AGNITA,91,23,106,9,4,13,20,46,87,23,110,10,5,13,19,42,Școala Gimnazială G.D.Teutsch,Str. Mihai Viteazu nr. 83,Agnita,45.9753,24.6139
149,34,SIBIU,ORAŞ AGNITA,124,31,135,23,8,19,18,41,121,36,134,22,8,24,23,40,Școala Gimnazială G.D.Teutsch,Piața G. D. Teutsch nr. 1,Agnita,45.9733,24.6234
150,34,SIBIU,ORAŞ AGNITA,80,18,110,12,6,20,9,24,81,21,106,15,8,19,9,20,Grădinița cu Program Prelungit,Str. Fabricii nr. 44,Agnita,45.9778,24.6167
151,34,SIBIU,ORAŞ AGNITA,120,22,130,12,4,14,11,33,115,25,129,16,5,10,11,33,Casa Seniorilor,Str. Mihai Viteazu nr. 9,Agnita,45.9755,24.6202
152,34,SIBIU,ORAŞ AGNITA,73,20,89,16,2,12,10,19,76,22,87,15,2,13,9,19,Colegiul Tehnic A.T. Laurean,Str. Școlii (D) nr. 2,Agnita,45.975,24.6288
153,34,SIBIU,ORAŞ AGNITA,85,21,106,14,3,20,12,20,80,21,104,16,4,22,15,26,Casa de Cultură „Ilarion Cocișiu”,Str. Școlii (D) nr. 1B,Agnita,45.9754,24.6282
154,34,SIBIU,ORAŞ AGNITA,113,30,105,20,7,15,33,58,108,30,112,22,7,13,39,55,Grădinița cu Program Prelungit nr. 2,Str. Horea nr. 38,Agnita,45.9789,24.6266
227,34,SIBIU,AXENTE SEVER,84,25,116,4,1,19,6,12,81,26,113,3,1,22,10,16,Cămin Cultural,,Agârbiciu,46.067,24.1929
214,34,SIBIU,ALMA,121,5,136,4,65,4,4,11,124,5,132,4,60,5,5,18,Căminul Cultural Alma,Nr. 228,Alma,46.2138,24.4802
303,34,SIBIU,MOŞNA,55,3,26,1,1,0,1,7,51,5,24,1,0,1,3,10,Grădinița cu Program Normal Alma Vii,Nr. 121,Alma Vii,46.0478,24.4311
287,34,SIBIU,LOAMNEŞ,137,8,54,4,2,4,2,13,142,9,47,6,1,4,1,8,Cămin Cultural Alămor,Nr. 331,Alămor,45.9289,23.9925
217,34,SIBIU,ALŢINA,316,12,124,2,1,5,3,12,321,11,127,3,1,3,3,7,Sediu Primăria,,Alțina,45.9284,24.4627
206,34,SIBIU,ORAŞ SĂLIŞTE,29,3,61,5,0,3,4,9,29,3,60,5,0,2,4,13,Școala Primară Amnaș,Nr. 363,Amnaș,45.8457,23.8962
220,34,SIBIU,APOLDU DE JOS,156,17,184,7,0,9,4,15,156,16,185,5,0,9,6,16,Cămin Cultural Apoldu de Jos,Nr. 77,Apoldu de Jos,45.8796,23.8475
192,34,SIBIU,ORAŞ MIERCUREA SIBIULUI,62,15,115,8,1,7,1,20,68,20,120,7,0,6,4,9,Camin Cultural,Nr. 232,Apoldu de Sus,45.8508,23.8242
239,34,SIBIU,BÎRGHIŞ,24,4,25,1,1,2,3,5,26,6,22,1,1,2,2,4,Școala Primară Apoș,Nr. fără număr,Apoș,46.0282,24.5521
288,34,SIBIU,LOAMNEŞ,51,4,44,0,0,5,1,5,54,4,42,0,0,3,0,6,Școala Primară Armeni,Nr. 242,Armeni,45.9687,23.9751
222,34,SIBIU,ARPAŞU DE JOS,87,12,136,29,0,1,2,12,90,14,136,21,0,5,3,10,Primăria Comunei Arpasu de Jos,Nr. 214,Arpașu de Jos,45.7791,24.6212
223,34,SIBIU,ARPAŞU DE JOS,74,13,219,17,4,4,6,8,72,14,206,17,4,5,9,18,Școala Gimnazială „Aurel Popa”,Nr. 13,Arpașu de Sus,45.7352,24.6176
157,34,SIBIU,ORAŞ AVRIG,113,22,110,26,1,6,12,41,112,25,112,27,1,8,11,39,Grădinița nr. 3 Program Prelungit,Str. Samuel Brukenthal nr. 149,Avrig,45.7243,24.3926
158,34,SIBIU,ORAŞ AVRIG,77,39,207,62,1,17,20,45,84,47,215,58,1,21,12,23,Școala Gimnazială Avrig,Str. Lazăr Gheorghe nr. 37,Avrig,45.7287,24.3766
159,34,SIBIU,ORAŞ AVRIG,97,45,231,38,1,7,25,41,93,48,237,31,2,10,21,36,Școala Gimnazială Avrig,Str. Lazăr Gheorghe nr. 37,Avrig,45.7287,24.3766
160,34,SIBIU,ORAŞ AVRIG,102,36,206,34,3,10,25,53,108,44,206,37,2,12,16,40,Grădinița nr. 1 Program Normal,Str. Samuel Brukenthal nr. 41,Avrig,45.7248,24.3805
161,34,SIBIU,ORAŞ AVRIG,111,39,168,29,3,7,11,23,114,35,169,26,3,8,5,18,"Liceul „Gheorghe Lazăr”, Avrig",Str. Horea nr. 15,Avrig,45.7274,24.3825
162,34,SIBIU,ORAŞ AVRIG,138,52,166,41,5,18,19,44,143,50,172,38,4,17,8,36,"Liceul „Gheorghe Lazăr”, Avrig",Str. Horea nr. 15,Avrig,45.7274,24.3825
229,34,SIBIU,AXENTE SEVER,112,19,107,11,1,11,2,18,110,23,104,13,2,11,5,19,Școala Gimnazială Axente Sever,Nr. 317,Axente Sever,46.0926,24.2143
230,34,SIBIU,AXENTE SEVER,80,18,112,10,1,4,2,14,82,19,109,9,1,6,4,16,Sala de Festivități,Nr. 301,Axente Sever,46.0907,24.2128
225,34,SIBIU,AŢEL,86,20,144,13,1,81,8,20,87,19,145,14,2,83,6,17,Primăria Atel,Nr. 388,Ațel,46.1572,24.4666
231,34,SIBIU,BAZNA,103,17,148,8,9,12,6,17,104,17,138,10,10,15,7,23,Primăria Bazna,Nr. 500,Bazna,46.201,24.2803
218,34,SIBIU,ALŢINA,54,0,18,1,2,4,3,6,50,0,20,1,2,2,5,8,Fost Sediu Cap,,Benești,45.9559,24.5006
234,34,SIBIU,BIERTAN,132,12,223,3,6,6,2,15,131,14,225,6,5,5,1,13,Primăria Comunei Biertan,Nr. 19,Biertan,46.136,24.5202
245,34,SIBIU,BLĂJEL,178,8,314,12,33,10,4,17,179,13,314,10,30,11,3,19,Căminul Cultural Blăjel,Str. Tudor Vladimirescu nr. 70,Blăjel,46.2113,24.3242
344,34,SIBIU,ŞEICA MARE,26,5,39,2,15,4,3,8,27,3,41,3,13,5,2,7,Școala Primară Boarta,Nr. f.nr.,Boarta,46.0106,24.1946
313,34,SIBIU,PĂUCA,67,1,142,0,0,3,9,21,72,1,142,6,0,3,5,11,Școala Gimnazială Bogatu-Român,Nr. 130,Bogatu Român,45.9907,23.9337
232,34,SIBIU,BAZNA,60,5,285,10,3,3,5,15,58,3,273,12,3,2,5,20,Școala Gimnazială Boian,Nr. FN,Boian,46.203,24.2279
246,34,SIBIU,BOIŢA,125,21,177,4,0,5,3,12,125,32,158,13,0,5,2,10,Primăria Comunei Boița,Str. Traian nr. 263,Boița,45.6334,24.2589
165,34,SIBIU,ORAŞ AVRIG,52,18,136,6,0,7,4,12,55,18,132,7,0,10,1,11,Școala Gimnazială Bradu,,Bradu,45.7212,24.3267
247,34,SIBIU,BRATEIU,58,4,124,23,1,4,2,15,59,3,133,20,2,6,0,10,Căminul Cultural Brateiu,Nr. 31,Brateiu,46.174,24.4226
248,34,SIBIU,BRATEIU,62,12,139,23,3,7,5,22,63,12,141,22,3,8,4,15,Școala Gimnazială Brateiu,Nr. 68,Brateiu,46.1691,24.423
314,34,SIBIU,PĂUCA,59,1,94,0,0,3,5,7,61,2,97,3,0,3,6,7,Școala Primară Broșteni,Nr. 70,Broșteni,46.0311,23.9523
253,34,SIBIU,BRUIU,63,1,39,3,0,12,1,12,62,3,34,4,0,13,0,12,Primăria Bruiu,Nr. 19,Bruiu,45.8752,24.7019
250,34,SIBIU,BRĂDENI,49,4,154,3,2,4,9,25,56,3,161,3,2,3,6,14,Sala Mare-Primărie,Nr. 31,Brădeni,46.0839,24.8312
345,34,SIBIU,ŞEICA MARE,20,1,49,3,7,4,1,10,17,5,49,2,7,5,2,10,Școala Primară Buia,Nr. f.nr.,Buia,45.9739,24.2765
355,34,SIBIU,ŞELIMBĂR,34,9,63,7,0,3,0,2,31,10,63,7,0,2,2,10,Cămin Cultural Bungrad,Nr. 18,Bungard,45.7758,24.2207
249,34,SIBIU,BRATEIU,54,1,149,24,1,4,0,7,53,2,151,28,1,4,1,6,Școala Gimnazială Buzd,Nr. 35,Buzd,46.1364,24.4136
238,34,SIBIU,BÎRGHIŞ,49,8,155,7,8,4,6,16,45,4,159,7,12,6,8,15,Grădinița cu Program Normal Bîrghiș,Nr. 75,Bârghiș,45.9887,24.537
333,34,SIBIU,ROŞIA,33,2,51,8,0,4,3,10,30,4,52,6,1,4,4,9,Școala Gimnazială Cașolț,Nr. 145,Cașolț,45.778,24.2827
297,34,SIBIU,MICĂSASA,25,0,8,3,1,1,0,5,23,1,10,3,1,1,0,6,Dispensarul Medical Chesler,Nr. 136,Chesler,46.1428,24.1866
255,34,SIBIU,CHIRPĂR,155,4,143,2,1,4,2,7,144,5,150,1,1,3,5,11,Școala Gimnazială Chirpăr,Nr. 46,Chirpăr,45.8939,24.597
169,34,SIBIU,ORAŞ CISNĂDIE,142,63,196,21,2,13,18,48,145,61,185,34,4,20,14,41,Grădinița cu Program Prelungit nr. 7,Piața Nouă nr. 12,Cisnădie,45.7102,24.1376
170,34,SIBIU,ORAŞ CISNĂDIE,146,49,171,32,0,13,11,35,144,52,163,40,1,14,14,36,Clubul Copiilor Cisnădie,Str. Măgurii nr. 93,Cisnădie,45.708,24.1403
171,34,SIBIU,ORAŞ CISNĂDIE,127,45,195,22,4,18,10,43,125,50,187,28,3,20,15,42,Grădinița cu Program Prelungit nr. 6,Str. Stejarului nr. F.N,Cisnădie,45.7104,24.1415
172,34,SIBIU,ORAŞ CISNĂDIE,149,81,185,22,2,15,14,45,140,81,187,32,2,19,16,43,Școala Gimnazială nr. 3 Cisnădie,Str. Măgurii nr. 63,Cisnădie,45.7092,24.1437
173,34,SIBIU,ORAŞ CISNĂDIE,163,45,191,25,4,11,11,45,165,50,184,26,3,14,8,37,Liceul Teoretic „Gustav Gundisch” Cisnădie,Str. Măgurii nr. 5,Cisnădie,45.7123,24.15
174,34,SIBIU,ORAŞ CISNĂDIE,127,68,183,30,2,26,14,59,120,76,170,40,1,32,11,53,Grădinița cu Program Normal nr. 3,Str. Unirii (Str. 6 Martie) nr. 6,Cisnădie,45.7116,24.1523
175,34,SIBIU,ORAŞ CISNĂDIE,118,74,187,27,2,23,22,67,118,74,184,39,3,21,26,68,Școala Gimnazială nr. 2 Cisnădie,Str. Țesătorilor nr. 47,Cisnădie,45.7148,24.1456
176,34,SIBIU,ORAŞ CISNĂDIE,89,33,150,27,3,13,10,32,85,37,144,33,2,15,9,30,Liceul Tehnologic Cisnădie,Str. Târgului (Str. Tîrgului) nr. 14,Cisnădie,45.7134,24.1579
177,34,SIBIU,ORAŞ CISNĂDIE,79,24,121,15,2,8,5,27,79,31,120,12,1,11,5,21,Liceul Tehnologic Cisnădie,Str. Târgului (Str. Tîrgului) nr. 14,Cisnădie,45.7134,24.1579
178,34,SIBIU,ORAŞ CISNĂDIE,133,216,230,30,2,25,17,57,129,216,239,32,2,26,18,43,Grădinița cu Program Normal nr. 1,Str. Șelimbărului nr. 1,Cisnădie,45.7182,24.1564
179,34,SIBIU,ORAŞ CISNĂDIE,93,53,128,17,2,9,7,33,97,53,125,22,2,10,7,25,Grădinița cu Program Normal nr. 1,Str. Șelimbărului nr. 1,Cisnădie,45.7182,24.1564
168,34,SIBIU,ORAŞ CISNĂDIE,25,37,58,11,0,15,7,27,25,43,56,14,1,14,6,17,Grădinița cu Program Normal Cisnădioara,,Cisnădioara,45.7045,24.1106
212,34,SIBIU,ORAŞ TĂLMACIU,26,3,34,2,2,2,0,4,27,3,34,2,1,2,2,7,Liceul Tehnologic/Școala Colonie Talmaciu Ii,Nr. 18,Colonia Tălmaciu,45.6885,24.2524
323,34,SIBIU,PORUMBACU DE JOS,11,20,15,3,0,3,1,7,15,19,15,2,0,3,1,5,Căminul Cultural Colun,Nr. 40,Colun,45.7799,24.5048
236,34,SIBIU,BIERTAN,96,4,67,1,1,1,1,5,96,4,66,1,1,1,1,6,Școala Primară Copsa Mare,Nr. 141,Copșa Mare,46.1317,24.5487
180,34,SIBIU,ORAŞ COPŞA MICĂ,120,6,102,4,2,7,7,14,121,7,100,2,2,9,9,15,"Școala Gimnazială Copșa Mică, Strada Colonia Laborator nr. 45",Colonia Laborator nr. 45,Copșa Mică,46.1059,24.2266
181,34,SIBIU,ORAŞ COPŞA MICĂ,118,26,165,5,3,7,5,16,118,26,157,8,4,11,4,15,"Liceul Tehnologic „Nicolae Teclu” Copșa Mică, Strada Șoseaua Sibiului nr. 61",Șoseaua Sibiului (Str. Chimiștilor) nr. 61,Copșa Mică,46.11,24.2259
182,34,SIBIU,ORAŞ COPŞA MICĂ,82,12,91,6,68,3,1,7,78,10,90,5,68,0,2,19,"Școala Gimnazială nr. 1 Copșa Mică, Strada Șoseaua Mediașului nr. 93",Șoseaua Mediașului (Șoseaua Colectiviștilor) nr. 93,Copșa Mică,46.1179,24.2559
183,34,SIBIU,ORAŞ COPŞA MICĂ,31,5,49,1,2,0,2,7,34,6,47,1,1,0,2,4,"Școala Primară nr. 2 Copșa Mică, Strada Târnăvioara nr. 76",Str. Târnăvioara nr. 76,Copșa Mică,46.1226,24.2469
334,34,SIBIU,ROŞIA,76,24,43,2,4,14,3,14,74,25,43,3,1,14,3,15,Sediul Administrativ Dispensar,Nr. 149,Cornățel,45.7973,24.3536
155,34,SIBIU,ORAŞ AGNITA,68,3,44,6,0,5,3,6,66,4,42,6,0,7,2,6,Școala Gimnazială Coveș,Nr. 172,Coveș,45.98,24.5714
261,34,SIBIU,CRISTIAN,49,11,113,19,0,8,4,16,49,9,120,21,0,8,7,15,Primăria Comunei Cristian,Str. I nr. 1,Cristian,45.7804,24.0283
262,34,SIBIU,CRISTIAN,68,68,206,23,4,10,2,23,62,64,208,24,4,14,2,25,Grădinița cu Program Prelungit Cristian,Str. XI nr. 30,Cristian,45.7865,24.0249
263,34,SIBIU,CRISTIAN,67,43,214,18,0,16,11,25,61,51,204,17,0,20,12,24,"Școala Gimnazială, Cristian",Str. V nr. 8,Cristian,45.7839,24.028
266,34,SIBIU,DÎRLOS,14,1,152,3,3,3,2,12,15,5,144,4,4,3,3,13,Școala Gimnazială Curciu,Nr. 64,Curciu,46.2444,24.4058
259,34,SIBIU,CÎRŢA,141,10,74,8,0,8,7,23,141,17,76,5,1,6,6,15,Primăria Cirta,Nr. 104,Cârța,45.7905,24.5659
260,34,SIBIU,CÎRŢIŞOARA,211,7,115,9,2,8,4,19,205,10,113,9,1,9,3,22,Primăria Comunei Cîrțișoara,Nr. 55,Cârțișoara,45.7263,24.58
332,34,SIBIU,ROŞIA,28,3,135,7,0,14,3,10,31,2,133,7,0,14,4,12,Școala Gimaziala Daia,Nr. 177,Daia,45.8014,24.282
294,34,SIBIU,MERGHINDEAL,143,2,46,1,1,1,3,10,145,2,48,1,1,1,1,5,Școala Primară Dealu Frumos,Nr. 314,Dealu Frumos,45.9887,24.6984
193,34,SIBIU,ORAŞ MIERCUREA SIBIULUI,53,6,24,3,2,8,6,12,55,7,24,2,2,6,4,10,Camin Cultural,Nr. 62,Dobârca,45.8501,23.7731
184,34,SIBIU,ORAŞ DUMBRĂVENI,135,44,144,12,38,19,9,27,135,42,147,12,39,14,13,30,Primăria Orașului Dumbrăveni,Bulevardul Mihail Eminescu (Bulevardul V. I. Lenin) nr. 6,Dumbrăveni,46.2254,24.5754
185,34,SIBIU,ORAŞ DUMBRĂVENI,149,19,140,27,31,13,7,16,149,23,142,31,31,13,5,10,Liceul Teoretic Dumbrăveni,Str. Cuza Vodă nr. 5-7,Dumbrăveni,46.2262,24.5786
186,34,SIBIU,ORAŞ DUMBRĂVENI,130,14,69,13,21,3,6,13,134,12,72,14,20,2,8,13,Liceul Tehnologic „Timotei Cipariu” Dumbrăveni,Piața Timotei Cipariu (Str. Piața Republicii) nr. 9,Dumbrăveni,46.224,24.5773
187,34,SIBIU,ORAŞ DUMBRĂVENI,125,17,123,9,22,14,9,29,121,20,117,11,22,16,11,28,Centrul Școlar Pentru Educație Incluzivă Dumbrăveni,Str. Tudor Vladimirescu nr. 32,Dumbrăveni,46.2237,24.5727
226,34,SIBIU,AŢEL,19,5,25,2,3,1,1,9,19,6,25,1,3,3,1,8,Cladirea Primăriei (fosta Școală),Nr. 107,Dupuș,46.1519,24.4968
264,34,SIBIU,DÎRLOS,59,7,104,8,7,13,5,20,60,9,97,7,6,14,9,24,Cămin Cultural Dîrlos,Nr. 590,Dârlos,46.1871,24.4079
265,34,SIBIU,DÎRLOS,75,8,97,15,3,15,11,33,83,7,105,15,2,14,8,25,Școala Gimnazială „Ioan Moraru” Dîrlos,Nr. 439,Dârlos,46.1908,24.4128
189,34,SIBIU,ORAŞ DUMBRĂVENI,77,4,54,6,5,6,2,12,74,4,58,8,4,4,3,9,Școala Primară Ernea,,Ernea,46.2347,24.5281
282,34,SIBIU,LASLEA,17,1,16,1,0,3,2,4,17,1,16,1,0,3,3,5,Cămin Cultural Florești,Nr. 81,Florești,46.1595,24.6609
307,34,SIBIU,NOCRICH,26,0,136,1,0,1,2,5,24,0,129,1,0,1,1,8,Școala Primară Fofeldea,Nr. 189,Fofeldea,45.8358,24.4982
203,34,SIBIU,ORAŞ SĂLIŞTE,19,0,40,0,0,0,2,4,17,0,40,0,0,2,2,5,Cămin Cultural Fântânele,Nr. 49,Fântânele,45.7556,23.9267
200,34,SIBIU,ORAŞ SĂLIŞTE,34,2,54,7,0,6,6,9,29,3,51,6,0,9,6,12,Muzeul Etnografic „Maria Costachescu”,Nr. 172,Galeș,45.7981,23.862
308,34,SIBIU,NOCRICH,20,4,21,1,0,1,0,1,18,4,20,1,0,1,1,2,Fosta Școala Ghijasa de Jos,Nr. 66,Ghijasa de Jos,45.9197,24.3916
219,34,SIBIU,ALŢINA,35,1,15,6,2,1,4,8,33,2,13,8,2,2,3,8,Fost Sediu Cap,,Ghijasa de Sus,45.9788,24.4177
215,34,SIBIU,ALMA,71,0,25,2,2,0,1,4,69,1,21,2,1,1,2,6,Școala Primară Giacăș,Nr. 76,Giacăș,46.2437,24.4739
167,34,SIBIU,ORAŞ AVRIG,8,4,44,26,1,1,5,8,10,4,45,24,1,1,6,7,Școala Primară Glîmboaca,,Glâmboaca,45.7817,24.4606
268,34,SIBIU,GURA RÎULUI,134,40,384,17,0,18,11,24,144,40,385,12,0,21,13,21,Școala Gimnazială „Aurel Decei” Gura Râului,Nr. 70,Gura Râului,45.7296,23.9821
269,34,SIBIU,GURA RÎULUI,113,22,371,6,2,17,6,22,105,23,374,10,2,21,7,18,Grădinița cu Program Normal nr. 2 Gura Râului,Nr. 538,Gura Râului,45.7241,23.9751
358,34,SIBIU,ŞURA MARE,65,15,85,10,0,7,10,23,67,15,87,10,0,6,9,21,Căminul Cultural,Str. Cooperativei nr. 53,Hamba,45.8623,24.1932
289,34,SIBIU,LOAMNEŞ,79,3,72,6,1,3,2,9,83,3,72,6,1,2,2,8,Școala Primară Hașag,Nr. 122,Hașag,45.9782,24.0761
270,34,SIBIU,HOGHILAG,189,1,94,28,4,9,3,9,197,0,96,24,3,7,3,7,Primăria Hoghilag,Nr. 305,Hoghilag,46.2291,24.6121
306,34,SIBIU,NOCRICH,54,4,68,3,1,2,3,8,52,4,73,3,2,3,3,8,Școala Gimnazială Hosman,Nr. 328,Hosman,45.834,24.4296
273,34,SIBIU,IACOBENI,207,2,61,5,0,1,3,11,207,4,60,6,0,0,4,7,Primăria Iacobeni,Nr. 57,Iacobeni,46.0509,24.7172
147,34,SIBIU,MUNICIPIUL MEDIAŞ,55,10,228,19,2,14,3,9,52,10,227,21,2,14,4,14,Școala Gimnazială,,Ighișu Nou,46.1128,24.3453
237,34,SIBIU,BÎRGHIŞ,39,0,37,1,2,3,5,8,28,2,35,2,3,5,9,11,Cămin Cultural Ighișu Vechi,Nr. 34,Ighișu Vechi,45.9893,24.4849
292,34,SIBIU,MARPOD,16,5,60,0,0,1,3,5,17,7,57,0,0,1,3,5,Fostă Școală Generală Ilimbav,Nr. 82,Ilimbav,45.8672,24.5293
278,34,SIBIU,JINA,68,3,318,29,0,19,13,27,75,0,323,24,1,17,13,27,Primăria Comunei Jina,Nr. 1210,Jina,45.7838,23.6806
279,34,SIBIU,JINA,52,7,114,47,1,11,4,28,55,7,109,54,2,9,6,19,Școala Gimnazială Jina Băieși,Nr. 1493,Jina,45.794,23.6942
280,34,SIBIU,LASLEA,235,20,98,11,2,7,4,15,231,21,100,11,2,9,5,15,Cămin Cultural Laslea,Nr. 9,Laslea,46.2105,24.657
285,34,SIBIU,LOAMNEŞ,140,5,63,13,1,9,3,10,138,9,68,8,1,8,2,12,Cămin Cultural Loamneș,Nr. 139,Loamneș,45.9442,24.0855
290,34,SIBIU,LUDOŞ,128,6,80,1,0,19,1,5,123,7,78,8,0,13,1,6,Primăria Comunei Ludoș,Nr. 73,Ludoș,45.9252,23.9001
205,34,SIBIU,ORAŞ SĂLIŞTE,34,5,144,2,1,3,7,10,33,4,145,4,1,3,9,11,Școala Primară Mag,Nr. 120,Mag,45.8193,23.9532
291,34,SIBIU,MARPOD,40,7,205,8,1,3,6,10,39,5,208,10,1,3,5,11,Primăria Marpod,Nr. 327,Marpod,45.8715,24.494
