id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
198,35,SUCEAVA,ADÂNCATA,167,21,268,22,1,16,6,33,175,24,267,26,1,16,5,23,Școala Gimnazială Ioan Băncescu Adâncata - Corpul cu Clasele I-IV,,Adâncata,47.7356,26.2957
199,35,SUCEAVA,ADÂNCATA,148,19,166,10,1,14,12,25,149,20,163,12,3,10,10,18,Școala Gimnazială Ioan Băncescu Adâncata - Corpul cu Clasele V-VIII,,Adâncata,47.7438,26.2897
307,35,SUCEAVA,FORĂŞTI,73,2,26,7,1,6,14,21,72,6,28,5,1,5,13,18,Școala Antoceni,,Antoceni,47.3326,26.4748
202,35,SUCEAVA,ARBORE,257,13,125,30,0,35,8,38,258,12,134,27,1,33,12,33,"Școala Gimnazială nr. 1 „Luca Arbure”, Corp B",Nr. 687,Arbore,47.7303,25.9218
203,35,SUCEAVA,ARBORE,283,13,103,26,1,23,12,38,309,12,103,27,0,16,12,30,Școala Gimnazială nr. 2 Arbore,Nr. 207,Arbore,47.7407,25.9105
204,35,SUCEAVA,ARBORE,177,11,48,25,1,8,5,22,183,9,51,26,1,7,5,17,Școala Gimnazială nr. 3 Arbore,Nr. 1030,Arbore,47.7291,25.9466
400,35,SUCEAVA,MOLDOVIŢA,73,0,65,51,1,8,2,28,69,0,70,53,1,9,2,20,Școala Gimnazială Argel,,Argel,47.762,25.4689
429,35,SUCEAVA,PREUTEŞTI,259,4,46,20,1,7,7,19,256,7,45,21,1,8,7,21,Școala Gimnazială Arghira,,Arghira,47.4589,26.4619
344,35,SUCEAVA,HĂNŢEŞTI,86,4,36,2,1,2,3,7,84,2,36,2,1,3,4,7,Școala Primară Berești,,Arțari,47.7867,26.33
431,35,SUCEAVA,PREUTEŞTI,90,2,8,3,1,2,0,2,95,1,8,2,0,1,0,0,Școala Primară Bahna Arin,,Bahna Arin,47.488,26.4385
