id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
146,33,SĂLAJ,DRAGU,13,4,10,10,0,3,4,7,12,2,10,14,1,2,3,6,Școala cu Clasele I-IV nr. 100,Nr. 100,Adalin,47.0158,23.4327
226,33,SĂLAJ,MESEŞENII DE JOS,92,18,92,59,155,14,6,9,93,14,93,62,151,17,6,6,Centrul After School,Nr. 163/B,Aghireș,47.1623,23.0125
65,33,SĂLAJ,AGRIJ,126,9,93,10,1,14,6,42,146,10,117,8,1,19,8,10,Cămin Cultural Agrij,Nr. 348,Agrij,47.068,23.0973
168,33,SĂLAJ,HALMĂŞD,47,0,33,3,2,1,5,8,48,0,29,5,3,1,5,6,Școală,Nr. 52,Aleuș,47.1463,22.6289
67,33,SĂLAJ,ALMAŞU,62,5,127,10,54,10,6,35,66,8,141,14,59,12,7,12,Primăria Comunei Almașu,Nr. 144,Almașu,46.9462,23.1306
87,33,SĂLAJ,BENESAT,86,2,56,22,3,5,6,7,89,2,54,17,3,6,7,7,Școala Gimnazială „Avram Iancu”,Nr. 138,Aluniș,47.385,23.2748
112,33,SĂLAJ,COŞEIU,5,3,3,1,239,1,1,4,6,4,3,1,238,1,1,1,Școala Gimnazială Archid,Nr. 115,Archid,47.3471,23.0132
172,33,SĂLAJ,HERECLEAN,91,15,152,8,8,31,19,25,92,14,158,9,8,29,19,22,Școala Primară Badon,Nr. 63,Badon,47.2497,22.9748
177,33,SĂLAJ,HIDA,24,1,13,4,1,4,2,6,27,2,11,5,1,1,4,5,Căminul Cultural,Nr. 58,Baica,47.0746,23.2995
84,33,SĂLAJ,BĂNIŞOR,75,4,61,2,1,6,4,10,77,5,57,4,1,6,5,9,Școala Ban nr. 30,Nr. 30,Ban,47.0944,22.8067
86,33,SĂLAJ,BENESAT,38,2,58,3,10,4,1,3,37,3,59,4,11,4,2,2,Școala Primară Benesat,Nr. 112,Benesat,47.412,23.2913
270,33,SĂLAJ,SÎNMIHAIU ALMAŞULUI,34,2,3,2,1,8,3,3,34,2,3,2,1,8,3,3,Școala cu Clasele I-IV Bercea,Nr. 30,Bercea,47.0253,23.1846
165,33,SĂLAJ,GÎRBOU,28,1,14,3,0,4,2,5,26,1,15,3,0,3,4,5,Căminul Cultural,Nr. 145,Bezded,47.1563,23.4773
238,33,SĂLAJ,NUŞFALĂU,3,3,5,1,176,1,1,1,3,3,5,0,181,1,1,1,Căminul Cultural,Nr. 82,Bilghez,47.2298,22.7105
88,33,SĂLAJ,BENESAT,36,7,21,4,158,2,3,4,41,7,17,4,152,2,3,4,Școala Primară Biușa,Nr. 139,Biușa,47.423,23.2437
89,33,SĂLAJ,BOBOTA,181,17,130,61,6,18,14,18,184,19,127,58,8,21,16,17,Grădinița Bobota,Nr. 277/A,Bobota,47.382,22.7653
92,33,SĂLAJ,BOCŞA,94,10,156,5,1,16,7,12,97,15,150,7,1,14,9,12,Școala Gimnazială „Simion Bărnuțiu” Bocșa,Nr. 74,Bocșa,47.2981,22.919
173,33,SĂLAJ,HERECLEAN,25,3,29,1,6,1,1,2,21,4,28,2,6,3,1,4,Căminul Cultural Bocșița,Nr. 64,Bocșița,47.306,23.0502
98,33,SĂLAJ,BUCIUMI,48,3,41,7,1,3,8,10,51,3,42,8,1,4,8,8,Școala cu Clasele I-IV,Nr. 67/A,Bodia,47.0588,23.0649
99,33,SĂLAJ,BUCIUMI,111,5,50,8,3,11,4,8,113,7,50,7,4,11,7,8,Școala cu Clasele I-IV,Nr. 253/A,Bogdana,47.0215,23.0022
96,33,SĂLAJ,BOGHIŞ,16,3,21,1,606,3,16,21,16,5,23,4,604,4,17,18,Primăria Comunei Boghiș,Nr. 152,Boghiș,47.1554,22.7368
93,33,SĂLAJ,BOCŞA,11,0,11,2,615,2,1,6,9,1,12,1,619,1,2,4,Școala Gimnazială nr. 1 Borla,Nr. 239,Borla,47.2801,22.9373
124,33,SĂLAJ,CREACA,31,7,12,1,1,5,3,6,29,6,14,1,1,6,3,5,Școala Generală Borza,Nr. 69/A,Borza,47.2198,23.2713
97,33,SĂLAJ,BOGHIŞ,6,1,11,2,118,1,2,4,6,1,10,3,114,1,2,2,Căminul Cultural Bozieș,Nr. 105,Bozieș,47.1566,22.7135
296,33,SĂLAJ,TREZNEA,23,3,52,2,1,12,10,11,24,2,51,2,1,10,10,10,Școala Generală Bozna,Nr. 92,Bozna,47.0835,23.0934
120,33,SĂLAJ,CREACA,43,6,43,4,2,28,2,3,45,6,46,5,2,27,1,2,Școala Generală Brebi,Nr. 187/A,Brebi,47.2073,23.1948
122,33,SĂLAJ,CREACA,40,5,10,10,3,5,1,3,37,7,8,10,3,7,2,3,Școala Generală Brusturi,Nr. 31/B,Brusturi,47.1606,23.224
278,33,SĂLAJ,SURDUC,65,7,59,4,1,21,8,11,62,6,58,6,1,24,11,11,Căminul Cultural Brîglez,Nr. 115,Brâglez,47.2206,23.377
102,33,SĂLAJ,BUCIUMI,200,17,171,6,3,24,18,31,206,19,157,9,4,36,14,26,Primăria Buciumi,Nr. 124,Buciumi,47.0436,23.0486
260,33,SĂLAJ,SĂLĂŢIG,39,3,56,2,2,6,5,6,42,3,46,3,3,5,10,11,Școala Primară Bulgari,Nr. 102,Bulgari,47.3399,23.1411
258,33,SĂLAJ,RUS,18,9,12,10,1,20,2,3,16,9,14,11,2,19,2,2,Școala Primară Buzaș,Nr. 66,Buzaș,47.3068,23.5788
275,33,SĂLAJ,SOMEŞ-ODORHEI,22,4,4,1,1,7,5,5,23,2,4,1,1,6,7,7,Școala Primară Bîrsa,Nr. 54,Bârsa,47.3257,23.2062
153,33,SĂLAJ,GÎLGĂU,31,4,29,2,0,5,7,8,30,4,28,2,0,4,10,10,Școala cu Clasele I-IV,Nr. 71,Bârsău Mare,47.2718,23.6626
73,33,SĂLAJ,BĂBENI,77,7,55,45,2,25,15,19,83,7,56,39,2,20,21,21,"Corp B, Biblioteca Comunală",Nr. 268,Băbeni,47.3033,23.402
243,33,SĂLAJ,PERICEI,29,13,188,6,4,11,3,6,28,13,185,9,4,9,4,7,Școala Generală Bădăcin,Nr. 20,Bădăcin,47.2541,22.846
78,33,SĂLAJ,BĂLAN,99,11,99,8,3,16,8,13,104,9,94,5,6,17,11,12,Școala Gimnazială Bălan,Nr. 66,Bălan,47.1529,23.3065
83,33,SĂLAJ,BĂNIŞOR,125,8,94,8,1,6,8,12,133,10,83,9,2,5,8,10,Primăria Bănișor nr. 29,Nr. 29,Bănișor,47.1047,22.8377
103,33,SĂLAJ,CAMĂR,38,0,20,2,731,1,2,10,33,1,23,4,735,2,3,3,Primăria Comunei Camăr,Nr. 1,Camăr,47.2976,22.618
105,33,SĂLAJ,CARASTELEC,16,2,15,3,454,3,3,13,13,3,15,3,463,2,3,4,Căminul Cultural,Nr. 462,Carastelec,47.2993,22.6944
305,33,SĂLAJ,ZALHA,25,2,19,3,2,51,5,7,25,4,20,6,2,47,6,6,Școala cu Clasele I-IV Ceaca,Nr. 83,Ceaca,47.1967,23.5591
63,33,SĂLAJ,ORAŞ ŞIMLEU SILVANIEI,98,14,156,5,5,20,10,17,109,13,157,8,3,16,8,13,Școala Primară,Nr. 50,Cehei,47.2567,22.7731
40,33,SĂLAJ,ORAŞ CEHU SILVANIEI,87,27,65,9,399,8,9,13,85,25,63,6,405,13,12,12,Liceul Tehnologic „Gheorghe Pop de Băsești”,Str. Libertății nr. 8,Cehu Silvaniei,47.4114,23.1752
41,33,SĂLAJ,ORAŞ CEHU SILVANIEI,96,22,70,19,351,9,22,31,95,21,71,14,357,11,22,25,Școala Gimnazială „Andrei Mureșanu”,Piața Trandafirilor (Piața Gheorghe Pop de Băsești) nr. 39,Cehu Silvaniei,47.4112,23.1788
42,33,SĂLAJ,ORAŞ CEHU SILVANIEI,121,14,69,20,328,9,10,14,124,13,76,13,327,9,10,12,Piața Trandafirilor nr. 29 Clubul Copiilor,Piața Trandafirilor (Piața Gheorghe Pop de Băsești) nr. 29,Cehu Silvaniei,47.4116,23.1789
169,33,SĂLAJ,HALMĂŞD,48,4,48,3,2,4,14,17,57,6,47,2,1,5,8,11,Școala Veche,Nr. 93,Cerișa,47.1822,22.5668
164,33,SĂLAJ,GÎRBOU,40,1,13,1,0,0,1,3,41,1,14,0,0,1,1,1,Căminul Cultural Cernuc,Nr. 40,Cernuc,47.1349,23.4719
79,33,SĂLAJ,BĂLAN,148,5,72,5,0,7,3,6,145,9,71,5,0,12,3,3,Școala Primară Chechiș,Nr. 111,Chechiș,47.1742,23.3077
80,33,SĂLAJ,BĂLAN,190,2,107,0,1,13,9,11,193,4,102,0,0,14,9,10,Școala Primară „Ioanichie Druhora” Chendrea,Nr. 237,Chendrea,47.1222,23.2978
