id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
272,36,TELEORMAN,SCURTU MARE,38,1,6,16,0,2,0,2,42,0,3,20,0,0,0,1,Localul Școlii cu Clasele I-IV Albeni,,Albeni,44.3953,25.2575
321,36,TELEORMAN,VEDEA,288,1,12,2,0,18,2,8,295,1,12,2,0,15,2,7,Școala cu Clasele I-IV Albești,Nr. 71,Albești,44.0678,25.1188
1,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,411,46,140,35,2,36,29,55,401,49,145,32,2,41,28,59,Școala Ajutătoare Alexandria,Str. Libertății nr. 1,Alexandria,43.9795,25.3154
2,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,256,46,85,22,1,36,31,58,254,49,72,30,1,46,32,53,Școala Gimnazială nr. 7,Str. 1907 nr. 60 bis,Alexandria,43.9759,25.3173
3,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,252,23,62,26,0,16,20,31,259,23,56,25,0,23,15,29,Școala Gimnazială nr. 7,Str. 1907 nr. 60,Alexandria,43.9759,25.3173
4,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,332,23,57,28,2,34,24,46,339,23,59,28,2,29,20,38,Școala Gimnazială nr. 7,Str. 1907 nr. 60,Alexandria,43.9759,25.3173
5,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,320,54,86,27,0,37,29,57,326,53,89,27,0,43,23,44,Școala Gimnazială nr. 7,Str. 1907 nr. 60 bis,Alexandria,43.9759,25.3173
6,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,375,28,83,29,1,50,16,36,374,33,84,25,2,59,16,31,Liceul Tehnologic „Nicolae Bălcescu”,Str. Libertății nr. 69,Alexandria,43.9755,25.3226
7,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,283,53,80,36,0,35,11,27,281,61,72,36,0,33,13,30,Liceul Tehnologic „Nicolae Bălcescu”,Str. Libertății nr. 69,Alexandria,43.9755,25.3226
8,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,414,43,108,54,0,55,19,53,435,44,116,47,1,57,18,39,Colegiul Național „Al. D. Ghica”,Str. Viitorului nr. 78,Alexandria,43.975,25.3242
9,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,351,53,103,36,0,37,29,51,348,57,97,39,1,42,30,50,Colegiul Național „Al. D. Ghica”,Str. Viitorului nr. 78,Alexandria,43.975,25.3242
10,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,366,52,85,43,0,35,25,41,372,52,83,34,0,41,23,37,Liceul Teoretic „C. Noica”,Str. Dunării nr. 133,Alexandria,43.9715,25.3262
11,36,TELEORMAN,MUNICIPIUL ALEXANDRIA,269,42,78,27,0,33,13,31,281,40,69,28,0,32,14,32,Liceul Teoretic „C. Noica”,Str. Dunării nr. 133,Alexandria,43.9715,25.3262
