id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
467,37,TIMIȘ,MOŞNIŢA NOUĂ,68,4,78,12,1,7,7,20,70,3,79,15,1,8,7,14,Clădirea Comunei Moșnița Nouă fosta Școală Primară Albina,Str. Sebeș nr. 21,Albina,45.7154,21.373
456,37,TIMIȘ,MAŞLOC,111,8,37,20,1,7,28,46,108,9,35,19,1,10,30,47,Căminul Cultural Alios,Nr. 264,Alioș,46.0384,21.4906
315,37,TIMIȘ,BELINŢ,32,3,30,3,0,7,0,3,36,4,27,3,0,8,0,1,Grădinița cu Program Normal Babsa-Gruni,Nr. 145,Babșa,45.8087,21.7883
243,37,TIMIȘ,ORAŞ BUZIAŞ,86,17,183,19,3,21,8,111,89,15,185,12,2,18,8,119,Școala Gimnazială Bacova,Nr. 329,Bacova,45.6652,21.5506
298,37,TIMIȘ,BALINŢ,128,9,50,11,10,15,1,15,123,10,51,10,9,16,2,19,Căminul Cultural Balinț,Nr. 135,Balinț,45.813,21.8579
560,37,TIMIȘ,TOMEŞTI,18,1,22,8,1,3,1,7,21,1,21,9,1,1,0,5,Căminul Cultural Baloșești,Nr. 25,Baloșești,45.7807,22.2896
302,37,TIMIȘ,BANLOC,157,15,77,11,1,13,4,52,166,15,86,4,1,15,10,46,Primăria Banloc,Nr. 405,Banloc,45.387,21.1353
306,37,TIMIȘ,BARA,47,4,22,0,1,0,0,4,49,3,22,0,1,0,0,4,Primăria Bara,Nr. 44,Bara,45.8975,21.8824
286,37,TIMIȘ,ORAŞ RECAŞ,177,10,39,9,6,20,2,15,180,10,42,9,4,20,2,14,Școala Gimnazială Bazoș,Nr. 73,Bazoș,45.738,21.4909
345,37,TIMIȘ,BUCOVĂŢ,59,16,98,7,0,5,7,15,59,16,96,9,1,3,5,12,Căminul Cultural Bazoșu Nou,,Bazoșu Nou,45.7502,21.4208
310,37,TIMIȘ,BEBA VECHE,272,8,72,8,13,6,1,16,303,6,66,6,11,9,1,7,Căminul Cultural Beba Veche,Nr. 141,Beba Veche,46.131,20.2997
