id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
201,38,TULCEA,VALEA NUCARILOR,295,9,66,16,2,14,8,37,300,11,65,17,4,16,9,29,Căminul Cultural,Str. Parcului nr. 2,Agighiol,45.0341,28.8773
133,38,TULCEA,IZVOARELE,34,2,55,2,0,2,4,14,39,1,55,2,0,2,4,7,Școala Primară,Str. Școlii nr. 6,Alba,45.0637,28.5184
108,38,TULCEA,CIUCUROVA,8,0,21,0,1,12,2,3,7,0,23,0,0,11,2,4,Școala Primară,Str. Bisericii nr. 2,Atmagea,44.9626,28.4357
54,38,TULCEA,ORAŞ BABADAG,294,19,140,27,4,12,8,22,306,20,131,27,3,14,9,19,Grup Scolar Dimitrie Cantemir,Str. Aurel Vlaicu nr. 3,Babadag,44.8943,28.7231
55,38,TULCEA,ORAŞ BABADAG,394,24,160,45,3,8,16,49,402,25,156,47,2,11,17,43,Școala Generală nr. 1 Mircea Cel Batran,Str. Cabanei nr. 6,Babadag,44.8901,28.7262
56,38,TULCEA,ORAŞ BABADAG,303,14,143,19,2,8,4,31,309,16,140,25,2,12,8,23,Școala Generală nr. 2,Str. Republicii nr. 142,Babadag,44.8889,28.7077
57,38,TULCEA,ORAŞ BABADAG,176,5,80,7,1,2,8,23,179,7,79,12,3,0,8,17,Școala Generală nr. 3 „Constantin Brâncoveanu”,Str. Heracleea (Str. 30 Decembrie) nr. 15,Babadag,44.8919,28.727
58,38,TULCEA,ORAŞ BABADAG,111,4,59,9,2,5,1,10,117,5,58,9,1,1,1,8,Grădinița de Copii nr. 2-Veterani,Str. Republicii nr. 198,Babadag,44.888,28.7055
59,38,TULCEA,ORAŞ BABADAG,314,19,174,21,3,8,4,29,336,19,168,21,4,9,4,17,Salonul de Nunți,Str. Pavel Gheorghe (Str. 6 Martie) nr. 4,Babadag,44.8946,28.7213
75,38,TULCEA,BAIA,325,15,112,28,1,21,13,56,332,22,115,28,2,22,16,33,Școala Gimnazială Baia,Str. Republicii (Str. Incinta I.A.S.) (D) nr. 23,Baia,44.7258,28.6798
76,38,TULCEA,BAIA,184,5,34,6,0,14,6,22,190,4,32,7,0,17,6,15,Școala cu Clasele I-IV Baia,Str. Oborului nr. 17,Baia,44.7227,28.6723
126,38,TULCEA,HAMCEARCA,61,0,107,11,1,6,3,9,61,0,106,9,1,7,3,8,Școala,Nr. 90,Balabancea,45.1139,28.3929
81,38,TULCEA,BEIDAUD,55,1,37,4,0,13,2,11,56,2,43,3,1,15,4,6,Publica,Str. Primăriei,Beidaud,44.7167,28.5747
84,38,TULCEA,BEŞTEPE,228,10,55,41,4,59,26,57,228,13,60,43,3,61,28,51,Școala Gimnazială Beștepe,"Str. Tulcei (Str. Nouă, Str. Dorinței, Str. Orizont) nr. 74",Beștepe,45.0907,29.015
85,38,TULCEA,BEŞTEPE,17,0,5,4,0,3,1,5,16,0,6,5,0,3,1,4,Școala,Str. Zaton nr. 67,Băltenii de Jos,45.1202,29.0545
88,38,TULCEA,C.A. ROSETTI,26,6,25,3,2,1,2,15,31,5,25,4,2,2,3,10,Școala Gimnazială,C.A. ROSETTI Str. Păcii nr. 15,C.A. Rosetti,45.2929,29.5686
192,38,TULCEA,TOPOLOG,29,0,16,1,1,8,1,7,33,1,16,1,1,9,1,2,Școala Generală,Str. Trandafirilor nr. 3,Calfa,44.8262,28.3487
77,38,TULCEA,BAIA,59,0,48,3,0,4,1,16,58,0,48,4,0,4,2,18,Școala Primară Camena,Str. Republicii nr. 20,Camena,44.8086,28.6064
111,38,TULCEA,CRIŞAN,25,4,27,6,1,21,4,15,27,4,30,4,0,20,3,12,Școala Primară Caraorman,Str. A I-a nr. 95,Caraorman,45.0782,29.3912
89,38,TULCEA,CARCALIU,130,8,32,6,3,115,4,95,188,14,41,7,4,125,6,25,Școala Gimnazială Carcaliu,Str. Școlii nr. 1230,Carcaliu,45.1852,28.1427
90,38,TULCEA,CARCALIU,84,3,29,14,1,87,8,79,122,5,46,15,3,93,9,20,Școala Gimnazială Carcaliu,Str. Școlii nr. 1230,Carcaliu,45.1852,28.1427
92,38,TULCEA,CASIMCEA,133,10,138,20,2,2,4,20,139,12,134,28,1,5,2,11,Școala Gimnazială,Str. Principală nr. 30,Casimcea,44.7195,28.3772
118,38,TULCEA,FRECĂŢEI,228,15,54,17,2,8,9,35,229,13,58,21,2,7,13,28,Centru Multifunctional Cataloi,Str. Principală nr. 48,Cataloi,45.0977,28.7236
78,38,TULCEA,BAIA,31,1,31,4,3,4,2,10,38,1,31,3,3,4,2,6,Școala cu Clasele I-IV Caugagia,Str. Republicii nr. 12,Caugagia,44.7916,28.665
96,38,TULCEA,CEAMURLIA DE JOS,172,7,67,9,2,73,2,12,182,6,75,6,2,54,3,14,Școala Gimnzială Cemurlia de Jos,Str. Principală nr. 31,Ceamurlia de Jos,44.7432,28.724
80,38,TULCEA,BAIA,40,0,39,10,0,18,1,9,46,0,40,8,0,15,0,8,Școala Gimnazială Ceamurlia de Sus,Str. Școlii nr. 2,Ceamurlia de Sus,44.7606,28.6069
99,38,TULCEA,CEATALCHIOI,79,1,18,7,1,23,2,6,79,1,17,6,1,27,3,6,Căminul Cultural,Str. Primăverii nr. 42,Ceatalchioi,45.2866,28.789
193,38,TULCEA,TOPOLOG,53,0,14,4,0,3,3,7,50,1,14,5,0,3,3,9,Școala Generală,Str. Magnoliei nr. 25,Cerbu,44.8282,28.4249
102,38,TULCEA,CERNA,403,10,52,28,3,28,13,41,399,16,54,30,6,29,8,31,Școala Gimnazială „Panait Cerna”,Str. Școlii nr. 1,Cerna,45.0768,28.2982
105,38,TULCEA,CHILIA VECHE,170,12,22,21,2,6,7,21,162,14,25,23,2,5,14,24,Camin Cultural,Nr. 68,Chilia Veche,45.4236,29.2865
106,38,TULCEA,CHILIA VECHE,144,5,21,8,0,4,5,26,152,5,23,8,0,6,4,15,Camin Cultural,Nr. 68,Chilia Veche,45.4236,29.2865
107,38,TULCEA,CIUCUROVA,122,6,190,11,2,37,2,44,128,6,222,13,2,41,3,17,Școala Gimnazială,Str. Principală nr. 168,Ciucurova,44.9145,28.4822
91,38,TULCEA,CASIMCEA,21,0,7,2,0,2,1,3,22,0,6,2,0,2,1,3,Școala,Str. Școlii nr. 3,Cișmeaua Nouă,44.801,28.3333
128,38,TULCEA,HORIA,47,0,3,1,0,1,2,4,47,0,4,1,0,1,2,3,Școala cu Clasele I-IV,Nr. 1,Cloșca,45.0099,28.4757
157,38,TULCEA,MURIGHIOL,20,2,12,1,1,10,2,7,21,2,16,1,0,9,1,4,Școala cu Clasele I-IV Colina,Str. Câmpiei nr. 2,Colina,45.0241,29.0334
93,38,TULCEA,CASIMCEA,32,25,6,32,0,14,4,10,39,12,7,40,0,15,5,10,Școala Primară,Str. Principală nr. 6,Corugea,44.7357,28.3405
110,38,TULCEA,CRIŞAN,46,4,65,28,0,26,10,20,52,4,66,27,0,27,11,16,Școala Gimnazială Crisan,Str. Principală nr. 141,Crișan,45.1741,29.3844
115,38,TULCEA,DOROBANŢU,44,1,10,8,0,25,1,7,45,2,11,9,0,25,1,4,Școala Cîrjelari,Str. Teilor nr. 72,Cârjelari,44.9622,28.3392
114,38,TULCEA,DOROBANŢU,157,1,27,17,2,30,3,21,161,0,32,15,2,31,3,14,Școala Gimnazială Dorobantu,Nr. 2,Dorobanțu,44.9601,28.2878
158,38,TULCEA,MURIGHIOL,64,6,41,21,2,5,5,16,75,8,37,25,2,3,5,8,Școala cu Clasele I-IV Dunavățu de Jos,Str. Dunăreni nr. 44,Dunavățu de Jos,44.9915,29.2174
159,38,TULCEA,MURIGHIOL,17,3,11,3,1,7,3,7,17,3,10,5,1,9,3,4,Școala cu Clasele I-IV Dunavățu de Sus,Str. Monumentului nr. 33,Dunavățu de Sus,45.013,29.2234
113,38,TULCEA,DĂENI,225,5,153,19,2,28,9,34,233,4,158,14,3,28,9,28,Școala Gimnazială Dăeni,Str. Principală nr. 21,Dăeni,44.8498,28.1201
176,38,TULCEA,SARICHIOI,170,8,49,24,1,10,4,20,168,8,50,21,2,10,4,21,Școala Primară Enisala,Nr. 186A,Enisala,44.8799,28.8185
129,38,TULCEA,HORIA,60,0,21,6,0,4,6,11,64,0,19,2,0,5,5,8,Grădinița Floresti,Nr. 5,Florești,45.0717,28.4498
117,38,TULCEA,FRECĂŢEI,172,5,44,23,2,20,15,32,165,9,36,28,3,26,11,23,Camin Cultural Frecatei,Str. Principală nr. 66,Frecăței,45.1078,28.6587
109,38,TULCEA,CIUCUROVA,54,2,105,4,0,4,5,10,52,3,108,4,1,3,7,14,Școala Primară,Str. Ciucurovei nr. 113,Fântâna Mare,44.8615,28.4943
194,38,TULCEA,TOPOLOG,107,2,23,6,0,4,1,8,101,5,24,4,1,4,1,9,Școala Generală,Str. Liliacului nr. 45,Făgărașu Nou,44.8575,28.2793
137,38,TULCEA,JIJILA,125,16,51,15,0,21,13,30,124,18,55,15,0,18,11,27,Căminul Cultural,Str. Jijilei nr. 42,Garvăn,45.3409,28.17
104,38,TULCEA,CERNA,40,1,6,1,1,3,1,3,35,1,6,1,1,4,1,3,Școala General Praporgescu,Str. Florilor nr. 8,General Praporgescu,45.0141,28.3716
147,38,TULCEA,MALIUC,27,2,8,13,0,3,2,9,28,2,10,9,1,4,4,7,Școala Primară Gorgova,Str. Dunării nr. 67,Gorgova,45.1792,29.168
121,38,TULCEA,GRECI,115,13,64,26,1,42,8,22,117,14,62,29,1,47,7,21,"Școala Gimnazială Greci, Corp A",Str. 1 Decembrie nr. 29,Greci,45.1865,28.234
122,38,TULCEA,GRECI,139,26,63,20,0,40,13,45,133,18,68,22,1,61,15,33,"Școala Gimnazială Greci, Corp B",Str. 1 Decembrie nr. 18,Greci,45.1863,28.2333
123,38,TULCEA,GRECI,107,15,48,15,1,28,5,16,114,11,43,15,1,37,5,13,"Școala Gimnazială Greci, Corp B",Str. 1 Decembrie nr. 18,Greci,45.1863,28.2333
124,38,TULCEA,GRINDU,118,4,128,52,0,86,7,22,117,4,134,54,0,86,7,24,Centrul Social de Zi Pentru Persoane Defavorizate,Str. Principală nr. 50,Grindu,45.4061,28.2048
125,38,TULCEA,HAMCEARCA,57,2,53,7,1,5,2,7,59,3,55,7,1,4,2,3,Școala,Nr. 24,Hamcearca,45.1135,28.3927
130,38,TULCEA,HORIA,220,13,61,19,0,26,5,20,228,11,56,18,0,28,4,17,Grădinița Horia,Nr. 2,Horia,45.0278,28.4533
131,38,TULCEA,I.C.BRĂTIANU,90,12,210,32,2,17,3,17,99,11,216,27,3,15,1,12,Căminul Cultural,I.C.BRĂTIANU,I.C.Brătianu,45.4086,28.05
202,38,TULCEA,VALEA NUCARILOR,215,10,18,10,3,15,7,25,221,13,19,11,4,12,8,15,Căminul Cultural,Str. Culturii nr. 9,Iazurile,45.0228,28.9426
60,38,TULCEA,ORAŞ ISACCEA,220,28,59,111,0,12,14,52,236,27,71,93,0,16,17,37,Sediul Administrativ al Primăriei Orașului Isaccea,Str. 1 Decembrie (Str. 30 Decembrie) nr. 25,Isaccea,45.2744,28.4586
61,38,TULCEA,ORAŞ ISACCEA,152,22,67,100,2,11,4,28,169,22,70,87,0,14,5,22,Liceul Teoretic „Constantin Brătescu”,Str. 1 Decembrie (Str. 30 Decembrie) nr. 91,Isaccea,45.269,28.4642
62,38,TULCEA,ORAŞ ISACCEA,208,15,67,116,1,14,6,26,224,17,73,108,1,15,7,17,Grădinița „Constantin Brătescu”,Str. Mihai Eminescu (Str. Mihail Eminescu) nr. 13A,Isaccea,45.2709,28.4602
134,38,TULCEA,IZVOARELE,32,2,38,3,0,2,2,10,32,2,36,4,0,4,3,8,Școala Primară,Str. Victoriei nr. 14,Iulia,45.0149,28.5444
132,38,TULCEA,IZVOARELE,123,4,251,11,1,36,7,58,131,8,274,15,0,46,7,26,Școala Gimnazială,Str. Școlii nr. 11,Izvoarele,45.0397,28.5346
135,38,TULCEA,JIJILA,208,14,211,20,1,18,14,53,229,14,215,21,0,19,14,29,Căminul Cultural,Str. Principală nr. 75,Jijila,45.3038,28.1462
136,38,TULCEA,JIJILA,255,20,148,15,2,18,9,40,266,22,140,19,4,18,11,28,Căminul Cultural,Str. Principală nr. 75,Jijila,45.3038,28.1462
