id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
147,39,VASLUI,ALBEŞTI,168,19,38,12,1,11,6,23,167,19,43,7,1,10,9,22,Școala Gimnazială nr. 1 Albesti,,Albești,46.5058,27.8604
246,39,VASLUI,DELEŞTI,26,1,20,1,0,4,2,5,26,2,20,1,0,4,2,4,"Școala Primară, Albești",,Albești,46.6958,27.5507
151,39,VASLUI,ALEXANDRU VLAHUŢĂ,99,0,117,2,2,8,7,14,92,0,119,4,5,9,10,15,"Școala Gimnazială, Alexandru Vlahuță",,Alexandru Vlahuță,46.427,27.6387
175,39,VASLUI,BĂCEŞTI,98,0,13,4,0,3,1,7,97,0,13,5,1,3,1,6,Școala Primară Sat Armășeni,,Armășeni,46.8465,27.2478
212,39,VASLUI,BUNEŞTI-AVEREŞTI,83,0,14,0,0,5,1,6,81,0,19,1,0,5,2,3,Fosta Școala Generală Armășeni,,Armășeni,46.8061,27.9789
410,39,VASLUI,PUNGEŞTI,51,6,54,14,0,13,4,7,51,5,55,16,0,11,3,6,"Școala Primară, Sat Armășoaia",,Armășoaia,46.6884,27.3839
155,39,VASLUI,ARSURA,99,0,53,12,1,6,14,19,96,2,57,11,2,5,12,14,Școala Primară „Nicolae Gh. Lupu” Arsura,,Arsura,46.8137,28.0259
209,39,VASLUI,BUNEŞTI-AVEREŞTI,64,1,13,2,3,11,0,4,61,2,12,2,3,11,2,6,Școala Gimnazială nr. 1 Sat Averești,,Averești,46.7869,27.9865
500,39,VASLUI,VOINEŞTI,81,3,12,27,2,11,3,9,84,3,14,22,1,8,8,18,Școala Primară Sat Avrămești,,Avrămești,46.5516,27.3636
160,39,VASLUI,BANCA,97,6,122,8,0,12,9,20,98,6,123,6,0,12,8,19,Școala Gimnazială Banca,,Banca,46.3016,27.808
311,39,VASLUI,HOCENI,252,3,17,2,0,2,1,6,257,4,17,1,0,2,2,5,Grădinița cu Program Normal Barboși,,Barboși,46.4882,27.9713
262,39,VASLUI,DRAGOMIREŞTI,28,0,13,6,1,1,1,2,28,0,16,2,1,2,3,5,Școala Primară Belzeni,,Belzeni,46.6233,27.3041
458,39,VASLUI,TANACU,54,1,44,4,0,3,1,7,55,1,47,5,0,3,2,4,Școala Primară Sat. Benești,,Benești,46.6934,27.8292
241,39,VASLUI,DĂNEŞTI,40,0,16,6,0,5,1,6,41,0,17,6,0,5,1,5,Școala Primară Bereasa,,Bereasa,46.8337,27.6578
183,39,VASLUI,BEREZENI,357,4,47,8,0,18,5,12,353,7,52,7,1,18,4,8,Școala Gimnazială „Anastasie Fătu” Berezeni- Corp 1,,Berezeni,46.3727,28.1485
184,39,VASLUI,BEREZENI,208,3,46,7,0,7,4,13,208,6,49,7,0,6,5,9,Școala Gimnazială „Anastasie Fătu” Berezeni- Corp 3,,Berezeni,46.3794,28.1497
189,39,VASLUI,BLĂGEŞTI,210,1,37,13,2,8,9,30,204,2,44,14,2,11,9,23,Căminul Cultural Blăgești,,Blăgești,46.1392,28.0179
273,39,VASLUI,DUDA-EPURENI,34,0,5,2,0,2,6,8,32,0,5,2,0,2,5,9,Fosta Școala cu Clasele I-IV Bobești,,Bobești,46.7193,28.0027
192,39,VASLUI,BOGDANA,49,3,41,14,1,6,1,57,62,4,66,16,1,8,5,16,Școala Gimnazială nr. 1 Bogdana,,Bogdana,46.5329,27.6317
444,39,VASLUI,STĂNILEŞTI,21,0,26,2,0,2,0,1,22,0,23,2,0,2,0,2,"Școala Primară, Bogdana - Voloseni",,Bogdana-Voloseni,46.6377,28.1175
197,39,VASLUI,BOGDĂNEŞTI,231,6,32,12,0,6,5,16,231,7,31,14,0,8,6,12,Căminul Cultural Bogdănești,,Bogdănești,46.4491,27.7248
284,39,VASLUI,FĂLCIU,76,1,24,2,1,4,4,9,80,2,23,2,1,4,5,8,Școala Primară Sat Bogdănești,,Bogdănești,46.2592,28.1151
203,39,VASLUI,BOGDĂNIŢA,42,0,5,6,0,3,4,11,46,0,5,7,0,3,4,5,Sediul Primariei,,Bogdănița,46.4531,27.6815
385,39,VASLUI,POGANA,164,3,12,13,0,9,2,6,156,5,16,13,0,10,1,6,Școala Gimnazială Sat Bogești,,Bogești,46.3393,27.5516
424,39,VASLUI,REBRICEA,40,0,10,1,0,3,1,4,43,0,10,1,0,2,1,3,Școala Primară Bolați,,Bolați,46.8473,27.5934
380,39,VASLUI,POCHIDIA,49,0,65,3,0,1,2,5,51,0,62,3,0,1,1,3,"P.A.P.I. - Acces Internet, Borodești",,Borodești,46.0538,27.5855
436,39,VASLUI,SOLEŞTI,57,3,9,5,0,4,1,10,56,3,11,3,1,4,1,11,Fosta Școala cu Clasele I-IV Boușori,,Boușori,46.7367,27.8217
286,39,VASLUI,FĂLCIU,81,1,12,2,1,6,0,6,81,1,15,2,1,8,1,4,Școala Primară Sat Bozia,,Bozia,46.3382,28.1255
207,39,VASLUI,BOŢEŞTI,119,5,158,18,1,19,7,25,116,4,172,14,2,19,8,20,Școala Gimnazială nr. 1 Boțești,,Boțești,46.7929,27.8882
346,39,VASLUI,LUNCA BANULUI,89,3,18,6,0,10,4,7,84,5,21,7,0,10,2,6,Școala Primară Sat Broscoșești,,Broscoșești,46.5681,28.2219
325,39,VASLUI,IVĂNEŞTI,62,4,13,7,0,12,5,13,64,3,17,6,0,11,6,11,Școala Broșteni,,Broșteni,46.6382,27.4929
494,39,VASLUI,VINDEREI,89,0,43,7,1,4,3,11,97,0,40,7,1,1,3,7,"Școala Primară, Bradesti",,Brădești,46.1635,27.7733
452,39,VASLUI,ŞTEFAN CEL MARE,192,4,6,3,0,4,3,10,197,4,5,3,0,2,3,8,"Școala Primară, Brăhășoaia",,Brăhășoaia,46.7176,27.603
153,39,VASLUI,ALEXANDRU VLAHUŢĂ,19,0,66,4,0,5,1,4,17,1,66,4,2,4,1,3,"Școala Primară, Buda",,Buda,46.47,27.6054
198,39,VASLUI,BOGDĂNEŞTI,182,0,6,3,0,1,2,5,185,0,6,3,0,1,2,3,"Școala Primară, Sat Buda",,Buda,46.4916,27.7136
