id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
59,41,VRANCEA,MUNICIPIUL ADJUD,191,28,64,20,0,14,16,38,193,34,64,19,0,14,15,35,Casa de Cultură „Tudor Vornicu”,Str. Libertății nr. 7,Adjud,46.095,27.1837
60,41,VRANCEA,MUNICIPIUL ADJUD,196,28,77,28,0,23,11,38,207,27,70,31,0,26,14,29,Școală Gimnazială „Mihail Armencea”,Str. 1 Mai nr. 35,Adjud,46.0947,27.1819
61,41,VRANCEA,MUNICIPIUL ADJUD,236,13,49,11,0,14,13,39,237,14,45,13,0,15,14,37,Școală Gimnazială „Mareșal Alexandru Averescu”,Str. Libertății nr. 2A,Adjud,46.0957,27.1814
62,41,VRANCEA,MUNICIPIUL ADJUD,210,31,65,25,0,16,12,34,202,33,64,27,0,17,15,41,Școală Gimnazială „Principele Radu” A,Str. Tudor Vladimirescu nr. 7A,Adjud,46.0985,27.1864
63,41,VRANCEA,MUNICIPIUL ADJUD,233,38,77,19,0,21,16,47,229,44,75,21,0,24,23,47,Școală Gimnazială „Principele Radu” B,Str. Tudor Vladimirescu nr. 7A,Adjud,46.0985,27.1864
64,41,VRANCEA,MUNICIPIUL ADJUD,212,43,85,18,0,21,12,37,210,44,80,20,0,22,14,40,Școală Gimnazială „Principele Radu” C,Str. Tudor Vladimirescu nr. 7A,Adjud,46.0985,27.1864
65,41,VRANCEA,MUNICIPIUL ADJUD,249,42,87,33,0,22,11,45,248,40,91,31,1,25,15,43,Mixtcom S.R.L. Adjud,"Bulevardul Gării , Bloc 128",Adjud,46.0979,27.1917
66,41,VRANCEA,MUNICIPIUL ADJUD,275,41,109,28,1,29,11,45,271,54,99,26,2,30,15,43,Sala de Sport,Str. Republicii nr. 4,Adjud,46.0934,27.1885
67,41,VRANCEA,MUNICIPIUL ADJUD,293,42,131,27,1,32,17,38,301,43,128,27,0,27,22,42,Școală Gimnazială „Angela Gheorghiu”,Str. Republicii nr. 90,Adjud,46.1014,27.1802
68,41,VRANCEA,MUNICIPIUL ADJUD,278,26,85,29,1,26,12,37,281,32,75,34,1,27,16,39,Colegiul Tehnic „Gheorghe Balș” A,Str. Republicii nr. 107,Adjud,46.1053,27.1756
69,41,VRANCEA,MUNICIPIUL ADJUD,150,12,46,13,1,9,6,24,153,12,47,12,1,11,5,20,Colegiul Tehnic „Gheorghe Balș” B,Str. Republicii nr. 107,Adjud,46.1053,27.1756
72,41,VRANCEA,MUNICIPIUL ADJUD,288,22,65,10,3,26,18,61,287,18,66,15,3,26,26,62,Școală Generală Adjudu Vechi,,Adjudu Vechi,46.1371,27.1882
99,41,VRANCEA,ANDREIAŞU DE JOS,159,3,79,0,0,17,2,16,161,2,79,1,0,15,3,12,Școala Gimnazială Andreiașu de Jos,,Andreiașu de Jos,45.7571,26.8339
101,41,VRANCEA,ANDREIAŞU DE JOS,121,0,49,2,1,9,1,13,123,0,49,3,0,8,1,6,Școala Gimnazială Andreiașu de Sus,,Andreiașu de Sus,45.7372,26.8352
265,41,VRANCEA,RUGINEŞTI,146,3,73,25,1,17,1,22,153,2,75,30,1,16,2,14,Școala Generală,,Anghelești,46.0769,27.0673
241,41,VRANCEA,PLOSCUŢENI,121,1,5,4,2,4,1,3,119,2,7,4,1,5,2,4,Școala Primară Sat Argea,,Argea,46.0443,27.2586
119,41,VRANCEA,BROŞTENI,104,6,32,7,1,3,5,19,106,6,32,5,1,4,6,18,Grădinița,,Arva,45.7688,26.9982
329,41,VRANCEA,VINTILEASCA,136,1,4,4,0,13,2,23,147,3,5,8,0,13,3,7,Școala Gimnazială „Pictor Mihail Balasescu” Bahnele,,Bahnele,45.6394,26.7159
342,41,VRANCEA,VÎNĂTORI,55,2,12,3,0,6,0,8,58,1,13,3,0,6,0,4,Școala Primară Balta Raței,,Balta Raței,45.7614,27.2683
346,41,VRANCEA,VÎRTEŞCOIU,97,4,11,2,0,8,2,5,95,4,15,2,0,6,3,6,Școala Beciu,,Beciu,45.7379,27.0486
162,41,VRANCEA,DUMITREŞTI,187,1,20,5,0,1,4,22,195,3,22,6,0,2,4,11,Școala Primară Biceștii de Jos,,Biceștii de Jos,45.543,26.9307
160,41,VRANCEA,DUMITREŞTI,245,4,39,8,2,4,3,9,244,5,41,9,3,6,4,12,Școala Primară Biceștii de Sus,,Biceștii de Sus,45.5601,26.9202
105,41,VRANCEA,BILIEŞTI,129,10,163,36,0,18,1,16,129,8,165,39,0,12,3,20,Școala Gimnazială Biliesti,,Biliești,45.7241,27.3462
106,41,VRANCEA,BILIEŞTI,123,7,218,14,1,13,0,26,134,8,223,13,0,8,2,19,Școala Generală nr. 2 Biliesti,,Biliești,45.7119,27.3361
