id,nr_circumscriptie,circumscriptie,localitate,psd_cdep,usr_cdep,pnl_cdep,pmp_cdep,udmr_cdep,alde_cdep,pru_cdep,altele_cdep,psd_senat,usr_senat,pnl_senat,pmp_senat,udmr_senat,alde_senat,pru_senat,altele_senat,name,address,city,lat,lng
159,40,VÂLCEA,AMĂRĂŞTI,202,22,57,9,0,7,39,62,196,24,61,16,0,8,40,56,Școala Gimnazială Amărăști,,Amărăști,44.7717,24.1496
241,40,VÂLCEA,GLĂVILE,100,0,11,4,1,2,2,4,97,0,14,5,1,1,2,5,Școala Primară Aninoasa,,Aninoasa,44.7938,24.153
184,40,VÂLCEA,CERNIŞOARA,131,1,32,5,0,11,2,16,134,2,30,5,0,10,6,18,Școala cu Clasele I-VIII Armășești,,Armășești,45.0178,24.0114
344,40,VÂLCEA,RACOVIŢA,41,2,79,7,0,5,4,11,45,2,74,8,0,7,4,8,Căminul Cultural Balota,,Balota,45.4324,24.2944
322,40,VÂLCEA,PĂUŞEŞTI,115,1,119,6,1,12,3,8,114,2,119,6,1,10,5,11,Școala Primară Barcanele,,Barcanele,45.0815,24.1289
172,40,VÂLCEA,BUDEŞTI,168,16,69,13,2,9,3,22,179,15,73,11,2,7,2,15,Școala Barza,,Barza,45.0506,24.3728
219,40,VÂLCEA,FÎRTĂŢEŞTI,91,8,61,10,0,9,11,17,93,9,64,10,0,9,11,15,Fosta Școală Dejoi,,Becșani,44.8153,24.0142
120,40,VÂLCEA,ORAŞ BĂLCEŞTI,61,1,21,7,1,2,1,9,71,1,20,7,1,2,1,7,Școala Primară Benești,,Benești,44.6599,23.9047
259,40,VÂLCEA,LALOŞU,62,1,21,2,3,7,16,24,63,1,20,2,3,14,14,17,Școala Primară Berbești,,Berbești,44.5128,24.0588
175,40,VÂLCEA,BUDEŞTI,65,4,89,4,1,3,3,7,63,6,87,5,0,3,2,6,Școala Bercioiu,,Bercioiu,45.0029,24.3157
164,40,VÂLCEA,BERISLĂVEŞTI,288,9,48,7,0,9,2,7,285,9,46,6,0,13,2,10,Căminul Cultural Stoenești,,Berislăvești,45.26,24.4239
198,40,VÂLCEA,COSTEŞTI,205,6,40,7,1,10,12,32,216,7,39,8,1,5,8,26,Școala cu Clasele I-IV Bistrița,,Bistrița,45.1778,24.0443
244,40,VÂLCEA,GOLEŞTI,187,11,82,12,1,58,13,27,181,7,82,9,1,61,17,35,Școala Blidari,,Blidari,45.0674,24.44
156,40,VÂLCEA,ALUNU,48,3,27,16,1,7,2,3,47,3,24,14,1,10,1,1,"Fostul Local al Grădiniței cu Program Normal Bodești, Sat Bodești",,Bodești,45.0597,23.8094
161,40,VÂLCEA,BĂRBĂTEŞTI,199,10,23,8,4,15,5,18,205,11,24,8,3,13,6,18,Fosta Școală cu Clasele I-IV Bodești,,Bodești,45.1418,24.1139
179,40,VÂLCEA,BUJORENI,96,3,47,2,3,26,12,24,93,4,47,4,1,31,10,26,Școala cu Clasele I-IV Bogdănești,,Bogdănești,45.1779,24.3486
411,40,VÂLCEA,TOMŞANI,208,10,40,15,0,25,7,21,210,12,35,14,0,20,7,27,Căminul Cultural Bogdănești,,Bogdănești,45.1377,24.0335
169,40,VÂLCEA,BOIŞOARA,79,7,219,6,0,3,6,17,75,7,217,7,0,6,4,20,Școala cu Clasele I-VIII Boișoara,,Boișoara,45.4425,24.3734
235,40,VÂLCEA,GALICEA,90,4,41,2,6,2,3,5,93,4,40,1,6,2,2,5,Școala Bratia din Deal,,Bratia din Deal,44.9646,24.2987
234,40,VÂLCEA,GALICEA,111,5,27,4,4,6,2,4,104,6,29,5,4,7,2,4,Școala Bratia din Vale,,Bratia din Vale,44.9568,24.2825
407,40,VÂLCEA,TITEŞTI,29,0,56,2,0,7,4,6,25,1,53,2,0,9,4,7,Școala cu Clasele I-IV Bratovești,,Bratovești,45.4119,24.3625
130,40,VÂLCEA,ORAŞ BREZOI,183,19,78,21,1,27,15,39,189,17,76,20,1,31,18,31,Școala cu Clasele I-IV nr. 2 Brezoi,Str. Panduri,Brezoi,45.3435,24.2397
131,40,VÂLCEA,ORAŞ BREZOI,134,14,56,11,0,20,12,28,139,15,52,10,0,19,13,27,Grădinița cu Program Normal nr. 1- Parter,Str. Unirii nr. 22,Brezoi,45.3423,24.247
132,40,VÂLCEA,ORAŞ BREZOI,191,11,65,18,1,19,15,28,202,12,61,14,2,18,15,29,Grădinița cu Program Normal nr. 1- Parter,Str. Unirii nr. 22,Brezoi,45.3423,24.247
133,40,VÂLCEA,ORAŞ BREZOI,155,11,69,14,0,16,3,24,157,11,68,13,1,21,4,22,Școala cu Clasele I-IV nr. 1 Brezoi,Str. Eroilor (Str. 23 August) nr. 128,Brezoi,45.337,24.2499
134,40,VÂLCEA,ORAŞ BREZOI,104,7,46,9,1,6,6,21,103,8,45,10,3,8,4,15,Magazia Miniera,Str. Eroilor (Str. 23 August) nr. 37,Brezoi,45.3334,24.2692
269,40,VÂLCEA,LĂPUŞATA,136,0,53,25,0,6,0,29,144,2,55,20,0,9,2,15,Școala Primară Broșteni,,Broșteni,44.9405,24.0015
405,40,VÂLCEA,TETOIU,44,1,51,2,0,4,1,9,45,0,50,2,0,3,1,7,Școala Generală cu Clasele. I-IV Budele,,Budele,44.8321,23.8998
170,40,VÂLCEA,BUDEŞTI,183,31,133,21,1,15,15,53,175,28,141,23,1,25,18,39,Căminul Cultural Budești,,Budești,45.0641,24.3882
212,40,VÂLCEA,DICULEŞTI,162,3,84,2,0,4,4,16,162,2,80,3,0,4,4,14,Școala cu Clasele I-IV Budești,,Budești,44.6,23.9817
291,40,VÂLCEA,MIHĂEŞTI,242,26,80,9,1,17,48,74,230,22,75,7,1,21,74,92,Grădinița Buleta,,Buleta,45.0386,24.2533
181,40,VÂLCEA,BUNEŞTI,323,12,39,9,0,14,6,24,323,8,41,11,0,13,9,33,Școala cu Clasele I-VIII Bunești,,Bunești,45.1077,24.1956
325,40,VÂLCEA,PĂUŞEŞTI,93,2,46,5,2,10,9,18,95,3,42,6,1,11,9,18,Școala Gimnazială Șerbănești,,Buzdugan,45.0567,24.1445
374,40,VÂLCEA,STOENEŞTI,65,18,86,5,0,7,1,8,60,13,92,7,0,9,2,9,Căminul Cultural Bârlogu,,Bârlogu,45.1103,24.1508
173,40,VÂLCEA,BUDEŞTI,159,15,90,15,1,8,5,19,164,14,85,17,1,8,5,17,Școala Bîrsești,,Bârsești,45.04,24.3493
294,40,VÂLCEA,MIHĂEŞTI,140,16,24,5,0,4,11,30,133,14,27,6,0,4,20,37,Școala cu Clasele I-IV Bîrsești,,Bârsești,45.0239,24.2862
381,40,VÂLCEA,STOILEŞTI,171,2,55,3,0,3,2,10,169,2,51,3,0,6,4,9,Școala cu Clasele I-IV Bîrsoiu,,Bârsoiu,44.8826,24.3457
163,40,VÂLCEA,BĂRBĂTEŞTI,162,29,40,17,0,7,3,19,167,28,36,16,1,11,3,13,Fosta Școală cu Clasele I-IV Bârzești,,Bârzești,45.1299,24.1122
104,40,VÂLCEA,ORAŞ BĂBENI,324,18,180,16,0,48,7,37,337,19,146,29,0,62,5,27,Primăria Orașului Băbeni,Nr. 167,Băbeni,44.9752,24.235
105,40,VÂLCEA,ORAŞ BĂBENI,195,25,116,22,2,20,7,27,208,27,101,27,1,27,3,18,Liceul „George Țărnea” Băbeni,Nr. 134,Băbeni,44.9705,24.2353
106,40,VÂLCEA,ORAŞ BĂBENI,134,6,93,15,0,28,1,10,138,6,84,18,0,31,3,12,S.C. Alfa Farm S.R.L.,Nr. 16,Băbeni,44.959,24.2372
107,40,VÂLCEA,ORAŞ BĂBENI,139,4,102,2,2,54,18,26,144,5,86,2,2,60,17,22,Școala Generală cu Clasele I-IV Valea Mare,Nr. 1,Băbeni,44.9507,24.2408
108,40,VÂLCEA,ORAŞ BĂBENI,242,3,54,8,1,12,3,8,247,1,51,8,1,11,5,8,"Școala Gimnazială, Sat Valea Mare, Oraș Băbeni",Nr. 484,Băbeni,44.9373,24.2371
109,40,VÂLCEA,ORAŞ BĂBENI,96,9,43,10,2,31,6,17,101,10,36,13,1,33,7,15,Școala Generală Tătărani,Nr. 31,Băbeni,44.9839,24.2444
110,40,VÂLCEA,ORAŞ BĂBENI,244,3,190,23,0,25,5,13,267,7,154,24,0,19,12,23,Școala Generală Români,Nr. 99,Băbeni,44.9725,24.2033
111,40,VÂLCEA,ORAŞ BĂBENI,60,5,29,1,1,2,0,2,65,5,17,4,1,3,1,6,Școala Pădurețu,Nr. 2,Băbeni,44.9758,24.1692
211,40,VÂLCEA,DICULEŞTI,197,9,89,9,2,7,4,11,200,10,87,6,2,6,4,11,Școala cu Clasele I-VIII Băbeni-Oltețu,,Băbeni-Oltețu,44.6085,23.9769
206,40,VÂLCEA,DĂEŞTI,14,0,25,0,0,1,1,3,14,0,24,1,0,1,1,3,Școala Băbuești,,Băbuești,45.2086,24.4088
345,40,VÂLCEA,ROEŞTI,144,9,24,18,4,5,12,17,139,8,30,12,4,9,13,21,Școala cu Clasele I-IV Roești,,Băiașa,44.9198,24.0702
118,40,VÂLCEA,ORAŞ BĂLCEŞTI,158,9,90,12,2,20,7,48,168,11,90,8,1,15,10,47,Liceul Tehnologic Petrache Poenaru,,Bălcești,44.6189,23.9412
119,40,VÂLCEA,ORAŞ BĂLCEŞTI,160,4,45,6,2,10,8,24,158,6,49,4,1,9,11,27,Liceul Tehnologic Petrache Poenaru,,Bălcești,44.6189,23.9412
195,40,VÂLCEA,COPĂCENI,78,0,25,6,1,7,4,12,77,1,26,8,1,6,6,11,Școala cu Clasele I-IV Bălteni,,Bălteni,45.0186,23.9484
287,40,VÂLCEA,MĂDULARI,107,0,34,2,2,2,2,4,105,0,35,2,2,1,1,2,Școala cu Clasele I-IV Bălșoara,,Bălșoara,44.6783,24.1232
288,40,VÂLCEA,MĂDULARI,92,0,29,1,1,1,3,7,94,0,28,1,2,0,2,8,Școala cu Clasele. I-IV Bănțești,,Bănțești,44.684,24.074
340,40,VÂLCEA,PRUNDENI,274,4,17,19,0,30,4,19,272,4,20,21,1,28,3,14,Școala Bărbuceni,Str. George Călinescu nr. 2,Bărbuceni,44.7538,24.2418
348,40,VÂLCEA,ROEŞTI,65,0,40,4,1,3,11,13,60,1,40,6,1,4,9,14,Școala cu Clasele I-IV Bărbărigeni,,Bărbărigeni,44.8829,24.0628
162,40,VÂLCEA,BĂRBĂTEŞTI,379,10,35,28,3,20,13,31,381,15,32,27,2,13,12,26,Căminul Cultural Bărbătești,,Bărbătești,45.1695,24.118
401,40,VÂLCEA,TETOIU,86,0,34,13,0,14,1,8,84,0,36,12,0,16,2,4,Școala cu Clasele I-IV Băroiu,,Băroiu,44.7116,23.9186
418,40,VÂLCEA,VALEA MARE,102,0,40,5,1,2,0,6,103,0,40,6,1,2,0,8,Școala cu Clasele I-VIII Bătășani,,Bătășani,44.6788,23.9913
311,40,VÂLCEA,OLANU,124,7,121,7,0,7,18,24,120,7,124,8,0,5,21,29,Școala cu Clasele. I-IV Casa Veche,,Casa Veche,44.8671,24.3125
210,40,VÂLCEA,DĂNICEI,109,1,33,0,1,2,0,9,68,3,70,2,1,2,0,9,Școala Primară Ceretu,,Ceretu,44.8865,24.4539
324,40,VÂLCEA,PĂUŞEŞTI,109,1,71,6,0,19,5,25,112,2,63,6,0,20,9,28,Căminul Cultural Șerbănești,,Cernelele,45.0585,24.1485
185,40,VÂLCEA,CERNIŞOARA,186,1,44,8,2,16,9,28,191,1,46,6,2,13,10,26,Școala cu Clasele I-VIII Cernișoara,,Cernișoara,45.0446,23.9623
117,40,VÂLCEA,ORAŞ BĂILE OLĂNEŞTI,274,0,69,7,2,22,10,40,277,1,69,10,2,21,11,30,Școala Gimnazială Ionescu Cheianu,Str. Cheia nr. 80,Cheia,45.1828,24.2154
266,40,VÂLCEA,LĂDEŞTI,146,3,25,11,0,7,11,22,146,2,26,4,2,9,13,22,Școala Primară Chiricești,,Chiricești,44.8697,24.0601
312,40,VÂLCEA,OLANU,136,5,117,0,0,5,2,6,134,6,114,0,0,5,4,11,Școala cu Clasele I-IV Cioboți,,Cioboți,44.8551,24.2885
346,40,VÂLCEA,ROEŞTI,164,2,40,6,1,2,4,10,164,2,40,6,1,2,4,10,Școala cu Clasele I-VIII Ciocîltei,,Ciocâltei,44.9364,24.0725
390,40,VÂLCEA,ŞIRINEASA,160,1,34,10,0,18,1,6,163,3,29,11,0,15,0,8,Școala Primară Ciorăști,,Ciorăști,44.9558,24.1619
383,40,VÂLCEA,STROEŞTI,138,7,75,8,0,10,12,22,140,7,72,7,0,12,14,22,Școala cu Clasele I-VIII Cireșu,,Cireșu,45.0563,23.9125
278,40,VÂLCEA,MALAIA,55,10,49,5,0,37,3,5,56,9,47,4,0,39,3,6,Școala Primară Ciunget,,Ciungetu,45.387,23.9535
300,40,VÂLCEA,MILCOIU,64,0,57,2,2,4,2,6,68,0,55,3,2,2,1,4,Grădinița Ciutești,,Ciutești,45.0481,24.4962
233,40,VÂLCEA,GALICEA,178,4,78,5,0,4,4,12,184,4,76,6,0,1,4,14,Școala Cocoru,,Cocoru,44.9458,24.2967
157,40,VÂLCEA,ALUNU,288,14,30,14,2,122,13,23,306,13,27,14,4,115,19,26,"Grădinița cu Program Normal Coltești, Sat Coltești",,Coltești,44.9822,23.8286
262,40,VÂLCEA,LĂCUSTENI,43,2,48,4,0,3,8,11,44,1,43,4,0,5,8,12,Școala cu Clasele V-VIII Lăcusteni,,Contea,44.7108,23.9021
306,40,VÂLCEA,NICOLAE BĂLCESCU,115,1,38,10,1,12,7,13,119,1,36,9,1,11,7,13,Școala cu Clasele I-IV Corbi,,Corbii din Vale,44.9934,24.4662
197,40,VÂLCEA,COSTEŞTI,413,55,80,21,1,26,29,66,419,60,80,24,3,37,25,48,Școala cu Clasele I-VIII Costești,,Costești,45.1489,24.0589
226,40,VÂLCEA,FRÎNCEŞTI,178,3,66,4,1,8,10,26,187,5,64,5,1,8,12,20,Școala Generală cu Clasele I-IV Coșani,,Coșani,45.0075,24.1907
236,40,VÂLCEA,GALICEA,116,6,25,3,13,8,3,15,113,6,29,3,13,8,5,11,Căminul Cultural Cremenari,,Cremenari,44.9811,24.3133
200,40,VÂLCEA,CREŢENI,213,14,58,22,0,11,14,27,214,17,55,22,1,8,12,29,Școala Gimnazială Crețeni,,Crețeni,44.6974,24.1828
361,40,VÂLCEA,SCUNDU,274,3,28,1,0,8,11,35,262,2,29,1,0,23,11,26,Școala cu Clasele I-VIII Avrămești,,Crângu,44.8628,24.1649
347,40,VÂLCEA,ROEŞTI,111,4,46,10,1,1,10,21,105,4,49,7,1,5,12,24,Școala cu Clasele I-VIII Cueni,,Cueni,44.8916,24.0664
112,40,VÂLCEA,ORAŞ BĂILE GOVORA,241,24,163,12,1,32,11,61,236,21,174,18,2,39,12,50,Sala de Căsătorii a Primăriei,Nr. 75-77,Curăturile,45.0724,24.2058
190,40,VÂLCEA,CÎINENI,88,12,56,5,3,10,4,12,91,11,56,7,3,9,3,12,Școala Gimnazială Cîinenii Mari,,Câinenii Mari,45.4993,24.2948
